household,k12school,college,workplace,primary,secondary,cluster
1960088,612388,249889,4207655,115530,55209426,0
2016149,638787,250599,4177131,122061,54890557,0
2020872,610334,248150,4296819,123427,55599993,0
2098594,635372,252511,4248718,122700,54453724,0
2062707,609667,247646,4186596,132399,54671281,0
2014725,0,0,0,53433576,238671,0
2055570,0,0,0,53262832,240982,0
1999189,608898,247593,4221234,116632,54647237,0
2018619,612005,250168,4215544,121805,54284974,0
2017388,662039,248726,4162960,120409,54637287,0
2020296,615108,249995,4212995,121119,54494841,0
2074744,613518,247725,4395255,123308,55259166,0
2072233,0,0,0,53886838,323012,0
2031630,0,0,0,53720133,322581,0
2051151,611259,254149,4430909,122259,55330077,0
2114461,618661,249824,4177800,119695,55017677,0
2019747,613458,250263,4220736,119273,54920301,0
2017612,611807,248152,4204787,118954,55650095,0
2059251,612690,249587,4184298,119047,54263212,0
2022089,0,0,0,53798070,447266,0
2001130,0,0,0,53871912,457369,0
2069107,636360,259444,4402540,119632,54806486,0
2061821,638408,261368,4282165,118705,55090811,0
2019929,617436,248183,4175875,118485,55231755,0
2024697,616509,250353,4199811,122509,55627717,0
2026977,616632,248515,4251143,127690,54529859,0
2010226,0,0,0,53174757,313569,0
2013055,0,0,0,53487344,382640,0
1973406,618626,249072,4217343,114116,54515081,0
2027784,623542,251322,4209379,124793,54730462,0
2017483,640433,250365,4169124,121916,54377315,0
2037359,623298,249562,4205648,121391,54680327,0
2091973,627157,251266,4213497,127128,54641875,0
2069647,0,0,0,53950961,196703,0
2083970,0,0,0,54616352,196378,0
2091072,644743,261825,4196555,153820,54988833,0
2087224,637933,253797,4232137,123857,55165208,0
2082396,657084,268430,4300964,120891,54634615,0
2106018,642278,269067,4188078,120623,54642418,0
2093325,641895,253860,4209663,120740,54923451,0
2156097,0,0,0,53614893,235554,0
2101417,0,0,0,54116743,232863,0
2174047,653151,254342,4218347,115958,54919157,0
2182653,659209,255537,4198789,126690,54866780,0
2132424,705678,260711,4237467,120970,54657027,0
2222179,698549,267861,4258405,120387,54840702,0
2210982,675994,256193,4215646,120377,55181613,0
2205051,0,0,0,53270816,303280,0
2146801,0,0,0,53238123,301804,0
2173710,720586,257803,4180409,132474,54513486,0
2238238,675321,257830,4174992,119665,53736607,0
2247955,673837,257078,4173581,120204,53670884,0
2201303,681428,286381,4169341,152447,53984344,0
2261890,680344,257723,4181388,118936,53653517,0
2216636,0,0,0,52469907,290724,0
2267831,0,0,0,52897210,195725,0
2267858,724755,258696,4211130,115965,53694062,0
2277010,706567,286699,4315643,134421,54128044,0
2371431,707150,269610,4365181,119631,54784100,0
2230176,678444,257017,4201687,118155,54367076,0
2196200,680988,258768,4211212,115986,55109462,0
2170292,0,0,0,53764627,180605,0
2114019,0,0,0,53704558,171171,0
2096545,684495,261391,4209661,107550,55558125,0
2120852,680036,267636,4384045,110436,55017903,0
2150930,701797,294234,4266515,108799,54787930,0
2105389,711143,257359,4233151,107578,54971909,0
2129139,678095,258007,4250794,107220,55470531,0
2105519,0,0,0,53935461,168993,0
2117382,0,0,0,53677042,165535,0
2061169,683296,260927,4230504,110497,55308615,0
2076720,688244,265970,4335572,108263,55012209,0
2097132,727216,275021,4457396,120600,55179967,0
2084204,681866,260660,4261248,107924,55344621,0
2069536,677753,259269,4396440,116428,55319706,0
2072168,0,0,0,54311185,196346,0
2053639,0,0,0,54234483,221110,0
2033008,677407,258717,4212359,107194,55192989,0
2045254,681353,258897,4269842,108047,54986199,0
2057411,711719,275387,4265101,107266,55464290,0
2086544,685753,258766,4229593,107212,55390879,0
2073780,681199,258114,4220072,107249,55844270,0
2078720,0,0,0,54272881,245354,0
2051414,0,0,0,54128644,290980,0
2023841,688860,262503,4225783,107298,55542482,0
2020562,682648,258344,4329990,108066,55766105,0
2085494,722764,274130,4274445,107383,55100412,0
2111188,712430,269120,4287164,107104,55212441,0
2058994,684060,260039,4231782,107552,55308345,0
2043570,0,0,0,54036403,336333,0
2008229,0,0,0,53712619,376138,0
1926358,682627,259400,4219540,107024,55491294,0
1983051,683956,259112,4407550,112832,55220720,0
1983606,685077,261858,4248328,107460,55419127,0
1991123,708760,271826,4303292,107209,55985295,0
2005928,683331,259732,4250333,107450,55267799,0
1967752,0,0,0,54443773,431749,0
1966615,0,0,0,54650168,475325,0
2004093,675370,258363,4211256,107772,55149254,0
2025117,679995,260772,4531607,111568,55461201,0
