times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
1681,1668988,0,0,0,0,1672,59240,0,0,0,0
3634,1546385,0,0,0,0,3075,59092,0,0,0,0
4009,731383,0,0,0,0,5580,59171,0,0,0,0
9684,605669,0,0,0,0,6699,59311,0,0,0,0
16904,223055,0,0,0,0,6696,59050,0,0,0,0
21210,84357,75,303,0,0,15432,59546,0,0,0,0
0,0,561,829,0,0,41603,58826,0,0,0,0
0,0,1227,1212,0,0,62771,59274,0,0,0,0
0,0,21426,20408,0,0,64004,58998,0,0,0,0
0,0,1,1,0,0,2547,1992,0,0,0,0
0,0,0,0,0,0,3548,1878,0,0,0,0
0,0,2,1,0,0,3804,1792,0,0,0,0
0,0,9,4,0,0,4089,1758,0,0,0,0
0,0,3117,1243,0,0,5299,1799,0,0,0,0
0,0,7977,2597,0,0,5598,1744,0,0,0,0
0,0,14945,4558,0,0,6377,1808,0,0,0,0
0,0,22294,5936,0,0,7373,1800,0,0,0,0
0,0,33604,7952,0,0,7679,1779,0,0,0,0
0,0,52734,11551,0,0,8921,1824,0,0,0,0
0,0,106117,20380,0,0,1913,365,0,0,0,0
0,0,129799,23199,0,0,1953,341,0,0,0,0
0,0,111487,17858,0,0,2193,349,0,0,0,0
0,0,33856,4920,0,0,2794,414,0,0,0,0
0,0,0,0,0,0,2698,370,0,0,0,0
0,0,0,0,0,0,2844,361,0,0,0,0
0,0,0,0,0,0,3247,387,0,0,0,0
0,0,0,0,0,0,2875,324,0,0,0,0
0,0,0,0,0,0,3437,362,0,0,0,0
0,0,0,0,0,0,3949,388,0,0,0,0
0,0,0,0,22,2,4047,379,0,0,0,0
0,0,12,1,0,0,4443,393,0,0,0,0
0,0,0,0,0,0,4596,380,0,0,0,0
0,0,0,0,13,1,4781,376,0,0,0,0
0,0,0,0,0,0,4760,354,0,0,0,0
0,0,0,0,28,2,5427,379,0,0,0,0
0,0,0,0,15,1,5938,401,0,0,0,0
0,0,0,0,31,2,6422,411,0,0,0,0
0,0,0,0,16,1,5880,359,0,0,0,0
0,0,0,0,35,2,6096,354,0,0,0,0
0,0,0,0,0,0,6036,337,0,0,0,0
0,0,0,0,37,2,6734,357,0,0,0,0
0,0,0,0,19,1,6644,339,0,0,0,0
0,0,0,0,82,4,8032,392,0,0,0,0
0,0,0,0,20,1,7750,362,0,0,22,1
0,0,0,0,156,7,8142,367,0,0,0,0
0,0,0,0,45,2,7559,325,0,0,0,0
0,0,0,0,48,2,8629,355,0,0,0,0
0,0,0,0,173,7,8835,352,0,0,0,0
0,0,0,0,310,12,9176,350,0,0,28,1
0,0,0,0,237659,8753,670,25,0,0,0,0
0,0,0,0,0,0,562,20,25,1,0,0
0,0,0,0,0,0,583,20,0,0,60,2
0,0,0,0,0,0,598,20,27,1,30,1
0,0,0,0,0,0,558,18,0,0,101,3
0,0,0,0,0,0,688,21,0,0,33,1
0,0,0,0,0,0,741,22,32,1,0,0
0,0,0,0,0,0,715,21,30,1,40,1
0,0,0,0,0,0,891,25,66,2,35,1
0,0,0,0,0,0,625,17,0,0,80,2
0,0,0,0,0,0,1084,28,0,0,0,0
0,0,0,0,0,0,666,17,0,0,38,1
0,0,0,0,0,0,987,24,108,3,83,2
0,0,0,0,0,0,496,12,39,1,0,0
0,0,0,0,0,0,999,23,38,1,131,3
0,0,0,0,0,0,1142,26,43,1,96,2
0,0,0,0,0,0,985,22,164,4,142,3
0,0,0,0,0,0,1211,26,87,2,96,2
0,0,0,0,0,0,1243,26,86,2,48,1
0,0,0,0,0,0,1510,31,229,5,100,2
0,0,0,0,0,0,1556,31,135,3,101,2
0,0,0,0,0,0,1088,20,142,3,156,3
0,0,0,0,0,0,1279,24,192,4,272,5
0,0,0,0,0,0,1104,20,99,2,112,2
0,0,0,0,0,0,1521,27,152,3,333,6
0,0,0,0,0,0,981,17,52,1,116,2
0,0,0,0,0,0,1357,23,161,3,425,7
0,0,0,0,0,0,1754,29,162,3,126,2
0,0,0,0,0,0,1620,26,190,3,565,9
0,0,0,0,0,0,1269,20,116,2,64,1
0,0,0,0,0,0,1257,19,296,5,198,3
0,0,0,0,0,0,1549,23,387,6,520,8
0,0,0,0,0,0,1629,24,440,7,198,3
0,0,0,0,0,0,1393,20,263,4,418,6
0,0,0,0,0,0,2000,28,264,4,288,4
0,0,0,0,0,0,1554,21,271,4,291,4
0,0,0,0,0,0,1195,16,138,2,150,2
0,0,0,0,0,0,2139,28,207,3,78,1
0,0,0,0,0,0,1645,21,73,1,158,2
0,0,0,0,0,0,1526,19,301,4,162,2
0,0,0,0,0,0,2049,25,299,4,79,1
0,0,0,0,0,0,2500,30,148,2,79,1
0,0,0,0,0,0,2468,29,154,2,167,2
0,0,0,0,0,0,1748,20,323,4,423,5
0,0,0,0,0,0,2049,23,405,5,345,4
0,0,0,0,0,0,2169,24,249,3,171,2
0,0,0,0,0,0,1748,19,87,1,90,1
0,0,0,0,0,0,1781,19,171,2,102,1
0,0,0,0,0,0,1856,19,173,2,192,2
0,0,0,0,0,0,2456,25,269,3,0,0
0,0,0,0,0,0,2417,24,375,4,195,2
0,0,0,0,0,0,1920,19,0,0,688,7
0,0,0,0,0,0,1773,17,0,0,307,3
0,0,0,0,0,0,1996,19,298,3,417,4
0,0,0,0,0,0,1616,15,289,3,319,3
0,0,0,0,0,0,1880,17,500,5,212,2
0,0,0,0,0,0,1895,17,422,4,540,5
0,0,0,0,0,0,2850,25,204,2,0,0
0,0,0,0,0,0,1615,14,216,2,331,3
0,0,0,0,0,0,1327,11,424,4,238,2
0,0,0,0,0,0,3598,30,866,8,473,4
0,0,0,0,0,0,3339,27,337,3,474,4
0,0,0,0,0,0,2734,22,574,5,249,2
0,0,0,0,0,0,3032,24,826,7,251,2
0,0,0,0,0,0,3777,29,230,2,628,5
0,0,0,0,0,0,2849,22,250,2,630,5
0,0,0,0,0,0,3339,25,0,0,404,3
0,0,0,0,0,0,3098,23,488,4,271,2
0,0,0,0,0,0,3031,22,616,5,808,6
0,0,0,0,0,0,4318,31,385,3,408,3
0,0,0,0,0,0,3271,23,127,1,692,5
0,0,0,0,0,0,4343,30,808,6,146,1
0,0,0,0,0,0,3114,21,796,6,426,3
0,0,0,0,0,0,3438,23,405,3,583,4
0,0,0,0,0,0,2985,20,283,2,448,3
0,0,0,0,0,0,2767,18,562,4,1078,7
0,0,0,0,0,0,5309,34,152,1,501,3
0,0,0,0,0,0,3361,21,862,6,323,2
0,0,0,0,0,0,3833,24,589,4,917,6
0,0,0,0,0,0,3466,21,443,3,488,3
0,0,0,0,0,0,3600,22,468,3,794,5
0,0,0,0,0,0,3142,19,1377,9,800,5
0,0,0,0,0,0,5090,30,625,4,649,4
0,0,0,0,0,0,3447,20,1275,8,880,5
0,0,0,0,0,0,3143,18,656,4,1027,6
0,0,0,0,0,0,4635,26,976,6,864,5
0,0,0,0,0,0,4354,24,1165,7,1239,7
0,0,0,0,0,0,2387,13,501,3,535,3
0,0,0,0,0,0,2602,14,851,5,1074,6
0,0,0,0,0,0,3381,18,698,4,550,3
0,0,0,0,0,0,4193,22,1030,6,1130,6
0,0,0,0,0,0,4557,23,1095,6,1346,7
0,0,0,0,0,0,3536,18,1630,9,1132,6
0,0,0,0,0,0,4311,22,365,2,1157,6
0,0,0,0,0,0,3680,18,545,3,595,3
0,0,0,0,0,0,4530,22,1316,7,1038,5
0,0,0,0,0,0,4332,21,1128,6,624,3
0,0,0,0,0,0,4851,23,566,3,399,2
0,0,0,0,0,0,4870,23,582,3,636,3
0,0,0,0,0,0,5199,24,1216,6,635,3
0,0,0,0,0,0,4099,19,432,2,1313,6
0,0,0,0,0,0,4857,22,198,1,420,2
0,0,0,0,0,0,6032,27,1229,6,1540,7
0,0,0,0,0,0,4263,19,623,3,431,2
0,0,0,0,0,0,5756,25,653,3,1118,5
0,0,0,0,0,0,4861,21,864,4,224,1
0,0,0,0,0,0,6852,29,0,0,1122,5
0,0,0,0,0,0,6426,27,1764,8,671,3
0,0,0,0,0,0,5519,23,1332,6,1621,7
0,0,0,0,0,0,4868,20,467,2,1194,5
0,0,0,0,0,0,3750,15,1143,5,1220,5
0,0,0,0,0,0,3853,15,931,4,0,0
0,0,0,0,0,0,3297,13,1422,6,487,2
0,0,0,0,0,0,5166,20,1169,5,509,2
0,0,0,0,0,0,4589,18,1459,6,1278,5
0,0,0,0,0,0,6860,26,957,4,1783,7
0,0,0,0,0,0,7713,29,1489,6,1787,7
0,0,0,0,0,0,5698,21,731,3,1032,4
0,0,0,0,0,0,5706,21,492,2,1042,4
0,0,0,0,0,0,5314,19,995,4,261,1
0,0,0,0,0,0,5286,19,769,3,1378,5
0,0,0,0,0,0,5996,21,2040,8,824,3
0,0,0,0,0,0,5650,20,840,3,2174,8
0,0,0,0,0,0,8623,30,1899,7,2466,9
0,0,0,0,0,0,7486,26,2138,8,1100,4
0,0,0,0,0,0,4415,15,1343,5,1717,6
0,0,0,0,0,0,7738,26,1139,4,2274,8
0,0,0,0,0,0,6933,23,2510,9,2056,7
0,0,0,0,0,0,8271,27,849,3,1750,6
0,0,0,0,0,0,6497,21,1957,7,1190,4
0,0,0,0,0,0,8342,27,2315,8,1455,5
0,0,0,0,0,0,5395,17,4087,14,3353,11
0,0,0,0,0,0,7350,23,1488,5,2156,7
0,0,0,0,0,0,8000,25,1205,4,3384,11
0,0,0,0,0,0,5500,17,2441,8,1860,6
0,0,0,0,0,0,6524,20,2731,9,1843,6
0,0,0,0,0,0,5652,17,597,2,947,3
0,0,0,0,0,0,5022,15,1897,6,1934,6
0,0,0,0,0,0,7453,22,1913,6,2240,7
0,0,0,0,0,0,7549,22,2807,9,3220,10
0,0,0,0,0,0,8594,25,2200,7,1986,6
0,0,0,0,0,0,5255,15,2608,8,3046,9
0,0,0,0,0,0,8124,23,1945,6,3082,9
0,0,0,0,0,0,9361,26,2306,7,1391,4
0,0,0,0,0,0,6534,18,4375,13,3803,11
0,0,0,0,0,0,7271,20,3643,11,2767,8
0,0,0,0,0,0,7317,20,2339,7,3870,11
0,0,0,0,0,0,9992,27,3152,9,4946,14
0,0,0,0,0,0,9693,26,3866,11,2134,6
0,0,0,0,0,0,7952,21,3500,10,3652,10
0,0,0,0,0,0,5370,14,2880,8,4058,11
0,0,0,0,0,0,8015,20,2130,6,1511,4
0,0,0,0,0,0,7777,20,5789,16,4850,13
0,0,0,0,0,0,9090,23,4346,12,2617,7
0,0,0,0,0,0,7976,20,3763,10,4094,11
0,0,0,0,0,0,6797,17,6311,17,5060,13
0,0,0,0,0,0,8919,22,2692,7,5042,13
0,0,0,0,0,0,6485,16,3409,9,4250,11
0,0,0,0,0,0,6155,15,4267,11,2760,7
0,0,0,0,0,0,10837,26,3446,9,5214,13
0,0,0,0,0,0,8397,20,6197,16,5160,13
0,0,0,0,0,0,8934,21,5162,13,3703,9
0,0,0,0,0,0,5093,12,6384,16,4082,10
0,0,0,0,0,0,6927,16,4817,12,4535,11
0,0,0,0,0,0,10519,24,6883,17,6633,16
0,0,0,0,0,0,9640,22,6100,15,7642,18
0,0,0,0,0,0,8866,20,8595,21,5940,14
0,0,0,0,0,0,12128,27,6262,15,5118,12
0,0,0,0,0,0,9032,20,6740,16,9379,22
0,0,0,0,0,0,10845,24,7639,18,7859,18
0,0,0,0,0,0,12346,27,7371,17,7429,17
0,0,0,0,0,0,8250,18,7816,18,7583,17
0,0,0,0,0,0,7898,17,5741,13,9412,21
0,0,0,0,0,0,12722,27,4401,10,8131,18
0,0,0,0,0,0,7648,16,7095,16,6863,15
0,0,0,0,0,0,9632,20,6692,15,4131,9
0,0,0,0,0,0,12074,25,9057,20,8712,19
0,0,0,0,0,0,10857,22,4549,10,6504,14
0,0,0,0,0,0,9905,20,6388,14,4174,9
0,0,0,0,0,0,10088,20,9181,20,8004,17
0,0,0,0,0,0,11651,23,11742,25,7690,16
0,0,0,0,0,0,8055,16,7089,15,10204,21
0,0,0,0,0,0,10902,21,8548,18,11121,23
0,0,0,0,0,0,9295,18,6173,13,15174,31
0,0,0,0,0,0,8863,17,10232,21,10982,22
0,0,0,0,0,0,10896,21,7389,15,11169,22
0,0,0,0,0,0,12709,24,7329,15,6436,13
0,0,0,0,0,0,12158,23,9773,20,8606,17
0,0,0,0,0,0,3205,6,13661,27,7684,15
0,0,0,0,0,0,12196,22,12688,25,10653,21
0,0,0,0,0,0,7073,13,7079,14,10884,21
0,0,0,0,0,0,10561,19,9265,18,6370,12
0,0,0,0,0,0,9952,18,12296,24,8008,15
0,0,0,0,0,0,10695,19,7742,15,9224,17
0,0,0,0,0,0,8539,15,9441,18,13919,26
0,0,0,0,0,0,10305,18,9493,18,14222,26
0,0,0,0,0,0,11422,20,8590,16,15326,28
0,0,0,0,0,0,13389,23,9688,18,10473,19
0,0,0,0,0,0,12338,21,10902,20,10602,19
0,0,0,0,0,0,8293,14,9783,18,9017,16
0,0,0,0,0,0,586,1,10530,19,14596,26
0,0,0,0,0,0,0,0,9988,18,8469,15
0,0,0,0,0,0,2467,4,7346,13,10349,18
0,0,0,0,0,0,600,1,10238,18,9207,16
0,0,0,0,0,0,594,1,12812,23,11694,20
0,0,0,0,0,0,0,0,10841,19,11665,20
0,0,0,0,0,0,0,0,15536,27,8367,14
0,0,0,0,0,0,1285,2,10503,18,10760,18
0,0,0,0,0,0,0,0,12978,22,13108,22
0,0,0,0,0,0,615,1,7057,12,9599,16
0,0,0,0,0,0,2489,4,12555,21,15316,25
0,0,0,0,0,0,1321,2,16204,27,12177,20
0,0,0,0,0,0,1268,2,11489,19,16033,26
0,0,0,0,0,0,691,1,9127,15,18549,30
0,0,0,0,0,0,649,1,18991,31,13598,22
0,0,0,0,0,0,0,0,14883,24,11343,18
0,0,0,0,0,0,0,0,12876,21,11423,18
0,0,0,0,0,0,1367,2,12591,20,10863,17
0,0,0,0,0,0,669,1,8849,14,14228,22
0,0,0,0,0,0,675,1,17677,28,7730,12
0,0,0,0,0,0,2034,3,11433,18,11760,18
0,0,0,0,0,0,1412,2,6416,10,13131,20
0,0,0,0,0,0,1370,2,11190,17,16386,25
0,0,0,0,0,0,2086,3,13184,20,18146,27
0,0,0,0,0,0,697,1,14560,22,13542,20
0,0,0,0,0,0,2890,4,15871,24,12875,19
0,0,0,0,0,0,707,1,16804,25,18699,27
0,0,0,0,0,0,2168,3,13693,20,15982,23
0,0,0,0,0,0,0,0,19046,28,9672,14
0,0,0,0,0,0,2175,3,18435,27,17998,26
0,0,0,0,0,0,1458,2,12294,18,9740,14
0,0,0,0,0,0,0,0,17378,25,16708,24
0,0,0,0,0,0,744,1,17607,25,11912,17
0,0,0,0,0,0,744,1,12702,18,17200,24
0,0,0,0,0,0,0,0,17653,25,10048,14
0,0,0,0,0,0,1478,2,15682,22,16045,22
0,0,0,0,0,0,0,0,10829,15,17511,24
0,0,0,0,0,0,0,0,12327,17,17681,24
0,0,0,0,0,0,754,1,16016,22,18672,25
0,0,0,0,0,0,779,1,13032,18,17170,23
0,0,0,0,0,0,768,1,17751,24,11989,16
0,0,0,0,0,0,813,1,14243,19,16522,22
0,0,0,0,0,0,3206,4,17330,23,26566,35
0,0,0,0,0,0,798,1,19343,23,28407,37
0,0,0,0,0,0,803,1,23649,31,14691,19
0,0,0,0,0,0,1654,2,23647,31,15514,20
0,0,0,0,0,0,1661,2,16753,22,21131,27
0,0,0,0,0,0,1636,2,24359,31,20559,26
0,0,0,0,0,0,1704,2,19347,25,13303,17
0,0,0,0,0,0,829,1,15007,19,11933,15
0,0,0,0,0,0,2503,3,16497,21,16031,20
0,0,0,0,0,0,884,1,11849,15,16152,20
0,0,0,0,0,0,830,1,16225,20,26108,32
0,0,0,0,0,0,0,0,21542,27,26103,32
0,0,0,0,0,0,3437,4,16862,21,18137,22
0,0,0,0,0,0,2614,3,18104,22,18126,22
0,0,0,0,0,0,0,0,25768,31,19363,23
0,0,0,0,0,0,900,1,25569,31,28553,34
0,0,0,0,0,0,0,0,16592,20,16330,19
0,0,0,0,0,0,872,1,29214,35,24071,28
0,0,0,0,0,0,891,1,26085,31,25742,30
0,0,0,0,0,0,917,1,13585,16,20702,24
0,0,0,0,0,0,890,1,22246,26,19022,22
0,0,0,0,0,0,910,1,25840,30,27220,31
0,0,0,0,0,0,0,0,21495,25,33486,38
0,0,0,0,0,0,0,0,31189,36,18474,21
0,0,0,0,0,0,1880,2,29868,34,20501,23
0,0,0,0,0,0,1837,2,23956,27,21456,24
0,0,0,0,0,0,926,1,25721,29,28750,32
0,0,0,0,0,0,0,0,31146,35,21944,24
0,0,0,0,0,0,0,0,27243,30,29054,32
0,0,0,0,0,0,1923,2,26393,29,28339,31
0,0,0,0,0,0,2857,3,31222,34,31836,34
0,0,0,0,0,0,968,1,22559,25,28857,31
0,0,0,0,0,0,1922,2,30444,33,33395,36
0,0,0,0,0,0,0,0,23305,25,23397,25
0,0,0,0,0,0,991,1,40990,44,34205,36
0,0,0,0,0,0,3009,3,31030,33,35215,37
0,0,0,0,0,0,1056,1,23629,25,34580,36
0,0,0,0,0,0,1005,1,23692,25,28824,30
0,0,0,0,0,0,3120,3,36042,38,42455,44
0,0,0,0,0,0,3125,3,25210,26,35890,37
0,0,0,0,0,0,2026,2,29209,30,26482,27
0,0,0,0,0,0,1027,1,37865,39,36682,37
0,0,0,0,0,0,3062,3,34600,35,25917,26
0,0,0,0,0,0,2092,2,28410,29,37549,38
0,0,0,0,0,0,0,0,48487,49,40281,40
0,0,0,0,0,0,1052,1,35929,36,33181,33
0,0,0,0,0,0,3158,3,23024,23,43751,43
0,0,0,0,0,0,2155,2,31190,31,27671,27
0,0,0,0,0,0,6591,6,34219,34,45805,45
0,0,0,0,0,0,2254,2,42535,42,30884,30
0,0,0,0,0,0,1083,1,29593,29,47721,46
0,0,0,0,0,0,1162,1,41544,40,31419,30
0,0,0,0,0,0,1094,1,41370,40,37038,35
0,0,0,0,0,0,2201,2,44778,43,35177,33
0,0,0,0,0,0,2289,2,23155,22,33900,32
0,0,0,0,0,0,1107,1,40970,39,40617,38
0,0,0,0,0,0,1179,1,33794,32,44900,42
0,0,0,0,0,0,1129,1,31895,30,34473,32
0,0,0,0,0,0,0,0,44680,42,28502,26
0,0,0,0,0,0,1160,1,34358,32,41691,38
0,0,0,0,0,0,2365,2,47973,44,38723,35
0,0,0,0,0,0,3501,3,35815,33,38245,34
0,0,0,0,0,0,1188,1,50077,46,51484,46
0,0,0,0,0,0,0,0,38740,35,44481,40
0,0,0,0,0,0,3434,3,33244,30,49777,44
0,0,0,0,0,0,2337,2,37830,34,52995,47
0,0,0,0,0,0,2374,2,34681,31,48990,43
0,0,0,0,0,0,1174,1,50516,45,45791,40
0,0,0,0,0,0,3605,3,52320,46,57235,50
0,0,0,0,0,0,0,0,52350,46,36967,32
0,0,0,0,0,0,1318,1,51226,45,53368,46
0,0,0,0,0,0,0,0,40284,35,45484,39
0,0,0,0,0,0,3747,3,50760,44,59022,50
0,0,0,0,0,0,1238,1,46990,40,48164,41
0,0,0,0,0,0,0,0,43051,37,56951,48
0,0,0,0,0,0,1248,1,52012,44,45200,38
0,0,0,0,0,0,1252,1,36998,31,42089,35
0,0,0,0,0,0,5006,4,74163,62,62520,52
0,0,0,0,0,0,5181,4,63527,53,58012,48
0,0,0,0,0,0,2531,2,46197,38,68155,56
0,0,0,0,0,0,1258,1,51726,43,47848,39
0,0,0,0,0,0,1289,1,46504,38,38561,30
0,0,0,0,0,0,2589,2,75417,62,58339,47
0,0,0,0,0,0,3863,3,55222,45,59637,48
0,0,0,0,0,0,0,0,53385,43,53655,43
0,0,0,0,0,0,1359,1,49575,40,72189,57
0,0,0,0,0,0,2645,2,53585,43,60930,48
0,0,0,0,0,0,0,0,70288,56,69437,55
0,0,0,0,0,0,1335,1,57140,45,61215,48
0,0,0,0,0,0,2679,2,64310,51,42594,33
0,0,0,0,0,0,0,0,63964,50,62167,48
0,0,0,0,0,0,0,0,86107,67,57324,44
0,0,0,0,0,0,1334,1,62914,49,62426,48
0,0,0,0,0,0,1335,1,49206,38,44258,34
0,0,0,0,0,0,1379,1,68906,53,60791,46
0,0,0,0,0,0,0,0,60667,46,68848,52
0,0,0,0,0,0,2781,2,73372,56,59841,45
0,0,0,0,0,0,0,0,58984,45,77790,58
0,0,0,0,0,0,1391,1,55623,42,58966,44
0,0,0,0,0,0,0,0,81646,61,66507,49
0,0,0,0,0,0,0,0,69772,52,57223,42
0,0,0,0,0,0,5760,4,76680,57,51863,38
0,0,0,0,0,0,0,0,51870,38,56331,41
0,0,0,0,0,0,2927,2,76043,56,66113,48
0,0,0,0,0,0,1489,1,79463,58,53956,39
0,0,0,0,0,0,1454,1,47680,35,40193,29
0,0,0,0,0,0,2873,2,60720,44,67593,48
0,0,0,0,0,0,4337,3,68074,49,60382,43
0,0,0,0,0,0,0,0,92122,66,65034,46
0,0,0,0,0,0,0,0,63107,45,59729,42
0,0,0,0,0,0,0,0,51881,37,84207,59
0,0,0,0,0,0,0,0,49753,35,64420,45
0,0,0,0,0,0,3269,2,61956,43,77289,54
0,0,0,0,0,0,0,0,66369,46,75144,52
0,0,0,0,0,0,6089,4,54836,38,67178,46
0,0,0,0,0,0,1526,1,72572,50,66759,46
0,0,0,0,0,0,1614,1,60908,42,80820,55
0,0,0,0,0,0,3066,2,87570,60,69206,47
0,0,0,0,0,0,3239,2,72148,49,83412,56
0,0,0,0,0,0,1538,1,66376,45,76064,51
0,0,0,0,0,0,3125,2,88930,60,70638,47
0,0,0,0,0,0,1543,1,67044,45,91674,61
0,0,0,0,0,0,3216,2,79796,53,72421,48
0,0,0,0,0,0,0,0,69105,46,83182,55
0,0,0,0,0,0,3222,2,51064,34,82826,54
0,0,0,0,0,0,3168,2,65197,43,58323,38
0,0,0,0,0,0,6378,4,58369,38,81552,53
0,0,0,0,0,0,0,0,73576,48,75665,49
0,0,0,0,0,0,1626,1,97504,63,63565,41
0,0,0,0,0,0,0,0,69193,45,82868,53
0,0,0,0,0,0,6629,4,60595,39,80195,51
0,0,0,0,0,0,0,0,91489,59,84417,54
0,0,0,0,0,0,3406,2,121791,77,96385,61
0,0,0,0,0,0,0,0,77419,49,100510,63
0,0,0,0,0,0,1654,1,88533,56,115339,72
0,0,0,0,0,0,1682,1,84264,53,83688,52
0,0,0,0,0,0,1693,1,87673,55,99741,62
0,0,0,0,0,0,5034,3,89719,56,67790,42
0,0,0,0,0,0,3397,2,102905,64,84341,52
0,0,0,0,0,0,3560,2,98802,61,110558,67
0,0,0,0,0,0,1720,1,78256,48,103018,63
0,0,0,0,0,0,3437,2,116761,71,110267,67
0,0,0,0,0,0,1801,1,100420,61,130833,79
0,0,0,0,0,0,5273,3,92532,56,115263,69
0,0,0,0,0,0,0,0,126259,76,119141,71
