Updating,Tracing,Infector,Total
1516590,235589,201452614,203204821
1604628,237087,202514035,204355863
1638327,235098,203313300,205186760
1608213,236574,201693626,203538459
1738182,234359,202231577,204204146
1452703,264982,188289734,190007440
1614676,233247,188004678,189852621
1737493,130651,201122365,202990531
1725189,130583,201486823,203342615
1735889,131773,201639095,203506785
1722057,130408,203690125,205542620
1727244,130923,201452943,203311130
1448579,133487,187214187,188796273
1606809,131096,187485634,189223557
1730883,130507,201591267,203452679
1721441,131776,201802563,203655805
1726561,130689,201838569,203695843
1730176,131710,202409431,204271340
1721089,130887,201594123,203446120
1443799,130953,186818573,188393343
1626077,130607,187124178,188880878
1725705,130943,202893064,204749737
1753265,130324,201640872,203524485
1723903,130749,201970704,203825384
1718352,130053,201436193,203284638
1727545,130630,202572783,204430979
1445330,131226,187057357,188633938
1614133,130402,186988758,188733315
1716976,130297,200722664,202569958
1718414,130410,202141072,203989915
1720029,130685,202446356,204297103
1739874,130937,201702033,203572873
1726217,130492,203237617,205094345
1463312,133472,186912629,188509435
1613786,130461,186578404,188322673
1720947,131215,200604088,202456273
1734456,131204,200938014,202803700
1724950,131867,200369724,202226558
1724911,130948,200655898,202511777
1725996,131297,201158004,203015329
1448880,131072,185182019,186761993
1614955,131068,185323650,187069705
1721819,131335,199857139,201710342
1734663,132195,199969958,201836848
1717463,131614,199417447,201266548
1736924,132775,199005422,200875165
1719574,131387,199027220,200878209
1452582,131913,184869559,186454086
1621461,131789,185323735,187077075
1720528,131097,198486352,200338032
1725154,132010,198244396,200101620
1725565,131343,198305398,200162360
1721660,131651,198019204,199872562
1721565,131212,197723176,199576011
1450575,130731,184098926,185680265
1612167,131114,183903041,185646361
1723944,130897,198592293,200447160
1746034,131125,197405826,199283006
1730062,130866,197725569,199586514
1723835,131107,198051909,199906901
1762184,132161,199003897,200898299
1462138,131358,185548302,187141839
1608211,130530,185660918,187399709
1735047,130256,199736818,201602166
1720061,130348,200035390,201885847
1733773,130439,200016298,201880564
1713520,130558,200221351,202065477
1756655,129937,200278213,202164844
1454247,130397,186720028,188304749
1614441,129887,186646566,188390948
1781762,130581,200872574,202784977
1749557,130481,201407555,203287623
1732867,130270,201346155,203209433
1718647,130147,201448423,203297277
1730523,130333,201394222,203255127
1444203,129917,187520710,189094891
1615038,130157,187496928,189242212
1723740,130179,201774729,203628716
1785652,131289,202343665,204260670
1734562,130759,202058754,203924104
1727671,130476,202465608,204323822
1729270,130085,202400750,204260154
1448562,129965,187546470,189125042
1620323,130216,188046180,189796773
1732033,131993,202200450,204064542
1729297,130482,201826991,203686866
1720398,130432,201983957,203834838
1720181,129924,202169402,204019557
1731234,130510,201964323,203826121
1449917,133442,187682154,189265591
1605301,130158,187828836,189564365
1727695,130704,201912997,203771478
1726587,131474,201783523,203641636
1724554,130108,202087459,203942192
1726092,130381,202902762,204759420
1729877,132911,201988529,203851411
1461985,130983,187762946,189356022
1623094,130127,188184146,189937395
1717893,132338,202319529,204169864
1735705,134723,202163832,204034340
