Updating,Tracing,Infector,Total
1101527,218695,1461520,2781755
1202496,218180,722222,2142917
1209610,220370,643109,2073100
1187291,217562,702354,2107222
1175467,217752,709341,2102573
647854,218311,544461,1410643
1043434,217674,550762,1811882
1208008,119169,701970,2029161
1204558,122632,727313,2054514
1226529,118850,631963,1977349
1173934,126499,708902,2009345
1178842,122734,664800,1966386
672543,119246,615816,1407616
1041867,119952,576992,1738821
1182519,119596,745586,2047711
1197010,120129,693891,2011043
1208376,153844,745625,2107853
1176648,121710,702032,2000401
1241168,118776,712519,2072474
654651,120385,633717,1408764
1042024,122445,707678,1872159
1184567,122647,817043,2124266
1178350,122341,842670,2143370
1190821,120184,802547,2113564
1195788,120609,872214,2188623
1197629,120710,830942,2149291
658478,120292,753602,1532385
1059295,119652,740530,1919495
1175673,122126,946638,2244449
1177953,119779,889793,2187535
1177141,142166,949910,2269230
1176790,121958,938380,2237139
1178584,165333,980315,2324244
649294,124014,866218,1639541
1051737,168120,908064,2127936
1200800,121922,1123353,2446085
1239103,121934,1154371,2515419
1190387,121578,1188354,2500328
1183458,122138,1195989,2501595
1182292,122055,1245517,2549874
653393,122099,1055657,1831164
1050093,122145,1117227,2289478
1198582,119712,1421914,2740222
1188140,121698,1471351,2781201
1204683,120846,1440026,2765566
1190898,121329,1470210,2782451
1196796,165075,1402062,2763950
666117,122152,1199837,1988118
1057656,165553,1215656,2438876
1193051,128672,1472175,2793909
1238746,122014,1441073,2801842
1232000,171418,1394106,2797532
1231462,119865,1306881,2658218
1194243,119464,1249559,2563278
659583,117682,1026059,1803334
1069049,117268,987676,2174003
1192845,119052,1163303,2475211
1200081,117910,1096355,2414354
1204242,119014,1127203,2450467
1204864,118307,1044913,2368092
1220793,120582,1065391,2406778
655588,118994,858981,1633580
1064737,120922,889747,2075419
1189198,120860,956250,2266318
1203895,119338,957621,2280871
1217179,120118,923722,2261029
1220192,156584,887056,2263849
1193234,119556,870625,2183427
660238,120854,743344,1524450
1048006,122792,737340,1908151
1199148,157050,844516,2200723
1179869,119988,840548,2140414
1240792,121723,812069,2174593
1181681,119885,797171,2098747
1230811,121349,819373,2171545
647765,122418,678913,1449107
1119129,121699,673577,1914417
1202992,121890,813959,2138851
1260642,121753,812816,2195221
1185933,123216,803868,2113041
1205037,124185,786418,2115652
1177794,121695,776723,2076221
646587,121485,664956,1433040
1042491,121264,598950,1762717
1179055,122314,801770,2103149
1176556,126092,732173,2034840
1191936,121031,767268,2080245
1178567,121579,756823,2056980
1179547,166429,730214,2076205
656360,122708,607762,1386842
1057570,121432,660902,1839915
1188963,122622,711368,2022966
1175277,121678,766636,2063601
1175343,123323,706716,2005393
1178335,122822,744952,2046117
1176961,121685,702973,2001635
647105,124913,605835,1377862
1043432,124266,609627,1777338
1174948,125483,719372,2019814
1232905,125548,717098,2075565
