Updating,Tracing,Infector,Total
1014609,226521,33740574,34981721
1078332,226430,33914076,35218907
1079125,226613,33959425,35265183
1126387,226244,33661430,35014088
1078837,226471,33938790,35244128
599009,226158,29207238,30032421
957746,225563,28967183,30150523
1078145,123378,33821329,35022868
1078313,124685,33798443,35001464
1078789,123353,33950574,35152738
1078164,126048,33728957,34933191
1078265,123566,33943976,35145830
593697,124012,28949439,29667163
957554,123612,29252990,30334181
1164281,127686,33825951,35117933
1078780,123812,33839923,35042546
1079818,124166,33958346,35162351
1078454,123074,33717133,34918686
1081201,167120,33948014,35196355
593445,123708,28907845,29625013
1006256,123644,29287624,30417549
1080073,125388,33814838,35020314
1078470,123407,33938421,35140321
1080055,123317,33986522,35189914
1079345,123193,33780544,34983102
1079356,123411,34006779,35209570
594979,123006,29234901,29952906
958752,124599,28956496,30039871
1079837,122731,33640533,34843116
1081846,166305,33671890,34920065
1080752,123182,33671386,34875341
1097469,151649,33547450,34796592
1080171,123334,33700348,34903871
595395,123075,29113781,29832265
960596,122511,28804973,29888106
1116001,122306,33519045,34757366
1082698,123164,33651040,34856915
1083769,122948,33598981,34805710
1084644,123078,33629550,34837285
1085544,123196,33716444,34925198
599837,122901,28688800,29411554
965325,122596,28945336,30033273
1088368,122622,34081312,35292314
1088939,123111,33850336,35062398
1090682,123338,33669815,34883847
1092001,123231,33826210,35041455
1092875,123157,33741351,34957398
605300,123088,28959038,29687441
970415,123002,29187474,30280905
1097186,165751,33850871,35113821
1097318,123112,33866536,35086980
1101530,123183,33814268,35038995
1098108,123552,33978166,35199840
1145132,123159,33703977,34972282
606927,123162,29145908,29876011
972071,122536,28810343,29904967
1099665,123315,34282350,35505342
1122616,123276,33766810,35012716
1093417,123055,34063840,35280327
1092040,122887,33831362,35046302
1093302,165931,34057733,35316980
603203,122843,28950064,29676129
966620,122399,29209545,30298582
1089347,122627,34143352,35355341
1205997,142141,34151196,35499351
1086417,124146,34037177,35247757
1084891,122932,34018592,35226430
1084542,122825,34151042,35358428
596999,123242,28958379,29678650
963088,122343,29316654,30402107
1125301,126344,34360029,35611687
1082118,123292,34226848,35432276
1081456,123218,33986235,35190929
1082564,123200,34296411,35502195
1080347,123025,34079736,35283132
595402,123272,29356484,30075178
961034,122544,29078596,30162199
1082111,122379,34372267,35576773
1080850,123466,34460735,35665093
1081429,162908,34306810,35551165
1081914,123082,34233251,35438269
1128841,123099,34156653,35408613
593677,123564,29395770,30113039
975849,151710,29081002,30208583
1080807,122447,34555717,35758990
1131145,123202,34068478,35322844
1079628,123265,34323860,35526772
1078973,124810,34064554,35268356
1079615,125479,34367914,35573026
598124,123713,29099625,29821491
1035815,128203,29766469,30930509
1079464,124357,34027443,35231282
1080533,126767,34326257,35533576
1078120,123255,34084798,35286196
1078963,126046,34719895,35924923
1201838,124966,34913586,36240415
595282,123202,30424177,31142680
959233,122664,29143657,30225573
1078922,122036,34314960,35515937
1080275,125731,34157893,35363917
