household,k12school,college,workplace,primary,secondary,cluster
1638852,451434,169748,2521947,107106,30193681,0
1814283,471384,173981,2526986,116783,30690052,0
1802575,451319,173058,2551368,119899,30448000,0
1645164,471562,167828,2529353,108210,30357392,0
1734944,448364,168051,2572602,117037,30522995,0
1716746,0,0,0,29711381,360793,0
1660193,0,0,0,29433616,183096,0
1702898,454481,166717,2658355,116465,30416363,0
1637569,446778,165315,2518231,109012,30466910,0
1676422,449709,166092,2542954,116937,30347606,0
1617253,453361,170345,2548121,109278,30750389,0
1639991,510026,176924,2577759,112870,30732810,0
1580762,0,0,0,29483493,278569,0
1519694,0,0,0,29909414,258436,0
1526558,447504,165410,2548233,107315,30743979,0
1518850,452172,167677,2503190,107025,30263277,0
1516416,450739,166301,2483994,151822,30364636,0
1557608,450107,164934,2478021,106433,30395004,0
1510514,462835,178775,2499413,106818,29973392,0
1503855,0,0,0,28984892,148780,0
1488073,0,0,0,28756869,242417,0
1500146,446791,165474,2469594,104815,30391720,0
1498104,447848,166623,2487155,104623,30009997,0
1496501,452202,164526,2521899,103829,29934334,0
1504807,447298,165554,2482843,135521,29864060,0
1481724,445574,164971,2468881,103083,30400405,0
1486975,0,0,0,29079338,144856,0
1471234,0,0,0,29014456,211853,0
1472205,450341,164980,2521986,103398,29813055,0
1491570,447175,165476,2456302,101610,30092435,0
1483950,479252,167622,2460097,101711,30209849,0
1493966,454951,165100,2497776,101865,29962337,0
1476102,449794,165873,2449201,100625,29797766,0
1483810,0,0,0,29115639,140788,0
1458782,0,0,0,29005989,211856,0
1457750,452273,166025,2497499,100024,30268048,0
1486777,455652,165351,2439199,99715,29802035,0
1463401,455841,165390,2443014,99879,29824220,0
1472157,458978,165897,2429121,98981,29801916,0
1472520,476068,174552,2483870,99473,30013412,0
1531701,0,0,0,29025602,136061,0
1460702,0,0,0,28962917,136922,0
1459770,468750,167333,2438369,98144,29726620,0
1495396,473743,174975,2450823,98024,29675234,0
1477885,484897,167980,2418963,97413,30078985,0
1499881,476440,169261,2438167,97631,29933696,0
1440252,481446,170911,2424225,97266,29824234,0
1471570,0,0,0,28851085,129738,0
1422396,0,0,0,29084264,128790,0
1454223,478750,169538,2406226,96540,29857937,0
1470174,497195,176208,2504314,96464,29946285,0
1423832,483482,171419,2399799,96025,29817936,0
1509757,497287,174279,2401369,96355,29899358,0
1409555,482032,171600,2414989,95741,30219285,0
1530747,0,0,0,29165204,127664,0
1417742,0,0,0,29609139,126778,0
1551984,478627,170048,2416279,95663,29874814,0
1412541,480798,170614,2418186,95587,29930234,0
1501566,477559,168980,2405419,95951,29783351,0
1410780,477899,169266,2433656,95841,29999210,0
1481041,477615,169294,2532382,99548,30231835,0
1494547,0,0,0,29040236,126773,0
1471327,0,0,0,28930598,126407,0
1504008,486928,170562,2438412,95759,29944231,0
1451054,476614,169296,2435392,96163,29811154,0
1577313,478114,170374,2432105,95689,30260254,0
1418559,476772,169044,2424866,95602,30019200,0
1584603,478245,169686,2424348,95672,29831532,0
1408921,0,0,0,29209714,126297,0
1568921,0,0,0,28988123,127218,0
1409347,475751,171107,2448864,95708,30465122,0
1555666,478927,170745,2435253,96065,29896548,0
1512749,479827,170617,2449601,95952,30118259,0
1502484,476683,170545,2425769,95644,30212866,0
1593615,488272,170957,2466893,95938,30185672,0
1458173,0,0,0,29453222,128589,0
1592799,0,0,0,29123050,127121,0
1455999,479262,169156,2427213,96069,29919952,0
1613848,487586,174452,2464578,96068,30122453,0
1438266,481748,170996,2434027,96011,30498226,0
1604445,483476,169467,2441095,95691,30008307,0
1470924,483560,171455,2446772,95529,30075722,0
1556570,0,0,0,28963334,126561,0
1486081,0,0,0,29199176,126477,0
1574971,483561,170340,2429632,95832,30146948,0
1534666,481552,172159,2432843,95662,29996926,0
1512287,483040,169266,2422686,95765,29864403,0
1592451,490615,171955,2443291,95795,30035200,0
1461711,485119,174660,2435329,96088,30415852,0
1622168,0,0,0,29384671,127722,0
1440116,0,0,0,29323098,126584,0
1609849,489647,171224,2451255,95682,30182453,0
1427011,484871,173384,2443694,95653,30473608,0
1604094,487924,171876,2443777,96087,30706762,0
1482652,484918,171965,2461626,95772,30320468,0
1580863,483588,171554,2451120,96528,30117326,0
1545808,0,0,0,29535804,126489,0
1561167,0,0,0,29430057,128457,0
1548962,483043,171977,2452204,96043,30162696,0
1548597,478449,170972,2439779,95752,30013758,0
