weekday_averages,weekday_counts,weekday_totals,weekend_averages,weekend_counts,weekend_totals
0,122972,18,0,0,0
0,1728228,1813,0,1668988,2666
0,1605477,3480,0,1546385,3514
0,790554,3061,0,731383,2989
0,664980,5687,0,605669,5516
0,282105,8442,0,223055,6029
0,144206,13114,0,84357,10871
0,59655,10756,0,0,0
0,60486,22829,0,0,0
1,79406,80545,0,0,0
1,1993,2070,0,0,0
1,1878,2232,0,0,0
1,1793,2890,0,0,0
2,1762,3546,0,0,0
2,3042,6174,0,0,0
2,4341,9628,0,0,0
2,6366,15567,0,0,0
2,7736,20310,0,0,0
2,9731,29172,0,0,0
3,13375,43730,0,0,0
3,20745,74472,0,0,0
4,23540,95587,0,0,0
4,18207,79952,0,0,0
5,5334,26939,0,0,0
5,370,1966,0,0,0
5,361,2114,0,0,0
6,387,2362,0,0,0
6,324,2045,0,0,0
6,362,2438,0,0,0
7,388,2811,0,0,0
7,381,2863,0,0,0
7,394,3119,0,0,0
8,380,3194,0,0,0
8,377,3307,0,0,0
9,354,3232,0,0,0
9,381,3686,0,0,0
10,402,4020,0,0,0
10,413,4305,0,0,0
10,360,3911,0,0,0
11,356,4105,0,0,0
11,337,4009,0,0,0
12,359,4399,0,0,0
12,340,4318,0,0,0
13,396,5219,0,0,0
13,364,4955,0,1,0
14,374,5313,0,0,0
14,327,4818,0,0,0
15,357,5481,0,0,0
15,359,5688,0,0,0
16,363,5959,2,1,2
17,8778,154281,0,0,0
16,21,345,17,1,17
18,22,399,2,2,4
17,22,391,10,2,20
19,21,409,1,3,3
20,22,441,2,1,2
19,23,438,20,1,20
20,23,466,12,2,24
19,28,556,15,3,46
22,19,428,3,2,7
23,28,644,0,0,0
23,18,421,1,1,1
22,29,650,15,5,79
22,13,297,27,1,27
24,27,668,8,4,33
25,29,743,10,3,30
23,29,673,16,7,115
25,30,772,15,4,60
26,29,756,20,3,60
25,38,950,21,7,148
27,36,980,18,5,91
27,26,714,16,6,97
27,33,917,15,9,140
29,24,710,16,4,67
30,36,1100,14,9,128
31,20,631,15,3,46
32,33,1060,11,10,117
31,34,1081,22,5,111
33,38,1290,10,12,123
33,23,773,24,3,73
30,27,827,23,8,191
32,37,1215,17,14,250
30,34,1045,27,10,274
35,30,1058,17,10,174
36,36,1313,21,8,169
37,29,1073,21,8,174
38,20,774,24,4,97
38,32,1246,33,4,134
42,24,1019,16,3,49
37,25,936,32,6,193
39,30,1191,37,5,186
43,33,1446,32,3,96
45,33,1492,24,4,98
42,29,1234,22,9,205
42,32,1344,28,9,252
45,29,1314,30,5,151
48,21,1023,28,2,57
47,22,1043,34,3,104
50,23,1157,30,4,121
47,28,1330,53,3,159
47,30,1425,39,6,235
57,26,1488,4,7,34
58,20,1163,4,3,12
52,26,1357,26,7,182
51,21,1083,30,6,184
47,24,1141,43,7,305
52,26,1377,30,9,270
56,27,1538,64,2,129
56,19,1077,26,5,134
49,17,844,42,6,253
54,42,2291,44,12,532
61,34,2078,32,7,225
55,29,1617,49,7,345
53,33,1781,53,9,477
66,36,2402,22,7,155
68,29,1979,22,7,157
72,28,2021,3,3,10
62,29,1825,49,6,294
64,33,2120,33,11,373
69,37,2562,39,6,236
74,29,2147,16,6,97
66,37,2457,72,7,510
63,30,1890,52,9,476
72,30,2180,36,7,257
75,25,1879,33,5,169
73,29,2141,32,11,356
81,38,3101,23,4,92
68,29,1995,62,8,503
76,34,2617,36,10,367
77,27,2097,47,6,283
80,30,2409,35,8,281
66,33,2192,58,14,819
81,38,3095,46,8,375
70,33,2329,57,13,744
81,28,2283,39,10,390
79,37,2950,52,11,572
79,38,3036,50,14,704
81,19,1556,49,6,295
81,25,2025,45,11,502
83,25,2096,58,7,410
86,34,2927,52,12,627
86,36,3115,50,13,652
77,33,2543,63,15,951
99,30,2986,29,8,234
94,24,2260,54,6,324
86,34,2935,62,12,748
88,30,2648,71,9,647
99,28,2774,65,5,326
100,29,2908,57,6,347
93,33,3085,76,9,687
109,27,2943,31,8,254
111,25,2788,40,3,121
100,40,4033,54,13,712
104,24,2497,71,5,356
109,33,3616,48,8,387
102,26,2665,98,5,491
124,34,4222,4,5,23
98,38,3747,90,11,997
105,36,3807,59,13,773
120,27,3249,38,7,268
104,25,2618,67,10,673
102,19,1938,127,4,509
94,21,1982,101,8,812
109,27,2961,95,7,667
108,29,3151,72,11,798
123,37,4553,51,11,562
120,42,5066,67,13,873
125,28,3518,60,7,423
133,27,3616,47,6,287
119,24,2865,114,5,570
130,27,3536,55,8,444
110,32,3545,104,11,1151
136,31,4218,43,11,474
128,46,5895,68,16,1088
120,38,4563,100,12,1200
123,26,3218,69,11,766
139,38,5317,54,12,652
120,39,4716,90,16,1446
145,36,5236,55,9,501
125,32,4012,104,11,1148
129,40,5192,98,13,1276
110,42,4642,90,25,2250
140,35,4933,72,12,864
151,40,6068,46,15,704
125,31,3905,98,14,1375
128,35,4484,102,15,1543
157,22,3460,68,5,340
135,27,3667,87,12,1047
145,35,5105,84,13,1093
139,41,5702,84,19,1599
146,38,5553,96,13,1258
137,32,4413,85,17,1445
155,38,5903,73,15,1106
149,37,5548,116,11,1281
134,42,5662,101,24,2435
135,39,5265,110,19,2107
156,38,5933,74,18,1333
160,50,8004,75,23,1734
143,43,6168,127,17,2162
150,41,6164,97,20,1949
151,33,5008,83,19,1577
160,30,4825,120,10,1202
136,49,6680,111,29,3243
145,42,6125,127,19,2428
156,41,6419,98,21,2060
134,47,6331,116,30,3495
174,42,7342,74,20,1488
161,36,5801,95,20,1913
143,33,4730,129,18,2335
175,48,8424,88,22,1951
147,49,7232,117,29,3406
153,43,6602,126,22,2777
128,38,4877,134,26,3489
156,39,6092,117,23,2695
158,57,9038,115,33,3815
168,55,9246,100,33,3328
142,55,7822,135,35,4732
166,54,8979,127,27,3454
171,58,9969,98,38,3742
166,60,9979,117,36,4232
172,61,10535,120,34,4088
159,53,8449,124,35,4348
182,51,9293,92,34,3142
199,55,10987,87,28,2462
163,47,7687,126,31,3923
163,44,7213,149,24,3595
173,64,11116,126,39,4951
200,46,9230,103,24,2473
171,43,7384,151,23,3482
167,57,9573,137,37,5082
159,64,10212,155,41,6385
186,52,9718,109,36,3946
187,62,11639,115,41,4720
211,62,13091,79,44,3510
176,60,10605,128,43,5532
203,58,11782,111,37,4126
192,52,10021,144,28,4044
183,60,10998,143,37,5310
124,48,5981,174,42,7339
176,68,12026,147,46,6774
202,48,9697,112,35,3920
181,49,8892,165,30,4963
166,57,9468,170,39,6643
204,51,10425,133,32,4280
208,59,12290,118,44,5227
211,62,13121,119,44,5245
224,64,14390,107,44,4734
211,60,12692,145,37,5389
203,60,12194,151,39,5926
190,48,9128,155,34,5297
184,46,8467,127,45,5742
142,33,4716,162,33,5378
199,35,6979,128,31,3972
154,35,5412,161,34,5487
155,44,6840,164,43,7056
165,39,6437,151,39,5907
112,41,4616,204,41,8383
171,38,6519,157,36,5670
166,44,7317,159,44,7021
195,29,5683,137,28,3851
197,50,9853,148,46,6848
151,49,7441,182,47,8576
204,47,9596,137,45,6170
233,46,10739,112,45,5076
149,54,8067,193,53,10251
152,42,6390,187,42,7894
164,39,6407,180,39,7050
172,39,6722,178,37,6597
222,37,8226,135,36,4879
114,41,4677,235,40,9409
194,39,7585,172,36,6215
246,32,7898,116,30,3503
224,44,9897,144,42,6076
220,50,11047,151,47,7104
180,43,7763,185,42,7774
183,47,8634,200,43,8638
202,53,10727,174,52,9087
217,46,9998,168,43,7232
128,42,5376,238,42,10034
200,56,11200,185,53,9837
182,34,6214,208,32,6675
191,49,9407,188,49,9246
163,43,7039,221,42,9293
230,43,9890,160,42,6745
142,39,5549,246,39,9612
206,46,9508,189,44,8346
248,39,9678,149,39,5822
235,41,9665,161,41,6639
222,48,10680,183,47,8602
234,42,9838,171,41,7044
172,41,7071,235,40,9408
228,42,9580,187,41,7691
287,62,17836,160,58,9306
263,61,16101,155,60,9306
167,51,8565,251,50,12558
175,53,9304,248,51,12676
244,51,12465,183,49,8978
206,59,12183,224,57,12770
188,44,8314,247,42,10400
198,35,6933,232,34,7918
230,44,10140,214,41,8808
255,36,9201,180,35,6325
282,53,14983,165,52,8604
246,59,14514,193,59,11433
249,47,11728,210,43,9045
240,47,11302,216,44,9530
196,54,10592,251,54,13567
243,66,16103,211,65,13750
228,39,8920,225,39,8791
210,64,13471,244,63,15422
237,62,14730,225,61,13764
288,41,11820,181,40,7247
220,49,10817,247,48,11863
245,62,15238,224,61,13678
291,63,18392,184,63,11632
180,57,10307,290,57,16559
206,59,12164,275,57,15697
243,53,12888,246,51,12558
263,62,16313,222,61,13590
201,59,11886,276,59,16284
259,62,16093,230,62,14309
267,62,16602,230,60,13851
265,71,18872,242,68,16513
285,57,16287,216,56,12126
272,71,19331,231,69,15946
258,50,12923,246,50,12341
240,81,19447,269,80,21574
284,73,20766,234,70,16387
314,62,19507,204,61,12494
292,56,16387,232,55,12795
291,85,24781,234,82,19263
322,66,21299,211,63,13324
265,59,15685,265,57,15146
265,77,20422,263,76,20027
243,64,15588,295,61,17995
313,69,21621,229,67,15402
245,89,21869,284,89,25312
268,70,18804,274,69,18914
368,69,25434,187,66,12357
274,60,16481,281,58,16346
334,85,28464,230,79,18240
244,74,18061,307,72,22162
349,76,26573,210,75,15803
252,71,17934,307,70,21559
275,76,20902,293,75,22008
258,78,20179,307,76,23352
348,56,19516,223,54,12079
292,78,22789,279,77,21544
334,75,25121,241,74,17857
308,63,19420,272,62,16887
