times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
2473,1668988,0,0,0,0,243,59240,0,0,0,0
3227,1546385,0,0,0,0,868,59092,0,0,0,0
3192,731383,0,0,0,0,2418,59171,0,0,0,0
6246,605669,0,0,0,0,3682,59311,0,0,0,0
6417,223055,0,0,0,0,5333,59050,0,0,0,0
9290,84357,33,303,0,0,8406,59546,0,0,0,0
0,0,206,829,0,0,15953,58826,0,0,0,0
0,0,582,1212,0,0,28653,59274,0,0,0,0
0,0,20898,20408,0,0,63449,58998,0,0,0,0
0,0,1,1,0,0,2298,1992,0,0,0,0
0,0,0,0,0,0,2507,1878,0,0,0,0
0,0,1,1,0,0,3131,1792,0,0,0,0
0,0,5,4,0,0,3770,1758,0,0,0,0
0,0,2543,1243,0,0,4127,1799,0,0,0,0
0,0,5461,2597,0,0,4503,1744,0,0,0,0
0,0,10754,4558,0,0,5545,1808,0,0,0,0
0,0,15573,5936,0,0,5966,1800,0,0,0,0
0,0,24994,7952,0,0,6314,1779,0,0,0,0
0,0,37689,11551,0,0,7252,1824,0,0,0,0
0,0,78244,20380,0,0,1570,365,0,0,0,0
0,0,96993,23199,0,0,1552,341,0,0,0,0
0,0,83354,17858,0,0,1758,349,0,0,0,0
0,0,25603,4920,0,0,2203,414,0,0,0,0
0,0,0,0,0,0,2096,370,0,0,0,0
0,0,0,0,0,0,2200,361,0,0,0,0
0,0,0,0,0,0,2472,387,0,0,0,0
0,0,0,0,0,0,2168,324,0,0,0,0
0,0,0,0,0,0,2586,362,0,0,0,0
0,0,0,0,0,0,2932,388,0,0,0,0
0,0,0,0,16,2,2992,379,0,0,0,0
0,0,10,1,0,0,3215,393,0,0,0,0
0,0,0,0,0,0,3326,380,0,0,0,0
0,0,0,0,9,1,3454,376,0,0,0,0
0,0,0,0,0,0,3344,354,0,0,0,0
0,0,0,0,20,2,3875,379,0,0,0,0
0,0,0,0,11,1,4218,401,0,0,0,0
0,0,0,0,22,2,4498,411,0,0,0,0
0,0,0,0,11,1,4036,359,0,0,0,0
0,0,0,0,25,2,4240,354,0,0,0,0
0,0,0,0,0,0,4141,337,0,0,0,0
0,0,0,0,26,2,4544,357,0,0,0,0
0,0,0,0,13,1,4474,339,0,0,0,0
0,0,0,0,57,4,5383,392,0,0,0,0
0,0,0,0,15,1,5184,362,0,0,17,1
0,0,0,0,103,7,5359,367,0,0,0,0
0,0,0,0,30,2,4976,325,0,0,0,0
0,0,0,0,33,2,5696,355,0,0,0,0
0,0,0,0,117,7,5776,352,0,0,0,0
0,0,0,0,204,12,5990,350,0,0,20,1
0,0,0,0,157764,8753,444,25,0,0,0,0
0,0,0,0,0,0,357,20,17,1,0,0
0,0,0,0,0,0,371,20,0,0,41,2
0,0,0,0,0,0,387,20,20,1,19,1
0,0,0,0,0,0,369,18,0,0,67,3
0,0,0,0,0,0,433,21,0,0,22,1
0,0,0,0,0,0,460,22,21,1,0,0
0,0,0,0,0,0,439,21,22,1,25,1
0,0,0,0,0,0,549,25,43,2,25,1
0,0,0,0,0,0,388,17,0,0,49,2
0,0,0,0,0,0,657,28,0,0,0,0
0,0,0,0,0,0,400,17,0,0,26,1
0,0,0,0,0,0,600,24,70,3,54,2
0,0,0,0,0,0,303,12,25,1,0,0
0,0,0,0,0,0,606,23,28,1,90,3
0,0,0,0,0,0,691,26,25,1,60,2
0,0,0,0,0,0,623,22,106,4,90,3
0,0,0,0,0,0,726,26,56,2,65,2
0,0,0,0,0,0,736,26,57,2,33,1
0,0,0,0,0,0,926,31,140,5,65,2
0,0,0,0,0,0,956,31,89,3,65,2
0,0,0,0,0,0,636,20,88,3,107,3
0,0,0,0,0,0,758,24,125,4,176,5
0,0,0,0,0,0,642,20,63,2,74,2
0,0,0,0,0,0,903,27,96,3,217,6
0,0,0,0,0,0,585,17,33,1,71,2
0,0,0,0,0,0,806,23,98,3,268,7
0,0,0,0,0,0,1020,29,104,3,80,2
