Updating,Tracing,Infector,Total
1072452,244603,36096621,37413693
1142249,243869,35822219,37208411
1146439,245135,36051420,37443026
1144596,245079,36032515,37422211
1145454,244706,36000505,37390696
623621,244179,30985520,31853346
1076185,242317,30796843,32115375
1145258,134299,36391169,37670753
1220903,141433,36118915,37481266
1142772,134998,36305476,37583273
1149123,136512,36481446,37767105
1138311,134811,36215916,37489063
628365,134993,31306994,32070380
1028612,137646,30800265,31966538
1139965,133336,35787980,37061307
1138240,134628,36021359,37294252
1139155,135175,35672374,36946745
1203073,140554,36323921,37667579
1141281,135346,35944561,37221212
625682,134906,30482930,31243542
1013970,193743,30818626,32026368
1208676,136454,35975406,37320556
1144174,172064,36682158,37998420
1140893,134366,36238007,37513282
1148112,195442,35978248,37321825
1225307,137279,36298708,37661323
627794,136026,31215388,31979226
1012192,134322,31190386,32336928
1162079,134095,36392314,37688502
1161078,135948,36159440,37456494
1207895,135844,36329585,37673353
1200508,134265,36111311,37446098
1184215,137790,36627526,37949560
638468,134243,31403671,32176405
1015527,133655,31014461,32163670
1145447,133677,36621942,37901092
1161204,135129,36137679,37434027
1178649,136343,36651366,37966388
1265625,136713,36675309,38077670
1214208,135470,36050963,37400667
648178,134550,31321634,32104388
1021122,134207,31240846,32396190
1167480,134183,36230970,37532657
1213035,134899,36852991,38200947
1333827,135922,36498488,37968262
1213701,136999,36719766,38070496
1181751,134794,36340803,37657362
637268,134754,31590156,32362203
1030189,133931,31784646,32948789
1212546,140383,36512030,37864987
1162048,134558,36757875,38054506
1210973,134476,36226070,37571534
1280228,138330,36638225,38056810
1160286,135621,36907634,38203563
658862,134325,31298981,32092193
1030701,135368,31663748,32829845
1168685,134274,36404675,37707648
1177615,135994,36821375,38135011
1156113,134396,36657612,37948134
1208018,134943,36830184,38173175
1260788,136321,36940933,38338065
632437,134145,31069351,31835964
1022919,133576,31490583,32647108
1160746,186906,36177951,37525619
1152604,133989,36968802,38255421
1211109,137920,36722446,38071491
1175312,164338,36926373,38266051
1219114,134101,36896703,38249956
705759,136414,31335294,32177500
1022033,133543,31944971,33100578
1145636,133818,36920682,38200150
1144392,133976,37169889,38448286
1144811,134192,36887136,38166163
1144818,193527,37020297,38358675
1152608,134044,37447475,38734159
627454,135864,31248931,32012270
1013649,132609,31947741,33094028
1215309,133424,36840142,38188897
1157017,134754,37141777,38433584
1143756,134663,37194400,38472843
1145466,156094,37175459,38477041
1153615,134367,37156388,38444390
659156,135470,31272345,32066991
1031563,136036,31724989,32892614
1154842,133973,36813889,38102718
1145976,134313,37122992,38403299
1157932,134922,37050601,38343480
1180887,198173,37055839,38434917
1155460,137330,37276566,38569374
622700,134085,31025032,31781840
1030298,133320,31566835,32730474
1213010,136132,36472714,37821874
1140789,137644,37333449,38611900
1147222,134649,36722085,38003980
1143584,136141,36929986,38209731
1140955,134826,36284764,37560562
624324,195691,31196493,32016527
1107036,139379,31071212,32317649
1142555,199218,36355166,37696956
1146178,136692,36532678,37815565
