Updating,Tracing,Infector,Total
1098604,206234,1360991,2665840
1169250,206815,593458,1969534
1167903,206522,637252,2011695
1168611,206043,604569,1979235
1177628,206915,623716,2008272
637416,206596,491650,1335673
1037449,210497,540297,1788260
1169177,118441,645037,1932670
1169324,119977,686136,1975449
1169177,118430,693711,1981328
1171699,118519,598541,1888769
1167767,115486,652530,1935792
643250,113335,509249,1265844
1036439,115075,517626,1669151
1219664,113759,622865,1956297
1169305,113867,631891,1915073
1167798,116722,659312,1943843
1174584,114969,694313,1983877
1173214,118268,719932,2011425
641759,119611,602034,1363414
1042034,124823,651148,1818017
1173508,119103,785534,2078156
1174395,118857,862871,2156134
1190727,118041,765098,2073878
1170576,115776,802102,2088472
1171036,115781,731983,2018812
642002,115248,666075,1423338
1040993,117908,656574,1815485
1185940,160385,823503,2169846
1174138,116567,842455,2133171
1174082,161003,858187,2193284
1174052,116419,857282,2147764
1173183,160592,889578,2223362
644367,119346,767034,1530756
1097352,161116,777780,2036261
1238902,117143,1015868,2371922
1212373,138961,994902,2346246
1211937,119185,1104948,2436081
1241668,116751,1041980,2400408
1188882,117068,1071589,2377550
648755,116960,931100,1696824
1087259,116414,948744,2152428
1225301,115846,1178362,2519520
1231809,120944,1240965,2593730
1192695,116610,1253546,2562862
1214088,116706,1240958,2571762
1190024,116501,1203068,2509604
655983,116920,1049421,1822334
1092115,117092,1029130,2238348
1198128,158080,1228698,2584922
1189791,116320,1196800,2502921
1189969,116818,1152340,2459137
1190715,116736,1197517,2504978
1191783,116383,1114049,2422226
659881,117236,961754,1738883
1054329,116854,896703,2067897
1188932,160311,1056488,2405742
1186500,117732,1033211,2337452
1236925,117004,1004084,2358023
1186512,117512,967278,2271310
1249546,116784,960859,2327200
653909,120207,800419,1574554
1078860,120079,788287,1987237
1188274,119029,923197,2230512
1204014,119269,955869,2279166
1202423,118062,860327,2180823
1194900,117511,881835,2194262
1193499,118204,825070,2136784
648008,118334,749393,1515749
1044487,119426,700938,1864863
1178438,162297,816212,2156963
1174892,118839,805764,2099513
1191846,150321,796032,2138209
1180137,116303,757836,2054284
1223087,119048,786051,2128198
643158,119125,644161,1406458
1056771,165022,662682,1884485
1193914,124819,791096,2109840
1187104,164796,773416,2125327
1182698,118403,739844,2040965
1199658,141932,734712,2076314
1173132,120458,732892,2026492
641349,119765,675153,1436278
1040046,119819,592992,1752867
1173380,120649,725921,2019961
1172939,123856,765132,2061939
1171478,120017,757282,2048788
1200444,118469,795182,2114105
1209411,120594,773105,2103121
648043,120078,580220,1348353
1038826,119235,590981,1749052
1171585,120275,756405,2048274
1171660,119936,689744,1981348
1185114,155012,729029,2069172
1177876,121561,713411,2012859
1229861,123375,717460,2070712
644356,122296,602780,1369441
1042788,161964,560886,1765650
1196796,119400,626126,1942331
1169280,120522,670795,1960608
