Updating,Tracing,Infector,Total
1077962,243041,20353693,21674710
1145782,241408,20284324,21671535
1216350,241452,20240633,21698449
1227537,241088,20409285,21877931
1142549,240917,20286790,21670276
632329,241639,17677563,18551546
1012671,241183,17953231,19207109
1144022,132985,20146702,21423729
1148927,134745,20036194,21319880
1161950,132837,20336026,21630838
1146472,139602,20472059,21758143
1142648,141238,20249540,21533439
625041,136464,17835645,18597167
1011231,134114,17700661,18846021
1144759,133786,20273534,21552092
1147800,196201,20085115,21429133
1256759,133490,20004770,21395031
1145439,132689,20542978,21821126
1215137,133752,20088734,21437638
628075,133153,17518639,18279881
1011708,131961,17726211,18869896
1154242,132703,20057889,21344850
1168167,133645,19882712,21184538
1169347,133724,20473850,21776938
1142543,132967,20412998,21688519
1182551,133845,19903501,21219909
625042,131890,17658817,18415768
1015668,194376,17488449,18698507
1177620,132899,19974215,21284744
1144021,132519,20095083,21371634
1152790,132084,19984250,21269137
1147328,133523,19991630,21272498
1254091,138828,20227106,21620037
625213,132529,17509299,18267054
1014428,132534,17609886,18756863
1164204,132395,20076042,21372652
1147834,132730,19978250,21258825
1148516,132785,20148810,21430122
1151906,133152,20222982,21508049
1165748,133961,20501498,21801218
636432,134346,18039054,18809845
1024617,133926,17954269,19112827
1167192,133905,20163734,21464843
1188338,133966,20216924,21539238
1153158,134052,20353185,21640406
1155311,134221,20336300,21625844
1162577,134448,20381747,21678784
637426,134180,17828018,18599636
1026137,133621,18079297,19239069
1163997,135716,20380727,21680451
1160851,135004,20526332,21822197
1159890,134614,20383726,21678242
1167225,135682,20532744,21835663
1164681,135568,20330623,21630884
637684,134551,17879801,18652051
1028488,134108,18412217,19574824
1168799,134210,20571162,21874181
1159756,134467,20353753,21647988
1160125,135140,20575306,21870582
1156117,134825,20433231,21724184
1154012,134903,20278963,21567891
639947,134783,17876241,18650987
1019116,134545,18125833,19279508
1226306,135508,20230694,21592519
1150575,134905,20451443,21736935
1148473,134741,20262283,21545508
1158584,135111,20201598,21495305
1157060,135664,20439925,21732660
624641,134839,17705234,18464729
1067670,135006,17653103,18855797
1146492,135455,20843647,22125612
1145173,135282,20336020,21616488
1143937,136534,20282711,21563193
1144631,135877,20513148,21793667
1164160,135700,20344377,21644247
693569,136400,17603260,18433246
1015637,136038,18213467,19365158
1246686,136558,20412542,21795797
1156686,136396,20288147,21581240
1183982,136093,20761536,22081625
1143423,136426,20430905,21710766
1142182,136944,20226108,21505245
622946,137011,17860642,18620618
1012640,137734,17930160,19080547
1141826,136920,20511061,21789819
1160603,137016,20498828,21796463
1172400,137710,20459109,21769230
1148421,138617,20237492,21524543
1142615,136593,20480709,21759933
696287,140209,17824676,18661187
1092852,139571,17559194,18791631
1184446,141720,20801567,22127750
1165404,138477,20519820,21823717
1145536,140743,20180791,21467082
1142789,139171,20428158,21710141
1148719,137625,20485819,21772175
625096,138607,17914778,18678498
1058858,138060,17944956,19141889
1159699,139781,21035816,22335311
1141152,138444,20306692,21586301
