times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
3500,1668988,0,0,0,0,121,59240,0,0,0,0
5184,1546385,0,0,0,0,429,59092,0,0,0,0
3953,731383,0,0,0,0,823,59171,0,0,0,0
9179,605669,0,0,0,0,2225,59311,0,0,0,0
8688,223055,0,0,0,0,5868,59050,0,0,0,0
10842,84357,108,303,0,0,14214,59546,0,0,0,0
0,0,527,829,0,0,23090,58826,0,0,0,0
0,0,1139,1212,0,0,45804,59274,0,0,0,0
0,0,21193,20408,0,0,60404,58998,0,0,0,0
0,0,1,1,0,0,2197,1992,0,0,0,0
0,0,0,0,0,0,2387,1878,0,0,0,0
0,0,1,1,0,0,2926,1792,0,0,0,0
0,0,5,4,0,0,3508,1758,0,0,0,0
0,0,2090,1243,0,0,3854,1799,0,0,0,0
0,0,5312,2597,0,0,4187,1744,0,0,0,0
0,0,9910,4558,0,0,4852,1808,0,0,0,0
0,0,13817,5936,0,0,5603,1800,0,0,0,0
0,0,20258,7952,0,0,5723,1779,0,0,0,0
0,0,33889,11551,0,0,6267,1824,0,0,0,0
0,0,67586,20380,0,0,1397,365,0,0,0,0
0,0,79781,23199,0,0,1377,341,0,0,0,0
0,0,71239,17858,0,0,1545,349,0,0,0,0
0,0,21097,4920,0,0,1902,414,0,0,0,0
0,0,0,0,0,0,1853,370,0,0,0,0
0,0,0,0,0,0,1914,361,0,0,0,0
0,0,0,0,0,0,2147,387,0,0,0,0
0,0,0,0,0,0,1871,324,0,0,0,0
0,0,0,0,0,0,2221,362,0,0,0,0
0,0,0,0,0,0,2487,388,0,0,0,0
0,0,0,0,17,2,2572,379,0,0,0,0
0,0,10,1,0,0,2782,393,0,0,0,0
0,0,0,0,0,0,2854,380,0,0,0,0
0,0,0,0,8,1,2871,376,0,0,0,0
0,0,0,0,0,0,2854,354,0,0,0,0
0,0,0,0,17,2,3260,379,0,0,0,0
0,0,0,0,9,1,3486,401,0,0,0,0
0,0,0,0,18,2,3747,411,0,0,0,0
0,0,0,0,9,1,3353,359,0,0,0,0
0,0,0,0,19,2,3442,354,0,0,0,0
0,0,0,0,0,0,3394,337,0,0,0,0
0,0,0,0,21,2,3737,357,0,0,0,0
0,0,0,0,10,1,3648,339,0,0,0,0
0,0,0,0,46,4,4359,392,0,0,0,0
0,0,0,0,11,1,4156,362,0,0,15,1
0,0,0,0,85,7,4388,367,0,0,0,0
0,0,0,0,23,2,4045,325,0,0,0,0
0,0,0,0,26,2,4554,355,0,0,0,0
0,0,0,0,90,7,4588,352,0,0,0,0
0,0,0,0,161,12,4734,350,0,0,17,1
0,0,0,0,121450,8753,348,25,0,0,0,0
0,0,0,0,0,0,294,20,15,1,0,0
0,0,0,0,0,0,293,20,0,0,35,2
0,0,0,0,0,0,300,20,17,1,17,1
0,0,0,0,0,0,270,18,0,0,60,3
0,0,0,0,0,0,332,21,0,0,19,1
0,0,0,0,0,0,353,22,18,1,0,0
0,0,0,0,0,0,350,21,19,1,21,1
0,0,0,0,0,0,425,25,41,2,21,1
0,0,0,0,0,0,296,17,0,0,44,2
0,0,0,0,0,0,493,28,0,0,0,0
0,0,0,0,0,0,314,17,0,0,22,1
0,0,0,0,0,0,462,24,61,3,45,2
0,0,0,0,0,0,234,12,21,1,0,0
0,0,0,0,0,0,456,23,23,1,73,3
0,0,0,0,0,0,518,26,22,1,51,2
0,0,0,0,0,0,453,22,90,4,78,3
0,0,0,0,0,0,560,26,47,2,52,2
0,0,0,0,0,0,567,26,48,2,29,1
0,0,0,0,0,0,684,31,120,5,56,2
0,0,0,0,0,0,694,31,75,3,54,2
0,0,0,0,0,0,482,20,73,3,82,3
0,0,0,0,0,0,571,24,105,4,148,5
0,0,0,0,0,0,474,20,53,2,57,2
0,0,0,0,0,0,672,27,76,3,174,6
0,0,0,0,0,0,425,17,27,1,65,2
0,0,0,0,0,0,605,23,82,3,217,7
0,0,0,0,0,0,752,29,83,3,62,2
0,0,0,0,0,0,692,26,85,3,276,9
0,0,0,0,0,0,539,20,57,2,33,1
0,0,0,0,0,0,519,19,144,5,101,3
0,0,0,0,0,0,663,23,180,6,264,8
0,0,0,0,0,0,684,24,213,7,99,3
0,0,0,0,0,0,583,20,122,4,208,6
0,0,0,0,0,0,846,28,130,4,139,4
0,0,0,0,0,0,659,21,127,4,146,4
0,0,0,0,0,0,491,16,65,2,75,2
0,0,0,0,0,0,900,28,103,3,38,1
0,0,0,0,0,0,678,21,34,1,75,2
0,0,0,0,0,0,628,19,138,4,76,2
0,0,0,0,0,0,840,25,142,4,37,1
0,0,0,0,0,0,1010,30,71,2,42,1
0,0,0,0,0,0,998,29,72,2,83,2
0,0,0,0,0,0,695,20,145,4,205,5
0,0,0,0,0,0,827,23,194,5,162,4
0,0,0,0,0,0,868,24,115,3,81,2
0,0,0,0,0,0,704,19,39,1,40,1
0,0,0,0,0,0,703,19,77,2,43,1
0,0,0,0,0,0,738,19,79,2,93,2
0,0,0,0,0,0,971,25,120,3,0,0
0,0,0,0,0,0,937,24,159,4,91,2
0,0,0,0,0,0,766,19,0,0,312,7
0,0,0,0,0,0,699,17,0,0,141,3
0,0,0,0,0,0,793,19,128,3,184,4
0,0,0,0,0,0,631,15,131,3,140,3
0,0,0,0,0,0,713,17,221,5,96,2
0,0,0,0,0,0,728,17,178,4,242,5
0,0,0,0,0,0,1097,25,92,2,0,0
0,0,0,0,0,0,619,14,93,2,151,3
0,0,0,0,0,0,497,11,182,4,100,2
0,0,0,0,0,0,1414,30,385,8,199,4
0,0,0,0,0,0,1265,27,152,3,211,4
0,0,0,0,0,0,1028,22,260,5,106,2
0,0,0,0,0,0,1153,24,347,7,107,2
0,0,0,0,0,0,1419,29,99,2,277,5
0,0,0,0,0,0,1076,22,102,2,280,5
0,0,0,0,0,0,1247,25,0,0,170,3
0,0,0,0,0,0,1191,23,212,4,116,2
0,0,0,0,0,0,1161,22,254,5,358,6
0,0,0,0,0,0,1607,31,161,3,173,3
