Updating,Tracing,Infector,Total
1077296,242237,19728529,21048084
1136640,241395,19584439,20962541
1142058,302298,19300502,20744874
1139989,241909,19591988,20973911
1139469,242563,19410008,20792070
631854,241562,16671857,17545290
1027226,241215,17599296,18867763
1143221,132806,19680835,20956887
1138388,134122,19227151,20499675
1145265,133851,19516158,20795298
1264633,138657,19575747,20979061
1235566,143077,19340084,20718740
668794,136130,16910674,17715623
1090460,135328,16470845,17696649
1290669,134096,19169760,20594541
1237537,199859,19939965,21377394
1139656,197430,19409881,20746979
1143489,132143,19463695,20739342
1136446,132970,19630887,20900327
632929,132766,16802778,17568488
1020131,131691,16852389,18004227
1136507,132431,19596688,20865654
1136552,132697,19521108,20790370
1138036,133169,19760619,21031838
1137092,132712,19408216,20678043
1142401,133275,19460163,20735852
632993,131943,16804430,17569392
1019558,131813,16921936,18073330
1143956,197801,19301916,20643686
1137220,132734,19357070,20627038
1143328,133767,19793886,21071007
1165049,134362,19328110,20627534
1138202,132203,19410331,20680757
675681,137116,16729323,17542145
1021671,132153,16750095,17903935
1139854,131906,19949644,21221428
1143710,132881,19275888,20552504
1288058,134814,19223713,20646597
1245193,134696,19520530,20900440
1267458,203627,19829997,21301107
696238,149249,16474360,17319862
1076785,132145,16535299,17744242
1227169,132454,19526011,20885656
1232018,134865,19722071,21088966
1170929,133107,19829048,21133100
1148789,132490,19839973,21121276
1164452,133335,19717176,21014975
649775,132662,17043411,17825863
1035545,132293,17238954,18406820
1172263,132854,19817118,21122248
1155250,132700,19758647,21046610
1155611,132417,19981195,21269250
1228886,133598,19909931,21272428
1153614,132731,19624351,20910711
648540,132218,17374842,18155645
1130881,135880,17031546,18298323
1214195,131953,19659200,21005364
1161751,134047,19882829,21178651
1233982,133459,19701669,21069124
1164242,132337,19599464,20896058
1212786,133633,20017143,21363591
646946,131913,17644578,18423457
1197775,138468,16993418,18329679
1145719,131938,20188503,21466178
1242073,134368,20132105,21508571
1145772,197002,19975193,21317984
1144616,132271,20087626,21364532
1143863,132581,20155971,21432439
646726,132760,17491531,18271035
1120162,137418,17053160,18310758
1144266,132336,20153831,21430457
1146173,146953,20066698,21359845
1142178,132553,19560965,20835720
1237796,133996,19936976,21308797
1233895,133987,19726192,21094093
635186,132206,16578599,17346016
1020683,133220,17053836,18207808
1138666,131960,19612795,20883442
1136828,132413,19537549,20806812
1142609,132548,19575781,20850967
1140540,132504,19580723,20853796
1138483,196700,19576266,20911471
632454,132910,16685216,17450614
1020224,131722,17067327,18219307
1237073,138599,19710420,21086117
1140031,132651,19382068,20654774
1137545,132377,19650710,20920669
1141489,134302,19633200,20909012
1135755,132669,19366911,20635370
633750,132597,16818524,17584907
1021026,131828,16769639,17922518
1240084,140114,19896642,21276863
1137203,134070,20375280,21646622
1138122,136044,19961106,21235307
1193358,214760,19969636,21377777
1236737,134768,19911793,21283377
688355,135775,17038265,17862424
1099618,133891,17304439,18537975
1304304,140957,19818245,21263533
1186575,133547,20187597,21507758
