Updating,Tracing,Infector,Total
1109198,230007,13727098,15066320
1243372,229588,13239964,14712946
1264034,231787,13099744,14595589
1168483,229683,13457444,14855628
1168592,229607,13630827,15029045
639110,229407,10827864,11696409
1083353,231409,10970707,12285486
1169166,125729,13078466,14373377
1170046,126779,13290859,14587699
1263623,126454,13097490,14487589
1292661,131801,13275398,14699882
1169556,125774,13536457,14831801
638538,126626,10934022,11699203
1080251,127480,11051593,12259347
1230187,129763,13604410,14964381
1168145,125158,13534259,14827577
1168381,126519,13164164,14459077
1264055,126444,13234153,14624675
1177772,173965,13430776,14782532
639472,125066,11187465,11952018
1079817,125090,10617844,11822767
1281503,127659,13470365,14879545
1171189,125430,13824982,15121622
1258853,126609,13546134,14931610
1282056,124964,13073028,14480062
1265681,126793,13341973,14734468
663501,124967,11380574,12169067
1000185,169630,10918696,12088527
1223664,125429,13107707,14456813
1194827,130561,13767291,15092694
1170873,127030,13759246,15057170
1171964,124755,13632579,14929311
1266297,126351,13228050,14620710
694547,126255,11361372,12182195
1002166,124494,11475858,12602543
1216795,124889,13515889,14857588
1319751,126664,13455458,14901886
1175977,126085,13950484,15252559
1175141,124969,14219879,15520010
1176455,125125,13969446,15271039
695605,126287,11158349,11980259
1077359,126313,11555336,12759023
1178576,124809,14414243,15717647
1283797,177394,14043397,15504628
1246465,126183,13897400,15270063
1283855,127207,13811080,15222156
1184494,125080,14450256,15759851
650963,125800,12114930,12891716
1010583,124970,11632648,12768217
1282140,126723,14003729,15412605
1185022,126835,14422494,15734367
1184586,125046,14483966,15793620
1185190,125511,14447980,15758693
1227493,125138,14095834,15448478
704590,126603,11944024,12775243
1013163,124955,12421869,13560010
1188329,165632,14608401,15962376
1183957,124967,14357259,15666197
1278992,126472,14356937,15762416
1314277,126825,14125390,15566514
1203728,125629,14502911,15832282
647016,125183,12234590,13006811
1182662,127636,12132853,13443171
1274732,126121,14183256,15584130
1176141,124946,14431089,15732197
1177590,168419,14509328,15855351
1225036,125441,14266960,15617451
1213364,124606,14419131,15757122
693504,126413,11780294,12600244
1004478,124982,12289705,13419183
1172724,169434,14500844,15843022
1171875,126578,14163097,15461580
1306105,130307,14187583,15624021
1274993,126382,14053791,15455184
1223539,124863,14242885,15591306
640126,125212,11802432,12567795
1054144,125890,11431079,12611140
1301895,126053,14029608,15457576
1171598,138586,14327276,15637479
1217627,125115,14143063,15485830
1168370,125055,14136579,15430031
1263916,126432,13764667,15155038
690289,126788,11601073,12418174
1048494,125176,11782398,12956096
1200757,124707,14072086,15397580
1280106,126798,13874988,15281922
1319025,129727,14080440,15529212
1170053,125858,14247535,15543475
1169726,126065,14282424,15578241
638266,126375,11400608,12165282
1082091,127135,11499875,12709126
1172698,125107,14230986,15528813
1184095,125879,14193958,15503956
1200033,126494,14032651,15359213
1264548,126689,13777619,15168878
1289508,127490,13968883,15385903
640321,168922,12022535,12831861
999883,125113,11404932,12529958
1197156,125521,13712831,15035536
1171255,127508,14312128,15610915
