Updating,Tracing,Infector,Total
1077618,240798,13837927,15156361
1141545,240302,13740630,15122514
1142417,240368,13592039,14974843
1140891,240416,13621532,15002862
1199566,247939,13841044,15288579
621750,240297,11246738,12108816
1009116,240057,11214479,12463672
1211615,132418,13523345,14867396
1141820,133592,13703735,14979168
1141300,132143,13747405,15020872
1141564,131910,13645656,14919143
1140412,133375,13528136,14801939
621641,132264,11329753,12083683
1007819,132929,11214282,12355058
1215701,136979,13939710,15292406
1213754,132384,13537972,14884128
1143451,131698,13711625,14986790
1140073,132152,13723456,14995705
1140104,132062,13659239,14931421
621905,133806,11140425,11896153
1008486,134108,11280210,12422820
1208098,132657,13705105,15045885
1143464,196617,13655044,14995139
1142022,132586,13657657,14932280
1142227,131788,13741615,15015647
1141712,131964,14207357,15481060
622077,132432,11292467,12046996
1009432,131615,11299321,12440386
1142100,131555,13745882,15019551
1140374,131640,13835485,15107524
1209854,133747,13788615,15132236
1160147,182201,13722848,15065211
1146964,132086,13798594,15077661
623771,132045,11466354,12222197
1081678,132196,11434732,12648623
1145790,131772,13889617,15167194
1145206,132202,13871989,15149414
1147842,132155,14046713,15326733
1148490,132013,14309202,15589720
1190912,132371,13954098,15277395
627494,132111,11506850,12266474
1016272,133565,11740691,12890553
1149893,132182,14169728,15451822
1152423,132240,14173899,15458576
1154406,132262,14251336,15538021
1155035,132997,14284382,15572442
1154009,132168,14343037,15629227
636882,132625,12016801,12786325
1025302,132088,11822656,12980062
1157400,132148,14299495,15589059
1157615,132200,14457056,15746889
1160069,132283,14379887,15672254
1226578,132313,14774689,16133595
1162513,132341,14225902,15520774
638112,132084,12079833,12850046
1025555,131791,11984731,13142096
1168382,187412,14332479,15688288
1153876,131972,14143156,15429019
1155719,132460,14324465,15612659
1155072,131922,14370998,15658007
1221656,131868,14222594,15576132
632011,132380,11647520,12411935
1018162,131819,11759008,12909013
1151040,131638,14304873,15587567
1148407,131937,14264483,15544844
1148337,131815,14049733,15329900
1152846,132253,14332745,15617861
1188290,135080,14266566,15589953
632269,132244,11924537,12689069
1012498,131598,11749523,12893639
1144847,131764,14022611,15299241
1143867,131954,14244885,15520726
1143784,132002,14185519,15461325
1168813,172994,14154959,15496782
1144082,132312,13875194,15151609
622372,131774,11603204,12357373
1009028,131622,11660579,12801251
1146108,131922,14162512,15440561
1142533,132143,14052663,15327357
1142775,131989,13909016,15183805
1144391,132204,14146651,15423266
1141818,133889,14571211,15846939
621781,131821,11740147,12493770
1008711,131608,11362719,12503062
1143961,132327,14053899,15330208
1142383,132210,14104984,15379598
1140478,132310,14252095,15524904
1211544,132057,13936990,15280610
1140402,132380,13996712,15269520
622576,131494,11620222,12374312
1009516,131679,11608681,12749898
1146760,186184,14498362,15831329
1140797,133163,13936366,15210353
1156934,134827,14210828,15502611
1146838,132757,14155441,15435061
1151578,138124,14713132,16002852
694712,135164,11570107,12400006
1012216,133373,11491785,12637460
1149366,139577,14273852,15562854
1146037,135142,14168776,15449982
