times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
21329,1668988,0,0,0,0,219,59240,0,0,0,0
27219,1546385,0,0,0,0,480,59092,0,0,0,0
20581,731383,0,0,0,0,1820,59171,0,0,0,0
46910,605669,0,0,0,0,5647,59311,0,0,0,0
55206,223055,0,0,0,0,19034,59050,0,0,0,0
53461,84357,220,303,0,0,38445,59546,0,0,0,0
0,0,860,829,0,0,60471,58826,0,0,0,0
0,0,1334,1212,0,0,64036,59274,0,0,0,0
0,0,25819,20408,0,0,74643,58998,0,0,0,0
0,0,2,1,0,0,3486,1992,0,0,0,0
0,0,0,0,0,0,3993,1878,0,0,0,0
0,0,3,1,0,0,4246,1792,0,0,0,0
0,0,9,4,0,0,4982,1758,0,0,0,0
0,0,3646,1243,0,0,5764,1799,0,0,0,0
0,0,9082,2597,0,0,6182,1744,0,0,0,0
0,0,17440,4558,0,0,7190,1808,0,0,0,0
0,0,25003,5936,0,0,7845,1800,0,0,0,0
0,0,37565,7952,0,0,8386,1779,0,0,0,0
0,0,58547,11551,0,0,9386,1824,0,0,0,0
0,0,118134,20380,0,0,1993,365,0,0,0,0
0,0,148955,23199,0,0,2024,341,0,0,0,0
0,0,129076,17858,0,0,2222,349,0,0,0,0
0,0,40623,4920,0,0,2765,414,0,0,0,0
0,0,0,0,0,0,2659,370,0,0,0,0
0,0,0,0,0,0,2768,361,0,0,0,0
0,0,0,0,0,0,3125,387,0,0,0,0
0,0,0,0,0,0,2712,324,0,0,0,0
0,0,0,0,0,0,3173,362,0,0,0,0
0,0,0,0,0,0,3644,388,0,0,0,0
0,0,0,0,20,2,3699,379,0,0,0,0
0,0,13,1,0,0,4023,393,0,0,0,0
0,0,0,0,0,0,4134,380,0,0,0,0
0,0,0,0,10,1,4263,376,0,0,0,0
0,0,0,0,0,0,4119,354,0,0,0,0
0,0,0,0,25,2,4705,379,0,0,0,0
0,0,0,0,12,1,5107,401,0,0,0,0
0,0,0,0,27,2,5525,411,0,0,0,0
0,0,0,0,13,1,4934,359,0,0,0,0
0,0,0,0,27,2,5129,354,0,0,0,0
0,0,0,0,0,0,5074,337,0,0,0,0
0,0,0,0,32,2,5528,357,0,0,0,0
0,0,0,0,19,1,5438,339,0,0,0,0
0,0,0,0,68,4,6558,392,0,0,0,0
