times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
23394,1668988,0,0,0,0,786,59240,0,0,0,0
41872,1546385,0,0,0,0,1628,59092,0,0,0,0
55933,731383,0,0,0,0,6047,59171,0,0,0,0
135449,605669,0,0,0,0,15172,59311,0,0,0,0
122922,223055,0,0,0,0,38756,59050,0,0,0,0
88604,84357,329,303,0,0,60224,59546,0,0,0,0
0,0,955,829,0,0,65300,58826,0,0,0,0
0,0,1608,1212,0,0,74570,59274,0,0,0,0
0,0,34328,20408,0,0,96600,58998,0,0,0,0
0,0,2,1,0,0,4194,1992,0,0,0,0
0,0,0,0,0,0,4487,1878,0,0,0,0
0,0,3,1,0,0,5076,1792,0,0,0,0
0,0,10,4,0,0,5629,1758,0,0,0,0
0,0,4197,1243,0,0,6515,1799,0,0,0,0
0,0,9653,2597,0,0,7164,1744,0,0,0,0
0,0,19170,4558,0,0,8093,1808,0,0,0,0
0,0,27272,5936,0,0,8944,1800,0,0,0,0
0,0,40275,7952,0,0,9445,1779,0,0,0,0
0,0,63520,11551,0,0,10439,1824,0,0,0,0
0,0,125598,20380,0,0,2235,365,0,0,0,0
0,0,154101,23199,0,0,2255,341,0,0,0,0
0,0,131102,17858,0,0,2482,349,0,0,0,0
0,0,39626,4920,0,0,3102,414,0,0,0,0
0,0,0,0,0,0,2905,370,0,0,0,0
0,0,0,0,0,0,3118,361,0,0,0,0
0,0,0,0,0,0,3431,387,0,0,0,0
0,0,0,0,0,0,3011,324,0,0,0,0
0,0,0,0,0,0,3558,362,0,0,0,0
0,0,0,0,0,0,4040,388,0,0,0,0
0,0,0,0,23,2,4099,379,0,0,0,0
0,0,15,1,0,0,4424,393,0,0,0,0
0,0,0,0,0,0,4534,380,0,0,0,0
0,0,0,0,13,1,4665,376,0,0,0,0
0,0,0,0,0,0,4576,354,0,0,0,0
0,0,0,0,27,2,5175,379,0,0,0,0
0,0,0,0,14,1,5674,401,0,0,0,0
0,0,0,0,29,2,6036,411,0,0,0,0
0,0,0,0,15,1,5490,359,0,0,0,0
0,0,0,0,37,2,5683,354,0,0,0,0
0,0,0,0,0,0,5551,337,0,0,0,0
0,0,0,0,36,2,6057,357,0,0,0,0
0,0,0,0,23,1,5974,339,0,0,0,0
0,0,0,0,76,4,7190,392,0,0,0,0
0,0,0,0,20,1,6792,362,0,0,21,1
0,0,0,0,139,7,7166,367,0,0,0,0
0,0,0,0,45,2,6642,325,0,0,0,0
0,0,0,0,42,2,7544,355,0,0,0,0
0,0,0,0,162,7,7629,352,0,0,0,0
0,0,0,0,286,12,7831,350,0,0,25,1
0,0,0,0,209683,8753,577,25,0,0,0,0
0,0,0,0,0,0,464,20,19,1,0,0
0,0,0,0,0,0,479,20,0,0,56,2
0,0,0,0,0,0,495,20,22,1,25,1
0,0,0,0,0,0,455,18,0,0,86,3
0,0,0,0,0,0,567,21,0,0,29,1
0,0,0,0,0,0,603,22,29,1,0,0
0,0,0,0,0,0,581,21,28,1,31,1
0,0,0,0,0,0,714,25,50,2,29,1
0,0,0,0,0,0,501,17,0,0,65,2
0,0,0,0,0,0,849,28,0,0,0,0
0,0,0,0,0,0,519,17,0,0,38,1
0,0,0,0,0,0,778,24,85,3,68,2
0,0,0,0,0,0,383,12,29,1,0,0
0,0,0,0,0,0,810,23,32,1,116,3
0,0,0,0,0,0,891,26,32,1,78,2
0,0,0,0,0,0,776,22,130,4,120,3
0,0,0,0,0,0,939,26,72,2,82,2
0,0,0,0,0,0,955,26,74,2,38,1
0,0,0,0,0,0,1174,31,175,5,78,2
0,0,0,0,0,0,1220,31,118,3,83,2
0,0,0,0,0,0,800,20,110,3,134,3
0,0,0,0,0,0,993,24,147,4,238,5
0,0,0,0,0,0,840,20,75,2,91,2
0,0,0,0,0,0,1164,27,120,3,280,6
0,0,0,0,0,0,713,17,39,1,86,2
0,0,0,0,0,0,1015,23,116,3,346,7
0,0,0,0,0,0,1306,29,120,3,100,2
0,0,0,0,0,0,1186,26,123,3,454,9
0,0,0,0,0,0,953,20,84,2,51,1
0,0,0,0,0,0,936,19,220,5,159,3
0,0,0,0,0,0,1156,23,273,6,426,8
0,0,0,0,0,0,1215,24,333,7,166,3
0,0,0,0,0,0,1033,20,183,4,338,6
0,0,0,0,0,0,1507,28,190,4,222,4
0,0,0,0,0,0,1123,21,194,4,229,4
0,0,0,0,0,0,887,16,99,2,119,2
0,0,0,0,0,0,1556,28,151,3,63,1
0,0,0,0,0,0,1181,21,51,1,145,2
0,0,0,0,0,0,1086,19,218,4,118,2
0,0,0,0,0,0,1510,25,218,4,64,1
0,0,0,0,0,0,1766,30,110,2,66,1
0,0,0,0,0,0,1767,29,111,2,128,2
0,0,0,0,0,0,1254,20,227,4,337,5
0,0,0,0,0,0,1427,23,302,5,267,4
0,0,0,0,0,0,1561,24,175,3,137,2
