times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
12052,1668988,0,0,0,0,803,59240,0,0,0,0
18070,1546385,0,0,0,0,1950,59092,0,0,0,0
28650,731383,0,0,0,0,3976,59171,0,0,0,0
55435,605669,0,0,0,0,6227,59311,0,0,0,0
56196,223055,0,0,0,0,11001,59050,0,0,0,0
62223,84357,328,303,0,0,22535,59546,0,0,0,0
0,0,860,829,0,0,33504,58826,0,0,0,0
0,0,1273,1212,0,0,45271,59274,0,0,0,0
0,0,23088,20408,0,0,66049,58998,0,0,0,0
0,0,1,1,0,0,2513,1992,0,0,0,0
0,0,0,0,0,0,2782,1878,0,0,0,0
0,0,3,1,0,0,3213,1792,0,0,0,0
0,0,6,4,0,0,3777,1758,0,0,0,0
0,0,2604,1243,0,0,4252,1799,0,0,0,0
0,0,6616,2597,0,0,4574,1744,0,0,0,0
0,0,13138,4558,0,0,5186,1808,0,0,0,0
0,0,17636,5936,0,0,5876,1800,0,0,0,0
0,0,26239,7952,0,0,6196,1779,0,0,0,0
0,0,42290,11551,0,0,6796,1824,0,0,0,0
0,0,81397,20380,0,0,1460,365,0,0,0,0
0,0,96901,23199,0,0,1492,341,0,0,0,0
0,0,87639,17858,0,0,1645,349,0,0,0,0
0,0,27430,4920,0,0,2086,414,0,0,0,0
0,0,0,0,0,0,1976,370,0,0,0,0
0,0,0,0,0,0,2091,361,0,0,0,0
0,0,0,0,0,0,2325,387,0,0,0,0
0,0,0,0,0,0,1982,324,0,0,0,0
0,0,0,0,0,0,2415,362,0,0,0,0
0,0,0,0,0,0,2702,388,0,0,0,0
0,0,0,0,13,2,2738,379,0,0,0,0
0,0,47,1,0,0,2982,393,0,0,0,0
0,0,0,0,0,0,3037,380,0,0,0,0
0,0,0,0,7,1,3110,376,0,0,0,0
0,0,0,0,0,0,3045,354,0,0,0,0
0,0,0,0,16,2,3469,379,0,0,0,0
0,0,0,0,9,1,3766,401,0,0,0,0
0,0,0,0,20,2,3995,411,0,0,0,0
0,0,0,0,9,1,3599,359,0,0,0,0
0,0,0,0,18,2,3757,354,0,0,0,0
