Updating,Tracing,Infector,Total
1023868,229312,22209654,23462853
1093250,228742,22349934,23671962
1159857,228906,21852629,23241477
1092766,229018,22034621,23356435
1106050,273078,21986952,23366113
600604,228802,12000517,12829947
971644,228344,11889310,13089328
1123855,125877,22583340,23833093
1090472,126363,21939902,23156749
1093876,124766,22142491,23361154
1090482,135913,22009525,23235934
1088821,130739,22138029,23357603
619442,128818,11777413,12525696
970128,125374,11904238,12999758
1090424,124135,22173908,23388480
1094411,125345,22160316,23380097
1150742,125721,22075737,23352212
1108537,125843,22205724,23440130
1107632,125256,22056245,23289154
603923,124544,12109760,12838243
969928,125383,11915133,13010467
1152508,125405,22203395,23481329
1140230,126074,22065251,23331569
1111919,124711,22213047,23449696
1094480,124378,21820546,23039423
1115199,126536,21675862,22917613
603314,125122,11985395,12713851
1000567,125501,11778747,12904827
1091429,124257,21680083,22895782
1095604,124620,21605980,22826220
1094128,124698,21535919,22754769
1094308,125139,21383823,22603285
1095123,168721,21486339,22750205
610038,125216,11731421,12466696
975335,124885,11890064,12990301
1095655,124396,21756317,22976384
1110762,125066,21778716,23014564
1165701,127957,21665839,22959512
1205171,126293,21893771,23225257
1099082,125485,21875878,23100457
608018,125060,11942679,12675771
1051841,125204,12029822,13206882
1105576,125148,22009165,23239901
1105838,125033,22160089,23390972
1111592,125613,22291464,23528687
1108507,124832,22379854,23613207
1110878,125100,22088747,23324738
615767,124831,12881961,13622574
990618,168044,12550776,13709454
1162278,124829,22411085,23698244
1116529,125073,22738410,23980023
1113421,125433,22753404,23992300
1117462,124860,22524949,23767288
1114053,125637,22841331,24081038
616602,124572,12964940,13706130
993241,124530,12735352,13853177
1111612,124296,23001632,24237556
1131659,125378,23053359,24310442
1107722,124625,22914829,24147188
1108038,124581,23146902,24379571
1108102,124906,23210761,24443813
638467,124925,13003789,13767231
982502,124083,13310120,14416759
1101738,124776,23043460,24270023
1100535,124592,22867305,24092477
1169629,125700,23128150,24423522
1099605,124442,22798156,24022250
1096348,124392,22697142,23917940
604144,124546,13322202,14050939
980689,124230,12956778,14061749
1118139,124522,22751416,23994128
1103036,124967,22790466,24018519
1119174,127618,22648899,23895742
1142170,125336,22416460,23684052
1098822,124438,22494889,23718203
603767,124814,12561137,13289772
979688,125037,12332806,13437590
1092316,124418,22373946,23590738
1160433,125852,22750625,24036960
1125932,124854,22291906,23542742
1102550,124871,22671469,23898940
1098546,153288,22523500,23775387
610473,124987,12326630,13062165
981738,125439,12505996,13613229
1101163,125133,22333447,23559799
1146563,126050,22465233,23737902
1101603,125167,22449221,23676010
1155077,125589,22328760,23609477
1091426,124603,22173237,23389314
676133,131455,12510445,13318088
974223,124631,12281977,13380891
1089448,125046,22385357,23599885
1091589,125423,22195988,23413055
1091002,125507,22140236,23356797
1119940,131998,22168768,23420756
1099320,125106,22297193,23521644
600468,125964,12304788,13031271
989196,130651,12552900,13672799
1118044,131606,22475362,23725081
1109477,129361,22365671,23604536
