Updating,Tracing,Infector,Total
1081291,241138,12841954,14164401
1145407,240701,12573484,13959622
1145395,240568,12465911,13851894
1215028,240972,12417923,13873946
1145980,240515,12618836,14005352
626839,242342,10655803,11525014
1018098,240729,10326939,11585787
1194795,152557,12497435,13844801
1145970,133932,12450276,13730193
1147392,132085,12733864,14013365
1149589,206741,12512246,13868600
1147625,136383,12545536,13829557
624518,133003,10182996,10940533
1020539,132638,10450841,11604044
1145480,131615,12558302,13835417
1148236,133159,12520901,13802311
1220021,134155,12752457,14106647
1146890,131703,12602016,13880625
1147061,132456,12574979,13854518
625952,134619,10357151,11117738
1018597,132119,10326915,11477646
1148077,131821,12454028,13733942
1150456,131717,12774761,14056958
1149436,132051,12601568,13883078
1149032,131556,12602462,13883065
1174384,131696,12515010,13821106
626357,131490,10586478,11344354
1021400,131580,10473991,11627000
1149147,131642,12752147,14032949
1242344,137019,13003821,14383197
1151426,131650,12760928,14044022
1150571,131628,12825221,14107438
1156831,197303,12768931,14123078
627904,131474,10588140,11347532
1022554,131707,10522924,11677203
1159491,131541,13071300,14363113
1151844,198781,12893925,14244575
1152899,131899,12977312,14262123
1154767,131677,12900757,14187215
1155995,131554,13096049,14383618
631987,131576,10908950,11672537
1027194,131771,10983577,12142558
1159533,131610,13098067,14389223
1172566,136511,13369015,14678106
1162464,131817,13350999,14645304
1164002,131940,13235080,14531034
1164181,132024,13367269,14663490
638363,131732,11169915,11940025
1031541,131540,11224807,12387904
1167427,131751,13434030,14733231
1168503,131794,13392617,14692931
1238173,132100,13309858,14680146
1169948,131791,13467843,14769596
1171622,132011,13504928,14808586
641188,131762,11427272,12200242
1036279,131603,11385917,12553814
1167465,131546,13447709,14746734
1168322,131559,13537467,14837363
1240374,137073,13862494,15239955
1165525,131817,13416923,14714281
1162374,131866,13236113,14530366
634393,131526,11108469,11874409
1028441,131255,11190274,12349988
1159547,131588,13374449,14665599
1227955,131523,13267455,14626949
1156455,131729,13051289,14339488
1154631,131473,13262053,14548171
1155620,133286,13236822,14525744
628913,131749,11138779,11899465
1028134,195851,10908886,12132889
1151059,131369,12993608,14276058
1153405,131832,13211009,14496267
1149829,131866,13137160,14418874
1151722,197027,13552866,14901639
1148300,131732,12869264,14149314
625709,131846,10715938,11473527
1020890,131627,10867793,12020328
1147297,131338,13032965,14311620
1218534,131625,13101521,14451696
1182048,132062,12795988,14110116
1149374,131674,13025344,14306412
1147491,131542,13045462,14324514
627788,131704,10846995,11606508
1017289,131779,10843039,11992125
1146876,132738,12784808,14064440
1145532,131957,13053871,14331382
1146393,132001,13023289,14301702
1148582,131862,13080972,14361435
1214565,132605,13439615,14786804
624635,131992,10617129,11373831
1020603,132392,10790403,11943420
1148067,131738,13020647,14300479
1147712,132484,13130275,14410491
1215811,132042,12809929,14157811
1148332,132424,12979531,14260316
1146848,132988,13060012,14339875
627471,140851,10672917,11441267
1019380,137871,10925828,12083103
1150702,204732,12832088,14187540
1144749,132915,12985242,14262935
