Updating,Tracing,Infector,Total
1017834,236138,15367600,16621590
1089513,267439,15258215,16615198
1082858,236939,15279760,16599575
1155250,246528,15102944,16504742
1085258,234516,15281013,16600812
637557,242156,9702940,10582683
957465,234357,9695093,10886935
1083133,127761,15045259,16256170
1083137,128647,15195148,16406954
1090051,127785,15158984,16376842
1082772,135205,15113206,16331196
1082643,129997,14992410,16205065
594660,130487,10000363,10725533
959440,127237,9725969,10812671
1083205,126416,15144845,16354481
1103299,129698,14996918,16229931
1087926,127245,15152565,16367756
1117731,125958,15149521,16393230
1086138,126692,15049674,16262517
594240,125759,9706569,10426586
956891,126284,9708827,10792024
1084167,126558,15128411,16339157
1084036,125606,15414003,16623659
1083638,125597,15100133,16309382
1083913,125329,15225485,16434746
1085158,125804,15226246,16437230
594735,125059,9764362,10484172
961818,125000,9787726,10874561
1087229,125513,15322497,16535261
1086948,125333,15300660,16512963
1086528,124618,15339531,16550692
1085514,124655,15450062,16660249
1086579,124512,15638261,16849371
596765,124515,10006528,10727825
963034,124185,10002605,11089840
1092421,124986,15639959,16857381
1090334,124074,15682482,16896908
1090396,124043,15698212,16912666
1092932,124012,15826615,17043573
1183149,126568,16122054,17431787
601730,123953,10312939,11038644
967230,124152,10233349,11324749
1196148,130326,16221818,17548307
1097492,124390,15959016,17180913
1101850,123606,16361985,17587461
1099999,123371,16075944,17299335
1105129,123840,16162827,17391809
608199,123327,10899029,11630573
973116,122562,10784401,11880101
1103793,122911,16247029,17473753
1103069,122926,16265068,17491076
1155666,128024,16343074,17626779
1102764,122079,16389943,17614806
1101358,122754,16146263,17370387
609206,122364,10802737,11534325
970461,121854,10652511,11744843
1100248,121358,16360747,17582376
1098211,121338,16410237,17629808
1096549,121839,16237449,17455851
1100878,121360,16095289,17317545
1096270,120779,16494921,17712000
638307,126326,10782126,11546777
964119,121039,10537221,11622397
1097729,121021,15969096,17187862
1090111,120396,16262818,17473345
1094038,120131,16212462,17426663
1087901,120026,15919357,17127307
1087582,119913,15849526,17057045
595996,120088,10533286,11249409
960642,120640,10379977,11461284
1099071,119449,16098500,17317042
1086161,119083,15629438,16834703
1086444,119312,15869930,17075707
1088920,119569,15882401,17090927
1085391,119459,15723848,16928721
594561,119340,10086785,10800714
957886,119970,10137437,11215324
1087624,119375,15910854,17117927
1089106,119386,15751496,16960013
1088383,119621,15946296,17154324
1084542,119566,15549921,16754055
1084511,119480,15905728,17109832
594931,119308,10184890,10899172
957811,119438,10139860,11217136
1085751,120737,15563121,16769640
1094645,120486,15850286,17065450
1097231,121489,15824145,17042898
1085028,120628,15690926,16896603
1087540,120002,15551788,16759354
660470,129499,10354000,11143998
960369,119950,10273571,11353943
1102742,123378,15753296,16979439
1098015,119459,15643849,16861357
1085751,120573,15591806,16798155
1094681,121814,15925430,17141962
1141879,125579,15841446,17108940
610905,122281,10060303,10793543
959808,121434,9998612,11079894
1091183,158043,15991469,17240720
1116618,124916,15826866,17068430
