times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
2179,1668988,0,0,0,0,820,59240,0,0,0,0
3578,1546385,0,0,0,0,8214,59092,0,0,0,0
2751,731383,0,0,0,0,66667,59171,0,0,0,0
5316,605669,0,0,0,0,127814,59311,0,0,0,0
4413,223055,0,0,0,0,205337,59050,0,0,0,0
6131,84357,1223,303,0,0,324641,59546,0,0,0,0
0,0,4934,829,0,0,440193,58826,0,0,0,0
0,0,9669,1212,0,0,617677,59274,0,0,0,0
0,0,217351,20408,0,0,520785,58998,0,0,0,0
0,0,18,1,0,0,19492,1992,0,0,0,0
0,0,0,0,0,0,20787,1878,0,0,0,0
0,0,20,1,0,0,21679,1792,0,0,0,0
0,0,101,4,0,0,22589,1758,0,0,0,0
0,0,37366,1243,0,0,24639,1799,0,0,0,0
0,0,95662,2597,0,0,25305,1744,0,0,0,0
0,0,186254,4558,0,0,27259,1808,0,0,0,0
0,0,294274,5936,0,0,28490,1800,0,0,0,0
0,0,383055,7952,0,0,29844,1779,0,0,0,0
0,0,519586,11551,0,0,31514,1824,0,0,0,0
0,0,909383,20380,0,0,6675,365,0,0,0,0
0,0,1029871,23199,0,0,6389,341,0,0,0,0
0,0,819030,17858,0,0,7021,349,0,0,0,0
0,0,234720,4920,0,0,8710,414,0,0,0,0
0,0,0,0,0,0,8091,370,0,0,0,0
0,0,0,0,0,0,8306,361,0,0,0,0
0,0,0,0,0,0,9438,387,0,0,0,0
0,0,0,0,0,0,8339,324,0,0,0,0
0,0,0,0,0,0,9640,362,0,0,0,0
0,0,0,0,0,0,10803,388,0,0,0,0
0,0,0,0,62,2,10925,379,0,0,0,0
0,0,93,1,0,0,11860,393,0,0,0,0
0,0,0,0,0,0,11855,380,0,0,0,0
0,0,0,0,35,1,11967,376,0,0,0,0
0,0,0,0,0,0,11718,354,0,0,0,0
0,0,0,0,74,2,13040,379,0,0,0,0
0,0,0,0,37,1,14058,401,0,0,0,0
0,0,0,0,71,2,14822,411,0,0,0,0
0,0,0,0,39,1,13426,359,0,0,0,0
0,0,0,0,79,2,13580,354,0,0,0,0
0,0,0,0,0,0,13240,337,0,0,0,0
0,0,0,0,82,2,14292,357,0,0,0,0
0,0,0,0,41,1,13794,339,0,0,0,0
0,0,0,0,174,4,16492,392,0,0,0,0
0,0,0,0,46,1,15464,362,0,0,42,1
0,0,0,0,324,7,16173,367,0,0,0,0
0,0,0,0,96,2,14567,325,0,0,0,0
0,0,0,0,86,2,16261,355,0,0,0,0
0,0,0,0,325,7,16331,352,0,0,0,0
0,0,0,0,600,12,16734,350,0,0,52,1
0,0,0,0,449415,8753,1229,25,0,0,0,0
0,0,0,0,0,0,995,20,46,1,0,0
0,0,0,0,0,0,1035,20,0,0,116,2
0,0,0,0,0,0,1068,20,46,1,53,1
0,0,0,0,0,0,950,18,0,0,160,3
0,0,0,0,0,0,1108,21,0,0,50,1
0,0,0,0,0,0,1239,22,55,1,0,0
0,0,0,0,0,0,1192,21,53,1,64,1
0,0,0,0,0,0,1488,25,101,2,59,1
0,0,0,0,0,0,1010,17,0,0,105,2
0,0,0,0,0,0,1718,28,0,0,0,0
0,0,0,0,0,0,1112,17,0,0,58,1
0,0,0,0,0,0,1569,24,166,3,113,2
0,0,0,0,0,0,818,12,68,1,0,0
0,0,0,0,0,0,1499,23,58,1,188,3
0,0,0,0,0,0,1662,26,57,1,135,2
0,0,0,0,0,0,1513,22,250,4,189,3
0,0,0,0,0,0,1798,26,125,2,126,2
0,0,0,0,0,0,1795,26,132,2,58,1
0,0,0,0,0,0,2183,31,315,5,132,2
0,0,0,0,0,0,2159,31,211,3,153,2
0,0,0,0,0,0,1442,20,200,3,191,3
0,0,0,0,0,0,1736,24,270,4,338,5
0,0,0,0,0,0,1486,20,132,2,137,2
0,0,0,0,0,0,1985,27,204,3,447,6
0,0,0,0,0,0,1320,17,67,1,150,2
0,0,0,0,0,0,1797,23,211,3,508,7
0,0,0,0,0,0,2240,29,204,3,150,2
0,0,0,0,0,0,2070,26,212,3,689,9
0,0,0,0,0,0,1581,20,142,2,78,1
0,0,0,0,0,0,1561,19,365,5,228,3
0,0,0,0,0,0,1927,23,466,6,646,8
0,0,0,0,0,0,1983,24,541,7,226,3
0,0,0,0,0,0,1753,20,310,4,473,6
0,0,0,0,0,0,2429,28,312,4,333,4
0,0,0,0,0,0,1839,21,314,4,349,4
0,0,0,0,0,0,1361,16,152,2,157,2
0,0,0,0,0,0,2411,28,243,3,89,1
0,0,0,0,0,0,1880,21,75,1,171,2
0,0,0,0,0,0,1703,19,328,4,166,2
0,0,0,0,0,0,2280,25,324,4,85,1
0,0,0,0,0,0,2767,30,169,2,83,1
0,0,0,0,0,0,2721,29,167,2,178,2
0,0,0,0,0,0,1858,20,348,4,416,5
0,0,0,0,0,0,2179,23,427,5,352,4
0,0,0,0,0,0,2352,24,263,3,226,2
0,0,0,0,0,0,1876,19,83,1,85,1
0,0,0,0,0,0,1885,19,180,2,88,1
0,0,0,0,0,0,1856,19,177,2,169,2
0,0,0,0,0,0,2484,25,270,3,0,0
0,0,0,0,0,0,2448,24,365,4,206,2
0,0,0,0,0,0,1909,19,0,0,729,7
0,0,0,0,0,0,1735,17,0,0,299,3
0,0,0,0,0,0,1966,19,271,3,391,4
0,0,0,0,0,0,1673,15,291,3,311,3
0,0,0,0,0,0,1910,17,470,5,204,2
0,0,0,0,0,0,1814,17,405,4,485,5
