times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
4308,1668988,0,0,0,0,287,59240,0,0,0,0
5634,1546385,0,0,0,0,661,59092,0,0,0,0
4499,731383,0,0,0,0,1962,59171,0,0,0,0
8758,605669,0,0,0,0,3448,59311,0,0,0,0
11483,223055,0,0,0,0,5832,59050,0,0,0,0
13720,84357,50,303,0,0,15258,59546,0,0,0,0
0,0,342,829,0,0,25281,58826,0,0,0,0
0,0,1190,1212,0,0,59408,59274,0,0,0,0
0,0,21205,20408,0,0,65238,58998,0,0,0,0
0,0,1,1,0,0,2448,1992,0,0,0,0
0,0,0,0,0,0,3057,1878,0,0,0,0
0,0,1,1,0,0,3833,1792,0,0,0,0
0,0,8,4,0,0,3956,1758,0,0,0,0
0,0,2722,1243,0,0,4775,1799,0,0,0,0
0,0,6259,2597,0,0,5511,1744,0,0,0,0
0,0,13304,4558,0,0,6037,1808,0,0,0,0
0,0,19090,5936,0,0,6738,1800,0,0,0,0
0,0,27491,7952,0,0,7419,1779,0,0,0,0
0,0,45619,11551,0,0,8081,1824,0,0,0,0
0,0,90121,20380,0,0,1769,365,0,0,0,0
0,0,112833,23199,0,0,1779,341,0,0,0,0
0,0,95899,17858,0,0,1953,349,0,0,0,0
0,0,29765,4920,0,0,2478,414,0,0,0,0
0,0,0,0,0,0,2348,370,0,0,0,0
0,0,0,0,0,0,2470,361,0,0,0,0
0,0,0,0,0,0,2758,387,0,0,0,0
0,0,0,0,0,0,2419,324,0,0,0,0
0,0,0,0,0,0,2874,362,0,0,0,0
0,0,0,0,0,0,3250,388,0,0,0,0
0,0,0,0,17,2,3359,379,0,0,0,0
0,0,12,1,0,0,3648,393,0,0,0,0
0,0,0,0,0,0,3686,380,0,0,0,0
0,0,0,0,10,1,3877,376,0,0,0,0
0,0,0,0,0,0,3797,354,0,0,0,0
0,0,0,0,23,2,4221,379,0,0,0,0
0,0,0,0,12,1,4712,401,0,0,0,0
0,0,0,0,24,2,4982,411,0,0,0,0
0,0,0,0,13,1,4526,359,0,0,0,0
0,0,0,0,26,2,4681,354,0,0,0,0
0,0,0,0,0,0,4618,337,0,0,0,0
0,0,0,0,28,2,5021,357,0,0,0,0
0,0,0,0,15,1,4972,339,0,0,0,0
0,0,0,0,62,4,6014,392,0,0,0,0
0,0,0,0,17,1,5754,362,0,0,18,1
0,0,0,0,113,7,5987,367,0,0,0,0
0,0,0,0,34,2,5515,325,0,0,0,0
0,0,0,0,35,2,6248,355,0,0,0,0
0,0,0,0,125,7,6316,352,0,0,0,0
0,0,0,0,222,12,6545,350,0,0,21,1
0,0,0,0,170156,8753,483,25,0,0,0,0
0,0,0,0,0,0,396,20,17,1,0,0
0,0,0,0,0,0,411,20,0,0,44,2
0,0,0,0,0,0,414,20,19,1,21,1
0,0,0,0,0,0,378,18,0,0,71,3
0,0,0,0,0,0,472,21,0,0,24,1
0,0,0,0,0,0,500,22,20,1,0,0
0,0,0,0,0,0,499,21,22,1,29,1
0,0,0,0,0,0,605,25,44,2,25,1
0,0,0,0,0,0,424,17,0,0,59,2
0,0,0,0,0,0,725,28,0,0,0,0
0,0,0,0,0,0,448,17,0,0,29,1
0,0,0,0,0,0,659,24,76,3,57,2
0,0,0,0,0,0,350,12,26,1,0,0
0,0,0,0,0,0,649,23,25,1,93,3
0,0,0,0,0,0,754,26,30,1,62,2
0,0,0,0,0,0,650,22,113,4,96,3
