Updating,Tracing,Infector,Total
1023763,212791,15204949,16441518
1089836,212763,15019277,16321894
1088715,213004,15091777,16393519
1098297,213588,14999711,16311615
1095843,213101,15086031,16394995
595731,213242,12234153,13043153
967870,212811,12145304,13326005
1099547,115445,14932295,16147301
1091919,118722,15579933,16790592
1143213,119646,14965289,16228169
1087992,124507,15017329,16229841
1098452,116833,15079753,16295057
599061,115259,12182882,12897223
965077,117914,12161813,13244822
1090614,118678,14976138,16185444
1090687,115921,15034193,16240816
1087678,117499,15020938,16226138
1103302,115233,14974787,16193337
1093699,115638,14946479,16155827
595270,115081,12227814,12938185
1016249,114757,12216600,13347629
1099877,115928,15123060,16338878
1091387,115285,15049077,16255762
1088600,115279,15176587,16380482
1097872,160159,15106221,16364274
1153781,115238,15520994,16790027
598643,116170,12386609,13101438
987553,115114,12374778,13477465
1096872,115398,15330456,16542750
1089924,115220,15292550,16497707
1098591,116095,15297544,16512247
1092727,115328,15390513,16598593
1091797,115574,15383968,16591351
597284,115225,12398233,13110758
977709,114981,12396614,13489324
1093494,158893,15280364,16532772
1119623,115668,15141213,16376517
1096830,115440,15054566,16266849
1094939,115409,15237962,16448325
1100589,115534,15201075,16417221
601081,115530,13025435,13742062
975859,115960,12398667,13490502
1097640,115382,15332828,16545865
1101432,115653,15415834,16632939
1103989,161153,15489783,16754938
1103295,115887,15446968,16666164
1105788,115740,15612273,16833813
614100,116292,13257155,13987571
1022929,125769,13084226,14232941
1107100,115602,15677138,16899853
1111619,115641,16055875,17283157
1108030,115555,15979611,17203207
1110178,116348,16205266,17431805
1107446,115332,15943913,17166705
612699,115532,13448755,14177012
985825,158846,13427743,14572431
1107523,115186,16042763,17265485
1108860,115446,16140457,17364778
1136677,115707,16434880,17687289
1104641,115336,16357111,17577104
1101341,115159,16267387,17483900
604366,115765,13510877,14231026
974929,114726,13669287,14758968
1196773,120641,16459731,17777159
1094861,114984,16079943,17289803
1099908,115593,16100777,17316295
1096532,114818,16246852,17458233
1095265,114898,16313945,17524127
598398,115042,13396065,14109528
969850,114413,13366750,14451082
1090956,114935,16047139,17253056
1140572,116297,16005785,17262716
1149940,116177,15678759,16944894
1091688,115060,15916665,17123493
1091661,114753,16180333,17386796
599041,114733,13123517,13837353
1021768,114619,12872132,14008575
1134478,114609,15685947,16935112
1165299,115995,15664877,16946227
1093835,115227,15634732,16843814
1088670,114988,15542339,16746053
1117226,115513,15675120,16907908
599481,116456,12964516,13680514
975265,115232,12837486,13928046
1089581,162886,15793225,17045750
1107520,115851,15591045,16814453
1090149,115524,15776611,16982363
1170532,118473,15849429,17138506
1146617,115554,15583815,16846096
593951,115107,12746989,13456101
1017124,115829,12792151,13925161
1089141,115025,15615582,16819778
1140562,115216,15662880,16918703
1090895,115269,15481378,16687583
1121326,115894,15439583,16676867
1086899,115182,15383635,16585770
617123,118778,13119354,13855293
974275,116343,12542675,13633357
1094115,115231,15383487,16592864
1086770,116335,15303774,16506933
