times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
2186,1668988,0,0,0,0,102,59240,0,0,0,0
3034,1546385,0,0,0,0,119,59092,0,0,0,0
2939,731383,0,0,0,0,623,59171,0,0,0,0
6644,605669,0,0,0,0,666,59311,0,0,0,0
8101,223055,0,0,0,0,1951,59050,0,0,0,0
12276,84357,43,303,0,0,7253,59546,0,0,0,0
0,0,229,829,0,0,17376,58826,0,0,0,0
0,0,986,1212,0,0,52149,59274,0,0,0,0
0,0,21031,20408,0,0,61038,58998,0,0,0,0
0,0,1,1,0,0,2211,1992,0,0,0,0
0,0,0,0,0,0,2561,1878,0,0,0,0
0,0,1,1,0,0,3543,1792,0,0,0,0
0,0,6,4,0,0,3657,1758,0,0,0,0
0,0,2585,1243,0,0,4170,1799,0,0,0,0
0,0,5663,2597,0,0,5000,1744,0,0,0,0
0,0,11428,4558,0,0,5552,1808,0,0,0,0
0,0,17297,5936,0,0,6143,1800,0,0,0,0
0,0,25663,7952,0,0,6706,1779,0,0,0,0
0,0,39229,11551,0,0,7488,1824,0,0,0,0
0,0,83185,20380,0,0,1588,365,0,0,0,0
0,0,99828,23199,0,0,1638,341,0,0,0,0
0,0,87537,17858,0,0,1828,349,0,0,0,0
0,0,26289,4920,0,0,2238,414,0,0,0,0
0,0,0,0,0,0,2205,370,0,0,0,0
0,0,0,0,0,0,2297,361,0,0,0,0
0,0,0,0,0,0,2579,387,0,0,0,0
0,0,0,0,0,0,2253,324,0,0,0,0
0,0,0,0,0,0,2647,362,0,0,0,0
0,0,0,0,0,0,3029,388,0,0,0,0
0,0,0,0,17,2,3084,379,0,0,0,0
0,0,11,1,0,0,3321,393,0,0,0,0
0,0,0,0,0,0,3438,380,0,0,0,0
0,0,0,0,10,1,3515,376,0,0,0,0
0,0,0,0,0,0,3476,354,0,0,0,0
0,0,0,0,21,2,3972,379,0,0,0,0
0,0,0,0,10,1,4360,401,0,0,0,0
0,0,0,0,22,2,4631,411,0,0,0,0
0,0,0,0,13,1,4214,359,0,0,0,0
0,0,0,0,25,2,4376,354,0,0,0,0
0,0,0,0,0,0,4267,337,0,0,0,0
0,0,0,0,26,2,4720,357,0,0,0,0
0,0,0,0,13,1,4643,339,0,0,0,0
0,0,0,0,56,4,5557,392,0,0,0,0
0,0,0,0,16,1,5289,362,0,0,16,1
0,0,0,0,105,7,5535,367,0,0,0,0
0,0,0,0,32,2,5118,325,0,0,0,0
0,0,0,0,33,2,5860,355,0,0,0,0
0,0,0,0,118,7,5898,352,0,0,0,0
0,0,0,0,204,12,6090,350,0,0,20,1
0,0,0,0,157601,8753,457,25,0,0,0,0
0,0,0,0,0,0,366,20,16,1,0,0
0,0,0,0,0,0,380,20,0,0,42,2
0,0,0,0,0,0,396,20,20,1,21,1
0,0,0,0,0,0,373,18,0,0,64,3
0,0,0,0,0,0,442,21,0,0,22,1
0,0,0,0,0,0,477,22,21,1,0,0
0,0,0,0,0,0,462,21,21,1,26,1
0,0,0,0,0,0,573,25,43,2,23,1
0,0,0,0,0,0,395,17,0,0,53,2
0,0,0,0,0,0,665,28,0,0,0,0
0,0,0,0,0,0,413,17,0,0,26,1
0,0,0,0,0,0,632,24,71,3,55,2
0,0,0,0,0,0,313,12,25,1,0,0
0,0,0,0,0,0,609,23,27,1,89,3
0,0,0,0,0,0,716,26,26,1,58,2
0,0,0,0,0,0,630,22,105,4,97,3
0,0,0,0,0,0,759,26,57,2,68,2
0,0,0,0,0,0,764,26,58,2,33,1
0,0,0,0,0,0,956,31,143,5,68,2
0,0,0,0,0,0,985,31,92,3,68,2
0,0,0,0,0,0,651,20,88,3,103,3
0,0,0,0,0,0,790,24,137,4,177,5
0,0,0,0,0,0,675,20,62,2,71,2
0,0,0,0,0,0,923,27,96,3,224,6
0,0,0,0,0,0,592,17,34,1,76,2
0,0,0,0,0,0,827,23,101,3,273,7
0,0,0,0,0,0,1066,29,101,3,82,2
0,0,0,0,0,0,965,26,104,3,363,9
0,0,0,0,0,0,799,20,88,2,43,1
0,0,0,0,0,0,744,19,187,5,125,3
0,0,0,0,0,0,944,23,229,6,345,8
0,0,0,0,0,0,977,24,282,7,149,3
0,0,0,0,0,0,837,20,156,4,265,6
0,0,0,0,0,0,1198,28,160,4,182,4
0,0,0,0,0,0,918,21,165,4,188,4
0,0,0,0,0,0,716,16,83,2,98,2
0,0,0,0,0,0,1279,28,152,3,56,1
0,0,0,0,0,0,975,21,44,1,98,2
0,0,0,0,0,0,895,19,199,4,115,2
0,0,0,0,0,0,1202,25,181,4,52,1
0,0,0,0,0,0,1479,30,101,2,50,1
0,0,0,0,0,0,1451,29,92,2,104,2
0,0,0,0,0,0,1017,20,195,4,273,5
0,0,0,0,0,0,1192,23,281,5,221,4
0,0,0,0,0,0,1260,24,144,3,114,2
0,0,0,0,0,0,1016,19,50,1,56,1
0,0,0,0,0,0,1059,19,102,2,58,1
0,0,0,0,0,0,1089,19,102,2,116,2
0,0,0,0,0,0,1415,25,156,3,0,0
0,0,0,0,0,0,1382,24,214,4,122,2
0,0,0,0,0,0,1130,19,0,0,440,7
0,0,0,0,0,0,1018,17,0,0,189,3
0,0,0,0,0,0,1170,19,169,3,259,4
0,0,0,0,0,0,994,15,170,3,197,3
0,0,0,0,0,0,1056,17,293,5,132,2
0,0,0,0,0,0,1085,17,235,4,344,5
0,0,0,0,0,0,1638,25,124,2,0,0
0,0,0,0,0,0,922,14,124,2,208,3
0,0,0,0,0,0,744,11,252,4,139,2
0,0,0,0,0,0,2133,30,528,8,290,4
0,0,0,0,0,0,1897,27,221,3,286,4
0,0,0,0,0,0,1567,22,341,5,146,2
0,0,0,0,0,0,1723,24,473,7,151,2
0,0,0,0,0,0,2163,29,133,2,380,5
0,0,0,0,0,0,1634,22,138,2,396,5
0,0,0,0,0,0,1886,25,0,0,232,3
0,0,0,0,0,0,1774,23,285,4,163,2
0,0,0,0,0,0,1757,22,357,5,477,6
0,0,0,0,0,0,2456,31,216,3,252,3
0,0,0,0,0,0,1826,23,77,1,409,5
0,0,0,0,0,0,2454,30,455,6,102,1
0,0,0,0,0,0,1749,21,478,6,263,3
0,0,0,0,0,0,1965,23,236,3,348,4
0,0,0,0,0,0,1696,20,154,2,265,3
0,0,0,0,0,0,1532,18,324,4,670,7
0,0,0,0,0,0,2992,34,80,1,271,3
0,0,0,0,0,0,1916,21,492,6,182,2
0,0,0,0,0,0,2163,24,331,4,561,6
0,0,0,0,0,0,1904,21,253,3,296,3
0,0,0,0,0,0,2047,22,270,3,470,5
0,0,0,0,0,0,1789,19,821,9,497,5
0,0,0,0,0,0,2814,30,352,4,390,4
0,0,0,0,0,0,1916,20,742,8,503,5
0,0,0,0,0,0,1731,18,362,4,612,6
0,0,0,0,0,0,2574,26,542,6,516,5
0,0,0,0,0,0,2425,24,651,7,725,7
0,0,0,0,0,0,1306,13,282,3,311,3
0,0,0,0,0,0,1435,14,487,5,635,6
0,0,0,0,0,0,1858,18,402,4,321,3
0,0,0,0,0,0,2315,22,587,6,656,6
0,0,0,0,0,0,2529,23,610,6,760,7
0,0,0,0,0,0,1956,18,900,9,668,6
0,0,0,0,0,0,2423,22,206,2,682,6
0,0,0,0,0,0,2068,18,315,3,352,3
0,0,0,0,0,0,2503,22,742,7,590,5
0,0,0,0,0,0,2378,21,662,6,350,3
0,0,0,0,0,0,2669,23,313,3,233,2
0,0,0,0,0,0,2708,23,342,3,353,3
0,0,0,0,0,0,2841,24,686,6,359,3
0,0,0,0,0,0,3921,19,315,2,875,6
0,0,0,0,0,0,4121,22,139,1,266,2
0,0,0,0,0,0,5485,27,901,6,1006,7
0,0,0,0,0,0,3612,19,442,3,290,2
0,0,0,0,0,0,4823,25,442,3,724,5
0,0,0,0,0,0,4432,21,560,4,156,1
0,0,0,0,0,0,5869,29,0,0,775,5
0,0,0,0,0,0,5292,27,1169,8,429,3
0,0,0,0,0,0,4643,23,882,6,1043,7
0,0,0,0,0,0,4458,20,272,2,782,5
0,0,0,0,0,0,3172,15,748,5,807,5
0,0,0,0,0,0,3160,15,584,4,0,0
0,0,0,0,0,0,3028,13,939,6,311,2
0,0,0,0,0,0,4215,20,763,5,313,2
0,0,0,0,0,0,3661,18,928,6,729,5
0,0,0,0,0,0,5932,26,610,4,1116,7
0,0,0,0,0,0,6457,29,976,6,1096,7
0,0,0,0,0,0,4267,21,484,3,664,4
0,0,0,0,0,0,4455,21,304,2,644,4
0,0,0,0,0,0,4114,19,642,4,162,1
0,0,0,0,0,0,4096,19,467,3,819,5
0,0,0,0,0,0,4727,21,1324,8,478,3
0,0,0,0,0,0,4242,20,459,3,1298,8
0,0,0,0,0,0,6910,30,1193,7,1462,9
0,0,0,0,0,0,5717,26,1284,8,690,4
0,0,0,0,0,0,3288,15,850,5,997,6
0,0,0,0,0,0,5650,26,631,4,1325,8
0,0,0,0,0,0,5306,23,1466,9,1127,7
0,0,0,0,0,0,6025,27,556,3,1004,6
0,0,0,0,0,0,4844,21,1162,7,715,4
0,0,0,0,0,0,6194,27,1368,8,900,5
0,0,0,0,0,0,3925,17,2384,14,1966,11
0,0,0,0,0,0,5109,23,895,5,1301,7
0,0,0,0,0,0,5620,25,672,4,1920,11
0,0,0,0,0,0,4190,17,1378,8,1033,6
0,0,0,0,0,0,4878,20,1541,9,1031,6
0,0,0,0,0,0,4357,17,326,2,542,3
0,0,0,0,0,0,3586,15,1032,6,1060,6
0,0,0,0,0,0,5614,22,1018,6,1211,7
0,0,0,0,0,0,5077,22,1563,9,1788,10
0,0,0,0,0,0,5851,25,1221,7,1092,6
0,0,0,0,0,0,3408,15,1417,8,1635,9
0,0,0,0,0,0,5631,23,1061,6,1633,9
0,0,0,0,0,0,6389,26,1251,7,726,4
