Updating,Tracing,Infector,Total
1021833,230775,21693508,22946134
1128368,229387,21671981,23029768
1128138,229450,21212543,22570205
1149740,238931,21562275,22950966
1084523,229733,21314874,22629164
599178,229502,11710172,12538883
962603,229871,11701527,12894022
1082867,125055,21462491,22670436
1135627,126779,21355929,22618350
1083543,124840,21490724,22699120
1081807,128178,21329730,22539737
1081609,128073,21349509,22559211
595156,125118,11645549,12365845
967523,127608,11639740,12734888
1128367,125716,21738411,22992508
1080990,126111,21384681,22591798
1081524,125192,21420679,22627414
1083757,124947,21325025,22533743
1131134,127539,21410378,22669070
594062,125306,11651468,12370851
963041,126514,11702376,12792004
1084040,125636,21549948,22759641
1083317,125766,21437008,22646112
1084883,125147,21424868,22634910
1123742,143751,21298093,22565661
1094634,125291,21495625,22715563
619079,125397,11602500,12346995
966934,168418,11623845,12759219
1098610,125119,21004464,22228207
1082338,124922,20892654,22099928
1094202,125255,20999645,22219123
1144745,125935,20906754,22177482
1086773,125195,20948690,22160677
596544,124819,11651056,12372443
966773,124685,11685140,12776614
1085160,124900,21001548,22211623
1085682,125048,21203445,22414201
1087420,125361,21420885,22633680
1171852,129754,21352349,22653969
1087733,125133,21267259,22480150
601792,125208,11921415,12648436
971623,125138,11814971,12911749
1093795,125389,21378393,22597592
1096670,125461,21427491,22649637
1094867,125215,21514840,22734936
1095526,125693,21683007,22904239
1097131,125607,21610398,22833147
612368,125942,12433355,13171681
976099,125027,12356786,13457932
1094919,125545,21832552,23053029
1110781,125569,22276682,23513044
1102528,125086,22029754,23257391
1097365,125303,22018660,23241340
1097795,125146,22097857,23320811
609666,124946,12772644,13507270
975273,124592,12710473,13810355
1096686,124905,22005894,23227535
1095398,124897,22119053,23339360
1102226,168994,22322017,23593284
1094800,125302,22040300,23260419
1096190,125377,22634635,23856252
605296,167755,12711513,13484610
1017423,124718,12607824,13750017
1092078,124422,21854031,23070580
1089105,124972,22074211,23288302
1088837,124912,21891993,23105760
1086956,124862,21855401,23067268
1088303,125765,22000450,23214558
648818,125213,12430328,13204376
963752,124190,12270489,13358477
1085048,124718,21875091,23084911
1085023,166199,21928797,23180066
1082394,124918,22065449,23272777
1084874,125657,21731722,22942271
1081726,167158,21705766,22954666
595216,124925,12048922,12769083
969789,124790,12187230,13281866
1083346,124451,21698024,22905843
1084252,125195,21571726,22781193
1082565,124850,21603789,22811252
1082030,124772,21639242,22846061
1090513,168005,21381877,22640443
593843,124778,12121454,12840131
968857,127409,12592858,13689175
1083481,124816,21735805,22944158
1081424,125953,21437121,22644549
1082997,125253,21540169,22748444
1082372,152861,21715252,22950534
1086328,125298,21516304,22728019
594005,125258,12111910,12831226
975195,125516,12185850,13286618
1099011,151684,21445051,22695772
1083163,133143,21570206,22786564
1081665,125159,21536299,22743173
1129026,127543,21699391,22956011
1081510,127720,21619989,22829272
596291,126487,12020211,12743040
963199,170222,12132188,13265681
1084926,137267,21398469,22620686
1087704,132307,21478852,22698916
