Updating,Tracing,Infector,Total
1038594,237681,15251118,16527411
1090541,236974,15098321,16425863
1093278,237031,14893107,16223508
1094534,236981,15214674,16546219
1107054,236001,15087274,16430354
609837,237200,12259157,13106228
974419,236097,12152321,13362919
1118982,130806,14985675,16235480
1096104,131191,15169925,16397236
1092559,130038,15085848,16308464
1105089,133082,15025467,16263652
1096863,134791,15307499,16539169
654553,134147,12138212,12926934
973151,174491,12118333,13265993
1101432,131467,14961192,16194104
1103614,130567,15014455,16248654
1091951,130293,15051034,16273296
1092940,130156,14973922,16197033
1118891,144550,14888821,16152276
599215,130312,12296496,13026040
968263,129364,12149029,13246678
1145985,130131,15446657,16722788
1113152,130234,14955699,16199098
1100314,130807,15148719,16379856
1095238,129656,15135884,16360798
1108986,129972,15118072,16357044
598205,129437,12267713,12995373
1018046,129452,12330411,13477931
1117690,129194,15382610,16629506
1106525,130213,15565749,16802500
1124914,129473,15355961,16610398
1098117,130176,15315680,16543994
1106441,129457,15304263,16540177
601448,129101,12443186,13173750
976315,129136,12586694,13692163
1102758,129307,15543807,16775894
1098785,129301,15559702,16787802
1097929,128963,15647900,16874806
1102880,129306,16065369,17297576
1104973,129093,15788710,17022792
613922,129299,12919084,13662320
990242,129208,12962551,14082019
1102053,129483,16115663,17347212
1151934,139184,16135055,17426199
1118263,129320,16370166,17617762
1112543,128876,16334550,17576043
1111990,129116,16392361,17633544
611501,129438,14161893,14902849
984904,128910,13534219,14648048
1144438,128741,16727571,18000764
1116686,169459,16817385,18103607
1161828,129436,16700712,17991990
1117106,128656,16649582,17895422
1126605,128596,17036380,18291601
616586,128909,14161819,14907337
987665,128810,14393375,15509866
1111816,128696,17044342,18284933
1116946,129163,17236117,18482307
1114711,129275,17227579,18471581
1156799,129908,17032514,18319293
1118578,130235,17386851,18635696
614176,129715,14336087,15079995
1021418,129006,14197760,15348203
1181331,134103,16870128,18185653
1117816,130354,17061816,18310007
1107563,129334,17035588,18272564
1102931,129722,16846585,18079316
1131076,129783,16954426,18215388
600486,129786,13956830,14687187
967763,129502,14000722,15098014
1140158,129641,16801475,18071352
1182577,134353,17040215,18357186
1107977,130029,16641834,17879925
1099273,129428,16654731,17883455
1143674,130888,16443620,17718266
599676,129820,13659523,14389106
976321,129503,13513785,14619635
1112046,162909,16376245,17651294
1095303,129781,16247931,17473101
1090756,130004,16795375,18016226
1103398,129635,16376828,17609885
1166425,130365,16475149,17772014
597056,129691,13459234,14186065
966595,129836,13353611,14450137
1098560,130292,16282188,17511133
1096625,175590,16274546,17546845
1100372,129985,16478896,17709337
1099530,130382,16314039,17544037
1096526,129936,16591952,17818495
596560,132011,13199870,13928529
971884,130557,13263219,14365773
1094930,130377,16245655,17471001
1093733,131685,16200769,17426215
1135431,131877,16128326,17395719
1102877,133435,16315014,17551425
1091896,130272,16091130,17313330
596682,134384,13224351,13955452
965608,177214,12989840,14132756
1102042,134567,16535062,17771771
1092310,132942,16156039,17381374
