Updating,Tracing,Infector,Total
1076705,233417,15029568,16339706
1184146,232301,14937241,16353708
1095757,273166,14771245,16140195
1091534,229112,14836175,16156839
1088396,228137,15027515,16344068
595576,227639,12009662,12832904
1088706,228648,11867757,13185130
1104007,130132,15009929,16244085
1088352,124649,14972987,16186008
1090502,124288,14916260,16131070
1089260,123218,14882474,16094966
1119085,128305,14540447,15787851
674834,125936,11927766,12728556
958576,122203,12128819,13209622
1091307,121517,14877238,16090075
1087928,121035,14569534,15778512
1182616,121928,14627179,15931742
1091874,121913,14865049,16078858
1090321,164285,14807234,16061855
595721,121105,12416672,13133512
959091,119548,11777569,12856229
1093934,163533,14808183,16065664
1148861,118745,14848235,16115855
1097844,118471,15123053,16339383
1093388,118293,14962628,16174331
1089962,118073,14835739,16043789
639485,118947,11932981,12691429
962513,117042,12208407,13287982
1090773,117623,15096898,16305316
1179785,118277,15151278,16449353
1092673,116114,14777773,15986575
1224641,122291,15214343,16562100
1094039,115613,15055981,16265653
597624,115375,12442570,13155584
964722,115097,12384337,13464176
1173047,114727,15039224,16327016
1216279,116994,15103251,16436545
1145726,114741,15315689,16576171
1096297,114136,15532971,16743426
1096707,113754,15424991,16635474
602290,113875,12758384,13474564
1085708,113324,12451017,13650066
1099598,113191,15829443,17042247
1166613,117139,15752480,17036259
1099606,113246,15826382,17039246
1102128,113992,15784353,17000486
1104657,112663,16092904,17310242
606435,112281,13215847,13934589
1011149,112434,13130867,14254464
1102638,111201,15988577,17202430
1104598,111495,16323907,17540022
1104702,110934,16365608,17581264
1105415,110739,16275834,17492002
1121759,110413,16814391,18046579
609554,110124,13756405,14476109
1029913,110835,13544075,14684903
1131581,109266,16371949,17612872
1102682,109545,16650309,17862551
1103469,109824,16927022,18140341
1105429,109245,16721760,17936514
1100956,109097,16660153,17870219
618586,108997,14014234,14741890
968754,108934,13843759,14921535
1194747,109887,16340177,17644894
1096860,109513,16664586,17871029
1211381,113864,16601422,17926969
1097450,108535,16514119,17720177
1095316,108782,16321872,17526043
648761,108708,13604433,14361921
962255,108492,13635834,14706601
1112819,108583,16231147,17452639
1093050,108500,15996957,17198589
1144145,108463,15933366,17186061
1092509,108459,16074205,17275293
1092632,108335,15872680,17073735
596599,108246,13264155,13969079
963870,108668,12982570,14055131
1089115,108118,15884025,17081376
1092014,108539,15764986,16965625
1092030,108448,15678125,16878621
1089480,108704,15690385,16888590
1091097,108673,15852258,17052119
595583,108425,12927130,13631216
961999,108561,12817466,13888049
1089520,109027,15603712,16802283
1089069,110694,15873310,17073108
1090951,108748,16308906,17508628
1088714,108461,15728647,16925903
1124721,108773,15865149,17098725
595719,109719,12980138,13685663
1037617,110447,12969342,14117491
1088127,111701,15769358,16969270
1088327,109526,15719610,16917549
1100492,111929,15938878,17151437
1090976,109258,15832166,17032491
1090288,113855,15651628,16855853
618331,109285,12633887,13361584
962648,108761,12953366,14025119
1088629,112341,16185831,17386892
1087417,110190,15818906,17016593
