times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
7936,1668988,0,0,0,0,725,59240,0,0,0,0
9544,1546385,0,0,0,0,7736,59092,0,0,0,0
6917,731383,0,0,0,0,64695,59171,0,0,0,0
9928,605669,0,0,0,0,126520,59311,0,0,0,0
7716,223055,0,0,0,0,201408,59050,0,0,0,0
8161,84357,1265,303,0,0,318338,59546,0,0,0,0
0,0,5029,829,0,0,430993,58826,0,0,0,0
0,0,9823,1212,0,0,600724,59274,0,0,0,0
0,0,219307,20408,0,0,499794,58998,0,0,0,0
0,0,18,1,0,0,18770,1992,0,0,0,0
0,0,0,0,0,0,20007,1878,0,0,0,0
0,0,23,1,0,0,20910,1792,0,0,0,0
0,0,97,4,0,0,21625,1758,0,0,0,0
0,0,36692,1243,0,0,23564,1799,0,0,0,0
0,0,92522,2597,0,0,24092,1744,0,0,0,0
0,0,179346,4558,0,0,26062,1808,0,0,0,0
0,0,281875,5936,0,0,27280,1800,0,0,0,0
0,0,361859,7952,0,0,28561,1779,0,0,0,0
0,0,484875,11551,0,0,30267,1824,0,0,0,0
0,0,851364,20380,0,0,6358,365,0,0,0,0
0,0,946731,23199,0,0,6103,341,0,0,0,0
0,0,747101,17858,0,0,6759,349,0,0,0,0
0,0,210256,4920,0,0,8209,414,0,0,0,0
0,0,0,0,0,0,7653,370,0,0,0,0
0,0,0,0,0,0,7873,361,0,0,0,0
0,0,0,0,0,0,8803,387,0,0,0,0
0,0,0,0,0,0,7936,324,0,0,0,0
0,0,0,0,0,0,9078,362,0,0,0,0
0,0,0,0,0,0,10337,388,0,0,0,0
0,0,0,0,59,2,10304,379,0,0,0,0
0,0,85,1,0,0,11228,393,0,0,0,0
0,0,0,0,0,0,11383,380,0,0,0,0
0,0,0,0,35,1,11423,376,0,0,0,0
0,0,0,0,0,0,11111,354,0,0,0,0
0,0,0,0,61,2,12287,379,0,0,0,0
0,0,0,0,35,1,13357,401,0,0,0,0
0,0,0,0,75,2,13793,411,0,0,0,0
0,0,0,0,37,1,12532,359,0,0,0,0
0,0,0,0,80,2,12753,354,0,0,0,0
0,0,0,0,0,0,12405,337,0,0,0,0
0,0,0,0,79,2,13384,357,0,0,0,0
0,0,0,0,40,1,13008,339,0,0,0,0
0,0,0,0,163,4,15489,392,0,0,0,0
0,0,0,0,40,1,14611,362,0,0,42,1
0,0,0,0,300,7,15093,367,0,0,0,0
0,0,0,0,89,2,13694,325,0,0,0,0
0,0,0,0,95,2,15246,355,0,0,0,0
0,0,0,0,319,7,15216,352,0,0,0,0
