Updating,Tracing,Infector,Total
1018706,205367,11960814,13184906
1085595,205003,11982836,13273457
1085689,204971,11941120,13231805
1083775,206909,11853868,13144570
1098978,205159,11787696,13091853
596656,204983,9923861,10725526
963249,204511,9830214,10998000
1085887,112950,12021153,13220006
1089984,113327,12408976,13612302
1083382,112318,11853024,13048741
1085760,124442,11950734,13160956
1089021,160944,11785676,13035662
594858,111765,9757609,10464248
965773,112283,9651112,10729187
1087606,112330,11906938,13106888
1088526,156346,11837767,13082666
1084690,111741,11819898,13016343
1177903,115168,11864228,13157314
1087147,112099,11781713,12980971
598768,111259,9886460,10596506
1013993,111914,9770668,10896602
1085188,111377,11867251,13063829
1086848,111701,11912312,13110874
1136440,111510,11959906,13207874
1086296,111673,12026988,13224976
1086816,112170,12232712,13431721
655088,113002,9860746,10628851
985031,111896,9851586,10948528
1089972,111299,12155601,13356889
1094301,112880,12009945,13217146
1088065,112243,11996583,13196907
1087980,111721,12179533,13379247
1108860,112926,12158060,13379859
598166,111502,10168941,10878630
969676,112258,10161532,11243488
1138130,111738,12217884,13467766
1091817,111999,12160549,13364377
1091279,112071,12403606,13606975
1095492,112188,12364778,13572478
1096443,112401,12407438,13616295
649266,112371,10601681,11363335
1042640,115910,10380801,11539368
1096448,112025,12586067,13794554
1098696,112455,12556618,13767788
1100583,112402,12651032,13864029
1100967,112537,12578169,13791687
1112274,113898,12734562,13960746
612011,112510,10872816,11597357
994277,123357,10765470,11883127
1112381,112850,12853474,14078718
1152364,112728,12692538,13957643
1109921,112526,12875550,14098012
1107274,112249,12936596,14156142
1106336,112220,12793427,14011994
607831,112106,10892940,11612897
984907,111746,10738494,11835164
1103955,111894,12996746,14212610
1103329,111802,13044212,14259367
1103995,111958,13472195,14688162
1100782,112002,12915640,14128438
1099671,111768,12817356,14028809
608799,111886,10987828,11708543
975426,111305,10831511,11918264
1095961,111327,12931419,14138720
1096250,153568,12930467,14180298
1093726,111700,12819900,14025344
1092092,111342,13074080,14277540
1090238,111323,12848162,14049739
612741,146696,10747437,11506899
1014278,111101,10635334,11760734
1088248,111528,12739461,13939256
1088450,111440,12742152,13942073
1090372,111323,12624316,13826031
1087959,111598,12950594,14150174
1114586,129429,12473638,13717676
600886,111677,10523884,11236477
968654,111282,10511141,11591111
1085472,111827,12552628,13749948
1086295,111393,12687936,13885647
1085297,111930,12427304,13624554
1089960,111752,12681124,13882871
1102397,111559,12499170,13713147
597622,111422,10377594,11086659
1011485,111208,10501291,11624007
1088730,129761,12399467,13617979
1084348,111286,12654136,13849803
1083263,111623,12503441,13698361
1088238,111534,12619837,13819665
1083255,112546,12881656,14077495
627491,117309,10371071,11115918
965417,111548,10535978,11612981
1084471,111670,12503579,13699742
1083524,112948,12442533,13639039
1084230,115063,12601063,13800392
1082952,111684,12467960,13662621
1083003,111625,12571243,13765926
597570,117083,10361592,11076267
976549,111920,10273841,11362334
1085278,134928,12649110,13869349
1084979,114543,12429006,13628552
