times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
3514,1668988,0,0,0,0,407,59240,0,0,0,0
4764,1546385,0,0,0,0,3878,59092,0,0,0,0
3692,731383,0,0,0,0,56819,59171,0,0,0,0
6703,605669,0,0,0,0,79109,59311,0,0,0,0
6597,223055,0,0,0,0,138330,59050,0,0,0,0
8588,84357,921,303,0,0,215420,59546,0,0,0,0
0,0,3590,829,0,0,301437,58826,0,0,0,0
0,0,6936,1212,0,0,409382,59274,0,0,0,0
0,0,155041,20408,0,0,276874,58998,0,0,0,0
0,0,12,1,0,0,10594,1992,0,0,0,0
0,0,0,0,0,0,11709,1878,0,0,0,0
0,0,15,1,0,0,11694,1792,0,0,0,0
0,0,67,4,0,0,11962,1758,0,0,0,0
0,0,26242,1243,0,0,12903,1799,0,0,0,0
0,0,65904,2597,0,0,13234,1744,0,0,0,0
0,0,125468,4558,0,0,14408,1808,0,0,0,0
0,0,199722,5936,0,0,15110,1800,0,0,0,0
0,0,239320,7952,0,0,15611,1779,0,0,0,0
0,0,283373,11551,0,0,16744,1824,0,0,0,0
0,0,488487,20380,0,0,3505,365,0,0,0,0
0,0,484857,23199,0,0,3402,341,0,0,0,0
0,0,385308,17858,0,0,3674,349,0,0,0,0
0,0,109324,4920,0,0,4508,414,0,0,0,0
0,0,0,0,0,0,4277,370,0,0,0,0
0,0,0,0,0,0,4359,361,0,0,0,0
0,0,0,0,0,0,4798,387,0,0,0,0
0,0,0,0,0,0,4070,324,0,0,0,0
0,0,0,0,0,0,4768,362,0,0,0,0
0,0,0,0,0,0,5333,388,0,0,0,0
0,0,0,0,30,2,5300,379,0,0,0,0
0,0,55,1,0,0,5841,393,0,0,0,0
0,0,0,0,0,0,5915,380,0,0,0,0
0,0,0,0,20,1,5986,376,0,0,0,0
0,0,0,0,0,0,5813,354,0,0,0,0
0,0,0,0,47,2,6472,379,0,0,0,0
0,0,0,0,19,1,6908,401,0,0,0,0
0,0,0,0,37,2,7291,411,0,0,0,0
0,0,0,0,20,1,6550,359,0,0,0,0
0,0,0,0,53,2,6760,354,0,0,0,0
0,0,0,0,0,0,6537,337,0,0,0,0
0,0,0,0,52,2,7061,357,0,0,0,0
0,0,0,0,22,1,6862,339,0,0,0,0
0,0,0,0,90,4,8070,392,0,0,0,0
0,0,0,0,27,1,7680,362,0,0,38,1
0,0,0,0,164,7,7878,367,0,0,0,0
0,0,0,0,53,2,7203,325,0,0,0,0
0,0,0,0,51,2,8025,355,0,0,0,0
0,0,0,0,179,7,8128,352,0,0,0,0
0,0,0,0,312,12,8217,350,0,0,43,1
0,0,0,0,235613,8753,590,25,0,0,0,0
0,0,0,0,0,0,488,20,40,1,0,0
0,0,0,0,0,0,504,20,0,0,82,2
0,0,0,0,0,0,517,20,39,1,38,1
0,0,0,0,0,0,446,18,0,0,129,3
0,0,0,0,0,0,543,21,0,0,43,1
0,0,0,0,0,0,625,22,49,1,0,0
0,0,0,0,0,0,574,21,47,1,53,1
0,0,0,0,0,0,697,25,88,2,45,1
0,0,0,0,0,0,480,17,0,0,91,2
0,0,0,0,0,0,799,28,0,0,0,0
0,0,0,0,0,0,495,17,0,0,49,1
0,0,0,0,0,0,732,24,141,3,96,2
0,0,0,0,0,0,387,12,50,1,0,0
0,0,0,0,0,0,708,23,50,1,157,3
0,0,0,0,0,0,825,26,47,1,106,2
0,0,0,0,0,0,718,22,197,4,170,3
0,0,0,0,0,0,853,26,104,2,109,2
0,0,0,0,0,0,865,26,97,2,54,1
0,0,0,0,0,0,1028,31,266,5,114,2
0,0,0,0,0,0,1047,31,164,3,110,2
0,0,0,0,0,0,729,20,162,3,163,3
0,0,0,0,0,0,851,24,224,4,282,5
0,0,0,0,0,0,705,20,116,2,119,2
0,0,0,0,0,0,967,27,164,3,367,6
0,0,0,0,0,0,651,17,61,1,120,2
0,0,0,0,0,0,858,23,167,3,419,7
0,0,0,0,0,0,1073,29,167,3,120,2
0,0,0,0,0,0,1001,26,177,3,561,9
0,0,0,0,0,0,769,20,120,2,64,1
0,0,0,0,0,0,736,19,313,5,193,3
0,0,0,0,0,0,937,23,385,6,498,8
0,0,0,0,0,0,956,24,440,7,203,3
0,0,0,0,0,0,804,20,255,4,382,6
0,0,0,0,0,0,1145,28,243,4,259,4
0,0,0,0,0,0,910,21,255,4,280,4
0,0,0,0,0,0,662,16,131,2,132,2
0,0,0,0,0,0,1161,28,194,3,73,1
0,0,0,0,0,0,918,21,66,1,137,2
0,0,0,0,0,0,840,19,274,4,135,2
0,0,0,0,0,0,1104,25,254,4,72,1
0,0,0,0,0,0,1328,30,137,2,70,1
0,0,0,0,0,0,1300,29,142,2,141,2
0,0,0,0,0,0,922,20,289,4,380,5
0,0,0,0,0,0,1062,23,349,5,290,4
0,0,0,0,0,0,1119,24,210,3,155,2
0,0,0,0,0,0,890,19,71,1,76,1
0,0,0,0,0,0,929,19,135,2,76,1
0,0,0,0,0,0,881,19,144,2,143,2
0,0,0,0,0,0,1193,25,223,3,0,0
0,0,0,0,0,0,1201,24,296,4,158,2
0,0,0,0,0,0,923,19,0,0,568,7
0,0,0,0,0,0,849,17,0,0,238,3
0,0,0,0,0,0,944,19,229,3,328,4
0,0,0,0,0,0,790,15,242,3,247,3
0,0,0,0,0,0,886,17,401,5,156,2
0,0,0,0,0,0,900,17,327,4,424,5
0,0,0,0,0,0,1329,25,167,2,0,0
0,0,0,0,0,0,774,14,161,2,267,3
0,0,0,0,0,0,609,11,339,4,167,2
0,0,0,0,0,0,1634,30,662,8,349,4
0,0,0,0,0,0,1479,27,262,3,327,4
0,0,0,0,0,0,1189,22,421,5,176,2
0,0,0,0,0,0,1306,24,595,7,174,2
0,0,0,0,0,0,1660,29,172,2,440,5
0,0,0,0,0,0,1230,22,180,2,468,5
0,0,0,0,0,0,1426,25,0,0,278,3
0,0,0,0,0,0,1296,23,341,4,188,2
0,0,0,0,0,0,1317,22,447,5,536,6
0,0,0,0,0,0,1770,31,272,3,287,3
0,0,0,0,0,0,1355,23,88,1,468,5
0,0,0,0,0,0,1756,30,555,6,95,1
0,0,0,0,0,0,1234,21,544,6,294,3
0,0,0,0,0,0,1413,23,259,3,368,4
0,0,0,0,0,0,1259,20,189,2,311,3
0,0,0,0,0,0,1156,18,381,4,724,7
0,0,0,0,0,0,2180,34,96,1,295,3
0,0,0,0,0,0,1399,21,567,6,203,2
0,0,0,0,0,0,1568,24,377,4,606,6
0,0,0,0,0,0,1360,21,283,3,306,3
0,0,0,0,0,0,1441,22,284,3,532,5
0,0,0,0,0,0,1287,19,888,9,493,5
0,0,0,0,0,0,2000,30,401,4,396,4
0,0,0,0,0,0,1340,20,782,8,527,5
0,0,0,0,0,0,1244,18,412,4,616,6
0,0,0,0,0,0,1838,26,597,6,538,5
0,0,0,0,0,0,1680,24,722,7,735,7
0,0,0,0,0,0,906,13,308,3,332,3
0,0,0,0,0,0,968,14,514,5,668,6
0,0,0,0,0,0,1274,18,411,4,324,3
0,0,0,0,0,0,1625,22,625,6,691,6
0,0,0,0,0,0,1650,23,644,6,764,7
0,0,0,0,0,0,1337,18,924,9,631,6
0,0,0,0,0,0,1594,22,232,2,679,6
0,0,0,0,0,0,1363,18,316,3,349,3
0,0,0,0,0,0,1600,22,750,7,591,5
0,0,0,0,0,0,1499,21,630,6,335,3
0,0,0,0,0,0,1701,23,326,3,218,2
0,0,0,0,0,0,1721,23,329,3,330,3
0,0,0,0,0,0,1825,24,679,6,343,3
0,0,0,0,0,0,1452,19,226,2,705,6
0,0,0,0,0,0,1700,22,113,1,228,2
0,0,0,0,0,0,2069,27,681,6,842,7
0,0,0,0,0,0,1470,19,328,3,239,2
