Updating,Tracing,Infector,Total
1094202,245689,1500731,2840640
1191990,248004,667546,2107556
1262863,247821,732588,2243298
1265162,247192,720247,2232618
1170767,246286,656894,2073967
630751,314570,537951,1483302
1033555,244427,540371,1818372
1173498,200762,653474,2027751
1172057,135813,677511,1985395
1268772,204454,669877,2143117
1250671,143447,667014,2061145
1163630,134811,671679,1970135
697501,144818,584676,1427010
1124943,140432,587250,1852639
1167101,137145,675720,1979979
1165291,133853,677760,1976920
1290312,135484,777831,2203639
1267285,136317,703060,2106678
1233764,134583,698409,2066772
628077,133764,590569,1352422
1022047,133627,617524,1773212
1167003,133839,784035,2084890
1168000,135585,807058,2110658
1265456,136330,772629,2174429
1226814,137091,826775,2190694
1177277,134186,776622,2088098
624931,133723,736743,1495417
1020592,133795,677854,1832266
1174349,133326,895930,2203618
1166644,133258,838123,2138037
1201405,141970,981366,2324760
1268901,135413,904372,2308701
1287722,190914,910201,2388853
626550,133514,771569,1531648
1027151,200052,786794,2014013
1180151,134112,972130,2286404
1247390,134262,996403,2378067
1174612,133961,1016192,2324779
1184758,133959,1041546,2360278
1175410,133806,1093215,2402446
633890,133954,909988,1677846
1028125,133799,934650,2096587
1178158,133924,1233522,2545616
1180235,136005,1245296,2561554
1179415,133742,1188088,2501258
1194173,133763,1264420,2592368
1184981,133812,1266400,2585209
642661,133990,1015427,1792107
1042409,133816,1091857,2268095
1186574,134141,1246192,2566921
1191306,200139,1230796,2622255
1202230,134140,1219668,2556050
1190458,134027,1196840,2521338
1189598,133706,1252090,2575406
647044,133801,962918,1743776
1038256,133724,1016179,2188174
1187604,133781,1118413,2439812
1210526,180319,1090890,2481748
1183718,133574,1062076,2379381
1277966,139724,1090202,2507906
1265373,139690,1039426,2444504
636907,133217,883494,1653641
1031141,133377,800089,1964621
1176717,133475,1016029,2326243
1177711,133989,957934,2269654
1175894,134072,924742,2234729
1175015,133740,949359,2258128
1175364,133328,860849,2169564
631372,133764,784031,1549182
1025058,133674,700068,1858815
1169940,133905,891943,2195800
1169029,133507,809179,2111727
1167786,133513,868197,2169510
1165548,133529,785954,2085043
1169403,200095,774885,2144396
625299,134097,644428,1403837
1020167,133067,699468,1852715
1167944,133733,747519,2049209
1166762,133826,809854,2110454
1166148,133832,730714,2030708
1165830,134087,749731,2049661
1167893,133855,717687,2019447
628284,133470,588599,1350366
1021688,135400,646665,1803765
1169588,134145,705766,2009511
1164938,134110,760940,2060007
1166652,134236,687246,1988147
1173170,134338,745434,2052958
1165755,134272,738225,2038268
625865,134272,557540,1317699
1020383,133843,551014,1705254
1241633,136598,677922,2056165
1168773,139105,670741,1978630
1239134,134738,666255,2040138
1167687,135111,666335,1969146
1238224,134392,664990,2037619
625343,134737,547374,1307469
1023622,205321,546687,1775644
1167047,134771,662409,1964241
1172433,200028,662631,2035110
