Updating,Tracing,Infector,Total
1023369,191352,1333190,2547929
1103915,191887,652662,1948479
1095738,191110,601123,1887987
1105356,191818,654079,1951273
1094071,191632,606565,1892285
594419,191800,548622,1334856
975518,190753,503041,1669327
1094074,147127,609764,1850988
1092979,104559,608654,1806206
1091724,125885,638732,1856353
1095063,110187,612038,1817301
1098173,105159,663866,1867211
595032,106950,512853,1214848
970360,104999,519114,1594484
1100244,105087,634125,1839468
1109160,104062,635848,1849083
1141980,103142,637002,1882135
1094696,103296,644582,1842589
1147865,103595,650014,1901484
595267,104432,547824,1247536
1012530,103254,560633,1676429
1095592,103526,674933,1874062
1110070,106343,683879,1900303
1094166,103343,690487,1888011
1106699,104629,755800,1967140
1199101,105826,793326,2098267
641482,109168,645107,1395772
984350,104298,668714,1757383
1096582,103266,758551,1958411
1100085,103915,815713,2019727
1100038,103465,783285,1986805
1101043,147117,797447,2045626
1106506,104011,817590,2028118
598390,103311,736492,1438206
982595,104144,707767,1794522
1113482,103667,890956,2108117
1100140,104039,887711,2091902
1102012,103652,913943,2119621
1102645,103947,921469,2128073
1107897,104139,964461,2176510
601709,104223,795420,1501365
976079,103804,810005,1889899
1152917,104327,1017354,2274611
1110076,103982,1026159,2240231
1109490,104084,1034360,2247946
1113880,104419,1043583,2261895
1112949,104291,1051839,2269093
610261,104160,861992,1576424
983979,103728,909498,1997217
1123650,104617,1079210,2307488
1123937,104710,1106727,2335386
1119811,104262,1045832,2269919
1119442,103837,1069843,2293134
1125554,104422,1009682,2239669
614001,104853,808118,1526995
983070,103356,794558,1880995
1130317,147137,957464,2234931
1115099,104235,935004,2154349
1134484,127015,912257,2173767
1112597,103513,888771,2104893
1160664,103349,867261,2131285
606434,103364,696586,1406397
976069,103014,730593,1809692
1108937,103028,815715,2027691
1103346,103168,847704,2054237
1105880,103324,793142,2002359
1117255,103848,823044,2044158
1103491,103263,763302,1970070
601027,103433,624450,1328929
988465,103254,615647,1707379
1099536,102878,735430,1937857
1098816,103256,774812,1976898
1098473,103013,718132,1919632
1096064,104108,754207,1954391
1096362,102828,703580,1902780
597846,103383,577314,1278554
973968,103111,616934,1694025
1114515,103452,688204,1906183
1105497,146209,680112,1931838
1109649,102989,672589,1885240
1103420,146936,666676,1917043
1094039,103015,657928,1854994
596320,103178,538951,1238461
969082,103443,539496,1612032
1097965,104452,647709,1850139
1151953,130336,679016,1961317
1187570,108359,675080,1971023
1204785,159147,647659,2011603
1116746,103633,629850,1850242
599904,103630,517453,1220999
966725,103117,515255,1585109
1093785,103723,625157,1822677
1146148,104108,624186,1874454
1106414,105116,624001,1835543
1108638,103264,622140,1834054
1097175,105098,619178,1821463
594571,103295,506737,1204617
964030,107464,549799,1621307
1091454,105627,625075,1822166
1095093,106635,664448,1866194
