Updating,Tracing,Infector,Total
1078500,242896,1474922,2796339
1160744,243133,700467,2104360
1150375,242577,639189,2032157
1161975,241733,703879,2107605
1151494,242716,639921,2034150
628318,305732,532770,1466847
1020898,241740,534262,1796920
1151664,199112,641496,1992288
1148323,134259,643045,1925640
1165968,184440,643967,1994387
1151429,140211,650892,1942545
1223105,134728,650368,2008212
624846,136752,544623,1306236
1087627,136289,556219,1780150
1148353,133034,672086,1953487
1222547,133098,668631,2024292
1151264,132220,674315,1957810
1151977,132929,681812,1966733
1152993,132562,710532,1996099
630721,133695,581435,1345864
1017565,132021,588366,1737965
1164627,140287,845620,2150551
1239154,138201,763122,2140490
1165580,133165,806960,2105727
1154821,132094,744849,2031777
1158782,132517,821565,2112879
627015,132307,650224,1409560
1087661,132391,661482,1881560
1151149,132634,799299,2083100
1224621,132526,814241,2171401
1154447,132000,828908,2115371
1157672,132296,844840,2134821
1156869,132401,863766,2153048
627044,132400,734251,1493709
1020127,132110,746728,1898982
1227753,132383,923170,2283320
1165793,133390,950876,2250075
1173806,132487,960131,2266444
1162857,133571,1054279,2350719
1175052,132836,1008482,2316385
632579,132554,870356,1635504
1030409,133244,863723,2027389
1164240,132984,1132516,2429754
1168768,133162,1110233,2412177
1167617,132683,1167064,2467378
1168198,132784,1106606,2407601
1171537,132459,1190038,2494051
655173,132546,915424,1703155
1042766,132656,920538,2095991
1214217,133934,1216387,2564550
1175845,132896,1125102,2433855
1181575,199426,1109511,2490525
1190102,133115,1091103,2414332
1245800,132429,1080226,2458468
646310,132708,859525,1638557
1109886,132357,847842,2090100
1174342,132229,1019126,2325709
1170958,132298,993366,2296635
1171480,132410,1018321,2322229
1196623,133731,954136,2284502
1174068,132041,951804,2257925
636521,132201,743563,1512307
1030082,132624,735566,1898286
1162711,132329,940177,2235230
1172882,132401,918492,2223793
1163385,132896,838825,2135121
1176057,133243,898487,2207802
1167986,133516,818981,2120496
630738,132204,740128,1503088
1032638,132054,658612,1823324
1167210,132165,855336,2154724
1166101,133344,778660,2078115
1158963,132312,835908,2127196
1155849,132100,759008,2046968
1158948,197591,753390,2109942
624992,131890,617967,1374863
1018421,131844,680733,1831009
1152159,132475,725877,2010524
1150762,132252,797716,2080742
1155092,132609,715120,2002834
1151742,132449,777020,2061224
1152127,132208,701150,1985499
631372,133069,578506,1342960
1018139,132697,572398,1723246
1151973,133624,684507,1970117
1155689,132430,754109,2042242
1153639,132814,679626,1966091
1165734,136761,745028,2047543
1156340,132975,671455,1960781
625121,132553,618866,1376552
1021700,133088,550940,1705740
1177590,195888,664385,2037883
1158204,133342,661970,1953528
1154901,200952,659396,2015263
1160255,132890,659965,1953121
1151303,200879,666034,2018228
628288,132610,541189,1302099
1016370,136975,616450,1769807
1259984,143582,703113,2106695
1263790,141750,750618,2156196
