Updating,Tracing,Infector,Total
1036753,233543,1341016,2611328
1094277,233306,662295,1989893
1092930,233255,611033,1937235
1092509,232913,656718,1982160
1091845,232701,655397,1979958
598549,233017,512787,1344368
968421,235322,532954,1736711
1159454,131252,645846,1936575
1148370,132648,768411,2049444
1159429,129765,633120,1922327
1153798,133253,770683,2057749
1175282,133982,691823,2001100
627195,130236,604803,1362246
1016365,130306,542398,1689082
1127763,130346,718600,1976720
1127135,132809,735590,1995547
1162187,150887,682717,1995802
1131839,130640,684831,1947327
1250284,131582,689253,2071130
647863,130031,586904,1364810
1059806,130726,583606,1774151
1095165,129471,685521,1910171
1099294,127410,738324,1965041
1095466,127621,702225,1925325
1096325,127826,754969,1979135
1091128,127287,720525,1938959
598854,127362,656793,1383022
970583,127306,641893,1739797
1095322,127746,778897,2001980
1095479,127783,793729,2017013
1097063,127037,808057,2032173
1113252,127972,832568,2073802
1096654,127305,910923,2134894
705018,133543,849107,1687682
975758,127414,760442,1863630
1098552,127439,941211,2167214
1099375,127394,990241,2217023
1098834,127303,992560,2218711
1100794,127172,1069486,2297466
1100729,127278,1061206,2289226
604378,127864,961483,1693741
977534,127188,950792,2055527
1107025,127599,1205521,2440159
1160489,129203,1244681,2534387
1161778,128961,1309793,2600545
1108554,127897,1246827,2483291
1108620,127498,1312767,2548901
613109,127494,1095698,1836316
984810,127423,1109979,2222224
1110505,127220,1369315,2607051
1113443,127201,1308199,2548866
1114623,168493,1294226,2577357
1111739,127379,1276113,2515245
1111038,127458,1259532,2498042
615035,127467,1079038,1821553
985283,127413,1020728,2133437
1109573,127250,1238148,2474983
1110590,127354,1156634,2394592
1120939,165284,1119331,2405572
1108265,127265,1084723,2320266
1171004,127535,1065119,2363669
611090,127855,861645,1600612
994637,127712,834899,1957261
1105125,127397,961240,2193774
1106222,127770,987056,2221078
1108879,127691,908746,2145326
1100681,127218,926307,2154226
1098747,127149,859588,2085494
601786,127329,752089,1481221
974223,127438,694560,1796235
1097933,168201,808851,2075002
1096407,127167,790932,2014520
1117695,169004,779155,2065866
1133135,130122,809225,2072493
1192873,130138,822031,2145053
636454,130348,646232,1413045
1010065,171476,650820,1832373
1132888,130749,756673,2020324
1145112,173976,760024,2079125
1152566,129883,752096,2034556
1178734,131113,773021,2082885
1122852,130531,739591,1992989
621645,172890,600800,1395348
1017110,129512,569489,1716124
1152494,130896,728926,2012329
1104200,129059,662047,1895319
1093962,128046,673149,1895169
1093982,128062,681950,1904007
1093047,129311,652176,1874547
598026,127940,584847,1310834
969017,127589,533441,1630060
1094149,127922,686940,1909023
1094622,130113,641112,1865859
1095299,169955,640311,1905582
1093554,130206,636981,1860753
1096458,169802,634632,1900906
597268,128605,522029,1247913
968587,135353,521819,1625772
1102778,137008,636790,1876586
1105809,127835,633584,1867239
