Updating,Tracing,Infector,Total
1083307,228198,1421308,2732831
1147565,227255,665412,2040250
1155430,227803,699160,2082412
1157433,228164,635470,2021086
1166905,227470,697606,2092003
627619,227433,528327,1383395
1105659,302010,555655,1963379
1245012,128578,670139,2043751
1317880,125219,640464,2083579
1148363,122680,637056,1908111
1148835,131529,640890,1921266
1151561,127148,645847,1924569
625631,122736,537352,1285733
1019151,125291,541786,1686241
1218831,123746,656160,1998752
1149880,123385,665984,1939265
1152118,123675,665264,1941071
1153993,124137,672584,1950732
1151645,123943,678748,1954349
625728,123001,572586,1321329
1026311,123717,580135,1730178
1155722,124128,706150,1986014
1153649,123443,782496,2059606
1156262,124971,725509,2006758
1154754,123374,801869,2080022
1157855,123581,754057,2035508
625268,122484,698210,1445976
1021854,123171,659313,1804352
1155877,183901,801617,2141420
1155014,123115,816533,2094680
1153604,185040,832043,2170704
1158581,123176,854862,2136634
1176542,165278,883303,2225136
626076,122565,761053,1509708
1022241,185379,787869,1995508
1155392,123015,970341,2248760
1232072,124410,1002233,2358729
1160793,123398,1026219,2310426
1234385,123311,1060485,2418194
1160395,123385,1101187,2384984
631650,123659,950863,1706188
1027497,123425,983894,2134832
1163010,123412,1220343,2506779
1165829,123874,1262941,2552660
1165519,123692,1321114,2610340
1167416,123511,1353931,2644876
1169712,123536,1313361,2606622
641496,123424,1173886,1938822
1037874,123239,1127130,2288258
1176039,124260,1377726,2678051
1172611,123936,1425685,2722245
1180436,123646,1343956,2648052
1243981,123645,1327582,2695221
1176128,123440,1369909,2669490
649727,123598,1081211,1854550
1038794,123461,1129175,2291444
1174802,123384,1239882,2538081
1232634,199361,1277730,2709738
1262516,129435,1231316,2623280
1176043,123342,1128995,2428392
1165460,123296,1112596,2401366
635175,122781,895080,1653070
1027805,123224,868708,2019751
1162296,123132,1072601,2358047
1166001,123234,1037180,2326439
1169550,124247,952423,2246235
1160643,123265,975077,2259004
1162146,123208,897556,2182923
631720,123216,806123,1561076
1023302,122814,719566,1865706
1157354,122894,905303,2185565
1153943,123244,820546,2097746
1154806,123285,877699,2155804
1153831,123018,793219,2070081
1152179,122907,843931,2119030
625738,122604,642247,1390602
1018575,122751,632668,1774006
1151367,122773,743038,2017190
1155097,123293,735744,2014148
1153914,123469,725526,2002922
1155367,123187,716711,1995277
1155442,123885,708947,1988287
631275,124391,588845,1344524
1046749,123521,578317,1748601
1159342,123515,689549,1972419
1157039,123565,755509,2036126
1159692,123796,678287,1961789
1154631,122975,739601,2017220
1155349,123093,671235,1949692
625656,125260,610895,1361825
1022973,123463,546352,1692801
1152374,123630,728456,2004476
1148510,125032,655914,1929478
1149277,124030,719923,1993243
1151294,124838,655775,1931920
1146654,129578,653922,1930168
626574,123563,537076,1287225
1018078,124575,538219,1680884
1217350,123357,648957,1989675
1152676,124413,648894,1925994
