Updating,Tracing,Infector,Total
1273770,341438,2489955,4105213
1372787,336332,856938,2566088
1293954,243534,893135,2430648
1321727,259829,922075,2503660
1374299,255639,996256,2626222
744368,290266,818093,1852752
1207387,291516,818493,2317424
1423481,166182,936805,2526490
1382098,158047,1035533,2575702
1356722,156133,992723,2505597
1353237,173088,1012492,2538845
1369129,161484,1018575,2549209
754253,170312,888917,1813508
1216679,162911,867781,2247395
1384048,171552,1006947,2562568
1404418,170001,1145870,2720313
1429697,173199,1033922,2636840
1337670,171005,1042024,2550735
1384847,216693,1049756,2651318
757958,161674,834220,1753877
1196617,216988,773578,2187206
1360766,160505,1053123,2574415
1366681,163271,1056905,2586879
1374199,223377,1062667,2660263
1356743,156183,1053371,2566318
1346476,162496,1055617,2564610
746704,159966,883734,1790425
1180768,136925,726688,2044402
1293857,134538,985701,2414119
1322709,151773,995302,2469806
1416147,169074,1226613,2811860
1446526,175210,1219820,2841578
1443868,169904,1020215,2634008
740954,156872,949956,1847802
1205151,161592,912671,2279442
1427320,164689,1134137,2726172
1371167,165569,1216647,2753409
1383249,162998,1163264,2709532
1407632,154636,1097540,2659829
1362861,159394,1237279,2759555
747599,160749,962075,1870450
1223354,215737,978845,2417969
1360997,149009,1225933,2735958
1352874,154189,1209670,2716752
1368919,219511,1236834,2825282
1346621,163079,1248645,2758365
1377539,167456,1268054,2813074
757979,163129,1089654,2010784
1156859,128835,898493,2184209
1308969,152440,1278404,2739835
1311323,154036,1251437,2716828
1375092,164931,1404734,2944779
1386742,207288,1332668,2926745
1341490,160475,1411716,2913705
752979,162398,1106021,2021421
1220730,162340,1197136,2580231
1371218,167416,1435337,2973990
1374544,156994,1403174,2934734
1367844,215124,1388945,2971934
1378479,162280,1500683,3041464
1386342,164229,1469142,3019736
822359,159789,1214127,2196307
1193691,159087,1179861,2532665
1373728,160817,1495760,3030327
1382149,160577,1563977,3106746
1445942,166160,1603555,3215677
1401564,148115,1462082,3011781
1366866,159881,1457232,2984000
759568,159996,1263994,2183583
1228831,166217,1200410,2595491
1416438,177903,1289115,2883479
1308184,131552,1360280,2800035
1312006,140152,1363118,2815298
1446033,160881,1470972,3077908
1379809,164212,1534153,3078191
763094,139211,1081373,1983701
1268428,160155,1157930,2586535
1376185,161726,1483851,3021781
1349633,160471,1422749,2932877
1422146,164613,1412496,2999278
1475952,169921,1532394,3178288
1484042,170064,1462375,3116505
816561,169724,1221209,2207525
1160252,143360,1048760,2352396
1273920,140884,1206261,2621085
1280287,190795,1193957,2665065
1261263,122898,937290,2321472
1270622,135014,1069134,2474788
1267149,133071,1124096,2524341
703449,142609,939791,1785872
1134248,140821,992248,2267337
1277496,141794,1137920,2557230
1334577,141405,1129667,2605666
1278722,140738,1136473,2555950
1268614,140046,1111374,2520052
1276239,193059,1105657,2574974
698498,140976,897713,1737208
1150513,143474,886574,2180592
1275034,141814,1085593,2502462
1277861,141890,1137974,2557746
