Updating,Tracing,Infector,Total
1188267,239696,1884112,3312093
1267187,245621,929176,2442001
1266740,294773,877937,2439473
1258970,222082,668847,2149919
1255139,266291,660598,2182041
684462,225831,651491,1561796
1162239,236369,665133,2063753
1269812,138563,897405,2305797
1267387,139573,893910,2300882
1265624,166461,791578,2223673
1266878,137413,897047,2301350
1322856,140771,899447,2363085
691879,136300,662927,1491120
1120362,140613,739570,2000559
1274880,138583,933098,2346573
1267174,136606,916659,2320456
1257029,140761,977314,2375116
1274576,137163,923050,2334802
1270203,139606,984969,2394790
694300,137346,772241,1603900
1131944,137878,832004,2101839
1277806,137757,957551,2373125
1322976,136514,964134,2423645
1259475,128772,1023763,2412022
1268853,136924,982085,2387878
1270202,136520,1052818,2459554
692626,123769,723824,1540231
1120929,137917,900337,2159196
1270537,136736,1047261,2454546
1327402,137416,1067648,2532478
1267444,135850,1078897,2482205
1274110,136210,1100115,2510446
1271163,121762,962427,2355363
688833,121808,774707,1585362
1127598,126672,906320,2160604
1261813,134610,1118337,2514780
1280968,137644,1311766,2730390
1279836,137038,1285047,2701932
1275990,121388,1293325,2690722
1280995,138106,1416778,2835891
713432,137158,1139892,1990495
1127655,183617,1168352,2479644
1284668,136781,1486725,2908189
1287659,138419,1526164,2952255
1278876,185759,1553477,3018126
1290414,136895,1602898,3030221
1291531,137641,1603735,3032922
696722,171843,1324241,2192820
1137339,136871,1342251,2616476
1294192,136609,1674698,3105512
1286664,184965,1677160,3148809
1307460,136658,1661873,3106002
1295855,137704,1632334,3065907
1287046,137122,1673701,3097880
708869,136462,1304666,2150010
1136397,136476,1319166,2592061
1292068,135566,1594379,3022024
1293154,135692,1457714,2886571
1275487,119866,1210373,2605743
1275951,135722,1363242,2774927
1275532,122987,1378133,2776664
731707,159904,1116333,2007971
1131224,137148,1087449,2355834
1278614,121386,1255642,2655662
1281576,137141,1308301,2727035
1282734,136597,1187680,2607021
1334874,136559,1180474,2651919
1278013,136201,1161580,2575808
695949,136183,947627,1779776
1117190,137326,946932,2201463
1274898,136697,1107910,2519517
1299809,137907,1156917,2594644
1276526,138036,1005405,2419981
1273996,136591,1115197,2525795
1272123,136129,1069403,2477666
699397,135680,875484,1710573
1114818,136730,826962,2078523
1271659,136132,1004557,2412372
1271097,136826,1049887,2457822
1271572,137152,943174,2351910
1272779,183484,966508,2422783
1273040,136659,960590,2370300
693450,136639,769922,1600024
1114147,136137,767795,2018090
1323357,136181,947154,2406706
1269192,136806,941527,2347537
1261373,121656,710081,2093120
1256971,123677,890973,2271633
1256752,123511,835530,2215804
690856,135874,741254,1567997
1120988,136680,728173,1985854
1268940,137488,924042,2330483
1260833,136454,947387,2344686
1270727,136683,959376,2366798
1272643,137975,903880,2314515
1273950,137452,950750,2362163
692010,137466,720466,1549954
1122603,186212,721825,2030657
1268444,143978,850501,2262936
1316428,152114,883821,2352381
