Updating,Tracing,Infector,Total
1183275,253501,2212239,3649036
1271014,247523,887628,2406182
1268119,295818,756708,2320670
1253411,224309,647426,2125159
1309041,231060,794450,2334566
684866,228241,642526,1555645
1117030,251708,711818,2080568
1272808,139723,937705,2350252
1265923,140884,852100,2258920
1312088,146275,877160,2335534
1265239,159430,877027,2301708
1266300,138240,845476,2250028
692030,139206,717862,1549113
1121495,145565,719195,1986269
1266003,139313,907185,2312513
1264578,128652,705969,2099215
1268698,139673,954262,2362645
1266638,150340,891002,2307996
1274856,142657,960169,2377697
695225,128279,730512,1554029
1130347,143252,782809,2056421
1268023,141103,903369,2312508
1267167,143646,850949,2261787
1268295,140445,964605,2373358
1268037,139891,913758,2321701
1266263,140049,982141,2388465
689830,144534,747647,1582027
1132808,140215,814233,2087268
1267388,139158,938476,2345042
1272551,186939,826292,2285794
1270685,137793,948671,2357166
1324745,138012,953310,2416080
1258436,124863,725897,2109207
686202,122060,613331,1421605
1122539,124571,711575,1958701
1275042,124540,861486,2261080
1271638,138548,973012,2383213
1271488,139025,1040700,2451229
1273066,138173,888168,2299422
1270787,139771,991951,2402522
693607,138203,879189,1711010
1123748,137800,715842,1977401
1274097,187055,1033733,2494911
1270550,137930,1036123,2444616
1332958,137242,1033778,2503990
1263427,137698,1063082,2464220
1274209,138129,1054284,2466633
704518,139152,909501,1753188
1123965,137508,862063,2123549
1271142,137784,1155211,2564149
1273675,137274,1102995,2513958
1329377,137366,1100901,2567658
1269403,138103,1133187,2540703
1284115,138930,1127220,2550277
697126,138242,922896,1758280
1126342,137270,906518,2170143
1277420,137471,1221265,2636167
1275018,136744,1168687,2580462
1276065,136910,1103541,2516538
1277291,137439,1229130,2643875
1276023,136397,1077516,2489949
689306,122277,836119,1647722
1118048,125606,889631,2133306
1266177,184201,1102740,2553130
1277623,138833,1228002,2644477
1334193,138854,1220854,2693917
1286906,138250,1130953,2556121
1280760,138368,1226348,2645490
699778,187193,993398,1880385
1124759,122134,956084,2202990
1334816,137905,1249183,2721917
1279611,138164,1286406,2704196
1287311,123548,1074482,2485351
1299078,138303,1232905,2670300
1293239,139732,1249178,2682159
702430,138668,1049858,1890972
1124047,137830,990477,2252367
1280485,137912,1289688,2708102
1287607,139233,1284211,2711062
1271117,137845,1222902,2631875
1314884,157115,1224118,2696139
1279663,138067,1275089,2692831
699749,137671,911620,1749055
1130443,137342,1029756,2297555
1282994,137426,1205595,2626028
1306110,165596,1045196,2516914
1280406,137581,1171715,2589716
1281517,137699,1169608,2588838
1265336,122770,975846,2363963
690887,122597,770146,1583645
1119490,137889,907939,2165332
1267395,130383,1153511,2551305
1297020,138362,1141834,2577232
1278525,137966,1138980,2555484
1274066,137615,1196500,2608194
1276999,138144,1187511,2602667
708174,137373,886383,1731944
1134328,137319,954575,2226236
1274584,138562,1107762,2520920
1277969,185570,1087869,2551428
