age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.85,10.03,0.0,0.0,3.74,3.28
1,2.83,9.37,0.0,0.0,3.75,3.31
2,3.05,9.4,0.0,0.0,3.75,3.33
3,3.05,18.43,0.0,0.0,5.84,3.05
4,3.16,18.36,0.0,0.0,5.8,3.02
5,3.21,18.34,0.0,0.0,5.85,3.05
6,3.22,17.04,0.0,0.0,10.6,5.51
7,3.25,17.03,0.0,0.0,10.73,5.54
8,3.26,17.04,0.0,0.0,10.72,5.53
9,3.34,17.07,0.0,0.0,10.72,5.51
10,3.32,17.06,0.0,0.0,10.63,5.51
11,3.28,17.07,0.0,0.0,10.67,5.52
12,3.2,16.58,0.0,0.0,8.94,11.46
13,3.26,16.6,0.0,0.0,9.01,11.46
14,3.17,16.6,0.0,0.0,8.99,11.45
15,3.25,16.53,0.0,0.0,9.08,11.5
16,3.13,16.59,0.0,0.0,9.01,11.49
17,3.06,16.67,0.0,0.0,9.05,11.47
18,3.05,0.0,8.33,6.23,11.61,9.72
19,3.0,0.0,8.29,6.06,11.67,9.75
20,2.75,0.0,8.34,6.16,11.69,9.7
21,2.72,0.0,8.33,6.18,11.73,9.71
22,2.49,0.0,8.32,6.2,11.64,9.67
23,2.54,0.0,0.0,6.05,11.54,11.89
24,2.2,14.91,0.0,6.27,11.64,11.84
25,2.07,11.71,0.0,6.05,11.57,11.93
26,2.02,13.51,0.0,6.34,11.58,11.92
27,1.94,14.24,0.0,6.13,11.63,11.94
28,1.97,16.02,0.0,6.17,11.66,11.9
29,2.09,15.11,0.0,6.22,11.69,11.96
30,2.13,14.22,0.0,6.18,11.58,11.97
31,2.26,14.3,0.0,6.27,11.61,11.91
32,2.41,15.53,0.0,6.22,11.57,11.88
33,2.51,14.37,0.0,6.13,11.5,11.96
34,2.47,13.61,0.0,6.23,11.69,11.99
35,2.4,14.88,0.0,6.2,11.62,11.94
36,2.59,13.29,0.0,6.06,11.53,11.92
37,2.76,15.3,0.0,6.31,11.62,11.91
38,2.74,14.08,0.0,6.19,11.55,11.94
39,2.61,13.09,0.0,6.12,11.59,11.98
40,2.69,15.04,0.0,6.21,11.53,11.92
41,2.64,14.12,0.0,6.18,11.53,11.93
42,2.65,14.73,0.0,6.21,11.63,11.94
43,2.67,13.3,0.0,6.14,11.6,11.93
44,2.64,13.88,0.0,6.24,11.57,11.9
45,2.64,14.07,0.0,6.27,10.69,11.34
46,2.54,15.34,0.0,6.26,10.74,11.33
47,2.51,14.81,0.0,6.17,10.75,11.38
48,2.48,14.73,0.0,6.24,10.77,11.39
49,2.36,12.39,0.0,6.38,10.72,11.39
50,2.37,13.22,0.0,6.29,10.74,11.36
51,2.12,13.14,0.0,6.13,10.66,11.37
52,2.04,16.41,0.0,6.24,10.66,11.36
53,2.01,13.21,0.0,6.37,10.69,11.39
54,1.92,14.03,0.0,6.38,10.68,11.37
55,1.88,14.1,0.0,6.51,10.69,11.36
56,1.55,15.24,0.0,6.22,10.74,11.37
57,1.56,14.46,0.0,6.09,10.64,11.36
58,1.45,11.28,0.0,6.2,10.71,11.44
59,1.46,14.09,0.0,6.12,10.74,11.4
60,1.44,16.0,0.0,6.01,10.75,11.38
61,1.32,0.0,0.0,6.32,10.73,11.39
62,1.28,0.0,0.0,6.1,10.73,11.34
63,1.27,0.0,0.0,6.16,10.69,11.47
64,1.23,0.0,0.0,6.3,10.65,11.42
65,1.24,0.0,0.0,4.32,9.0,7.72
66,1.22,0.0,0.0,4.42,9.04,7.73
67,1.17,0.0,0.0,4.71,9.02,7.68
68,1.19,0.0,0.0,3.97,8.99,7.75
69,1.22,0.0,0.0,4.59,8.92,7.83
70,1.18,0.0,0.0,3.9,9.02,7.74
71,1.15,0.0,0.0,4.86,8.93,7.75
72,1.14,0.0,0.0,4.06,9.0,7.75
73,1.16,0.0,0.0,2.75,8.96,7.78
74,1.13,0.0,0.0,5.05,8.99,7.75
75,1.12,0.0,0.0,5.0,5.91,4.93
76,1.14,0.0,0.0,4.07,5.98,4.9
77,1.13,0.0,0.0,4.32,5.98,4.88
78,1.1,0.0,0.0,0.0,6.01,4.92
79,1.14,0.0,0.0,0.0,5.93,4.95
80,1.17,0.0,0.0,0.0,6.05,4.92
81,1.23,0.0,0.0,0.0,5.94,4.9
82,1.13,0.0,0.0,0.0,5.93,4.84
83,1.23,0.0,0.0,0.0,5.99,4.93
84,1.18,0.0,0.0,0.0,6.01,4.92
85,1.16,0.0,0.0,0.0,5.94,4.9
86,1.13,0.0,0.0,0.0,5.89,4.93
87,1.19,0.0,0.0,0.0,5.89,4.93
88,1.34,0.0,0.0,0.0,6.06,4.92
89,1.11,0.0,0.0,0.0,5.95,4.97
90,1.3,0.0,0.0,0.0,6.12,4.83
91,1.24,0.0,0.0,0.0,6.07,4.95
92,1.0,0.0,0.0,0.0,5.64,4.7
93,1.25,0.0,0.0,0.0,6.28,4.77
94,1.0,0.0,0.0,0.0,5.83,4.87
95,2.0,0.0,0.0,0.0,5.8,4.66
96,1.5,0.0,0.0,0.0,5.42,4.99
97,1.33,0.0,0.0,0.0,6.06,4.79
98,0.0,0.0,0.0,0.0,6.06,4.95
99,2.0,0.0,0.0,0.0,5.54,4.4
100,1.5,0.0,0.0,0.0,5.4,4.69
