age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.85,15.86,0.0,0.0,3.75,3.26
1,2.83,14.52,0.0,0.0,3.73,3.26
2,3.05,14.64,0.0,0.0,3.74,3.33
3,3.05,32.93,0.0,0.0,5.84,3.05
4,3.16,32.6,0.0,0.0,5.93,3.05
5,3.21,32.79,0.0,0.0,5.86,3.06
6,3.22,25.64,0.0,0.0,10.77,5.52
7,3.25,25.63,0.0,0.0,10.69,5.52
8,3.26,25.38,0.0,0.0,10.66,5.52
9,3.34,25.37,0.0,0.0,10.71,5.5
10,3.32,25.43,0.0,0.0,10.68,5.52
11,3.28,25.31,0.0,0.0,10.66,5.47
12,3.2,25.94,0.0,0.0,8.98,11.41
13,3.26,26.06,0.0,0.0,8.99,11.48
14,3.17,26.01,0.0,0.0,8.98,11.49
15,3.25,25.99,0.0,0.0,8.91,11.5
16,3.13,26.16,0.0,0.0,8.97,11.52
17,3.06,26.04,0.0,0.0,8.98,11.51
18,3.05,0.0,8.7,9.93,11.63,9.66
19,3.0,0.0,8.72,9.11,11.58,9.75
20,2.75,0.0,8.7,9.22,11.67,9.73
21,2.72,0.0,8.71,9.17,11.69,9.74
22,2.49,0.0,8.75,9.04,11.63,9.74
23,2.54,0.0,0.0,9.28,11.53,11.94
24,2.2,15.01,0.0,9.69,11.7,11.96
25,2.07,11.57,0.0,9.1,11.6,11.89
26,2.02,13.55,0.0,9.43,11.67,11.95
27,1.94,14.35,0.0,9.18,11.64,11.93
28,1.97,16.07,0.0,9.21,11.53,11.91
29,2.09,15.17,0.0,9.12,11.53,11.98
30,2.13,14.62,0.0,9.19,11.57,11.96
31,2.26,14.52,0.0,9.47,11.62,11.91
32,2.41,15.62,0.0,9.36,11.58,11.9
33,2.51,14.52,0.0,9.2,11.48,11.99
34,2.47,13.77,0.0,9.43,11.62,11.94
35,2.4,14.99,0.0,9.21,11.62,11.9
36,2.59,13.33,0.0,8.99,11.69,12.01
37,2.76,15.49,0.0,9.29,11.62,11.91
38,2.74,14.16,0.0,9.26,11.59,11.91
39,2.61,13.2,0.0,9.19,11.6,11.97
40,2.69,15.27,0.0,9.51,11.56,11.9
41,2.64,14.54,0.0,9.34,11.54,11.89
42,2.65,14.79,0.0,9.22,11.61,11.93
43,2.67,13.75,0.0,9.05,11.55,11.91
44,2.64,14.0,0.0,9.12,11.51,11.95
45,2.64,14.14,0.0,9.23,10.74,11.39
46,2.54,15.43,0.0,9.29,10.7,11.37
47,2.51,14.96,0.0,9.25,10.65,11.37
48,2.48,15.16,0.0,9.23,10.59,11.39
49,2.36,12.83,0.0,9.43,10.68,11.39
50,2.37,13.38,0.0,9.3,10.73,11.44
51,2.12,13.62,0.0,9.15,10.67,11.43
52,2.04,16.5,0.0,9.17,10.73,11.36
53,2.01,13.35,0.0,9.3,10.75,11.4
54,1.92,14.05,0.0,9.5,10.7,11.38
55,1.88,14.36,0.0,9.44,10.68,11.43
56,1.55,15.36,0.0,9.29,10.75,11.35
57,1.56,14.78,0.0,9.34,10.74,11.41
58,1.45,11.68,0.0,9.22,10.66,11.39
59,1.46,14.07,0.0,9.1,10.71,11.41
60,1.44,16.0,0.0,8.73,10.68,11.42
61,1.32,0.0,0.0,9.31,10.61,11.44
62,1.28,0.0,0.0,9.26,10.69,11.36
63,1.27,0.0,0.0,9.32,10.69,11.44
64,1.24,0.0,0.0,9.29,10.72,11.42
65,1.24,0.0,0.0,4.39,9.01,7.71
66,1.22,0.0,0.0,4.42,8.98,7.79
67,1.17,0.0,0.0,4.82,9.04,7.74
68,1.19,0.0,0.0,3.96,8.97,7.71
69,1.22,0.0,0.0,4.7,9.04,7.75
70,1.18,0.0,0.0,4.05,8.97,7.7
71,1.15,0.0,0.0,4.8,8.92,7.79
72,1.15,0.0,0.0,4.18,8.95,7.75
73,1.16,0.0,0.0,2.75,8.96,7.7
74,1.13,0.0,0.0,4.74,9.0,7.79
75,1.12,0.0,0.0,5.3,6.03,4.92
76,1.14,0.0,0.0,4.15,5.91,4.92
77,1.13,0.0,0.0,4.38,5.97,4.92
78,1.1,0.0,0.0,0.0,5.96,4.94
79,1.14,0.0,0.0,0.0,5.97,4.91
80,1.17,0.0,0.0,0.0,5.97,4.92
81,1.23,0.0,0.0,0.0,6.0,4.93
82,1.14,0.0,0.0,0.0,5.89,4.91
83,1.23,0.0,0.0,0.0,6.03,4.94
84,1.18,0.0,0.0,0.0,5.89,4.9
85,1.16,0.0,0.0,0.0,5.93,4.87
86,1.13,0.0,0.0,0.0,6.13,4.92
87,1.19,0.0,0.0,0.0,5.94,4.87
88,1.34,0.0,0.0,0.0,6.02,4.9
89,1.11,0.0,0.0,0.0,5.99,4.95
90,1.3,0.0,0.0,0.0,6.05,4.94
91,1.24,0.0,0.0,0.0,6.18,4.76
92,1.0,0.0,0.0,0.0,6.12,4.89
93,1.24,0.0,0.0,0.0,6.14,4.98
94,1.0,0.0,0.0,0.0,5.64,4.88
95,2.0,0.0,0.0,0.0,5.88,5.04
96,1.5,0.0,0.0,0.0,6.02,4.88
97,1.33,0.0,0.0,0.0,5.73,5.08
98,0.0,0.0,0.0,0.0,5.69,4.12
99,2.0,0.0,0.0,0.0,6.67,4.62
100,1.5,0.0,0.0,0.0,6.05,4.98
