age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.71,9.95,0.0,0.0,3.75,3.34
1,2.83,9.04,0.0,0.0,3.79,3.32
2,2.93,9.32,0.0,0.0,3.73,3.3
3,3.01,18.29,0.0,0.0,5.88,3.04
4,3.17,18.41,0.0,0.0,5.84,3.06
5,3.15,18.42,0.0,0.0,5.85,3.08
6,3.21,17.06,0.0,0.0,10.74,5.52
7,3.2,17.08,0.0,0.0,10.68,5.47
8,3.35,17.04,0.0,0.0,10.6,5.5
9,3.25,17.04,0.0,0.0,10.67,5.48
10,3.35,17.05,0.0,0.0,10.6,5.51
11,3.29,17.02,0.0,0.0,10.56,5.52
12,3.23,16.61,0.0,0.0,9.07,11.47
13,3.2,16.66,0.0,0.0,8.97,11.52
14,3.25,16.54,0.0,0.0,8.97,11.5
15,3.22,16.62,0.0,0.0,8.99,11.47
16,3.18,16.58,0.0,0.0,8.98,11.5
17,3.02,16.71,0.0,0.0,8.94,11.47
18,3.06,0.0,8.28,6.36,11.69,9.74
19,2.96,0.0,8.34,6.03,11.59,9.72
20,2.71,0.0,8.36,6.42,11.6,9.75
21,2.69,0.0,8.33,6.23,11.66,9.75
22,2.55,0.0,8.36,6.2,11.57,9.69
23,2.44,0.0,0.0,6.08,11.43,11.93
24,2.22,14.84,0.0,6.14,11.7,11.88
25,2.11,14.39,0.0,6.1,11.47,11.85
26,2.03,13.48,0.0,6.26,11.64,11.92
27,1.96,13.8,0.0,6.19,11.48,11.9
28,2.02,15.2,0.0,6.38,11.55,11.94
29,2.09,14.81,0.0,6.31,11.53,11.9
30,2.03,12.21,0.0,6.27,11.48,11.9
31,2.26,13.3,0.0,6.2,11.41,11.9
32,2.43,14.3,0.0,6.34,11.63,11.85
33,2.45,16.85,0.0,6.17,11.74,11.88
34,2.44,14.99,0.0,6.27,11.69,11.9
35,2.5,14.38,0.0,6.2,11.54,11.88
36,2.7,15.56,0.0,6.14,11.7,11.86
37,2.63,12.46,0.0,6.15,11.73,11.9
38,2.75,14.38,0.0,6.23,11.52,11.84
39,2.68,14.85,0.0,6.2,11.64,11.91
40,2.66,12.21,0.0,6.23,11.54,11.9
41,2.62,14.89,0.0,6.22,11.57,11.99
42,2.68,15.16,0.0,6.29,11.54,11.88
43,2.66,15.59,0.0,6.26,11.45,11.95
44,2.72,15.54,0.0,6.25,11.52,11.97
45,2.57,14.51,0.0,6.16,10.74,11.37
46,2.62,13.52,0.0,6.19,10.66,11.36
47,2.4,13.92,0.0,6.4,10.63,11.36
48,2.49,13.73,0.0,6.19,10.64,11.37
49,2.46,15.28,0.0,6.31,10.73,11.34
50,2.35,12.76,0.0,6.25,10.65,11.4
51,2.14,13.39,0.0,6.25,10.79,11.38
52,2.01,14.15,0.0,6.35,10.71,11.4
53,1.97,13.37,0.0,6.31,10.71,11.33
54,1.91,14.36,0.0,6.23,10.7,11.37
55,1.87,15.36,0.0,6.35,10.75,11.38
56,1.62,15.36,0.0,6.33,10.59,11.28
57,1.51,13.51,0.0,6.34,10.74,11.42
58,1.56,15.06,0.0,6.18,10.73,11.35
59,1.51,7.95,0.0,6.31,10.67,11.34
60,1.44,18.97,0.0,6.02,10.71,11.34
61,1.32,0.0,0.0,5.98,10.67,11.34
62,1.27,0.0,0.0,6.12,10.73,11.36
63,1.27,0.0,0.0,6.27,10.75,11.42
64,1.25,0.0,0.0,6.24,10.63,11.43
65,1.27,0.0,0.0,4.48,9.0,7.77
66,1.18,0.0,0.0,4.6,8.88,7.65
67,1.2,0.0,0.0,4.42,9.02,7.69
68,1.21,0.0,0.0,4.83,9.08,7.81
69,1.19,0.0,0.0,4.78,8.9,7.74
70,1.17,0.0,0.0,4.6,9.02,7.8
71,1.22,0.0,0.0,3.77,9.01,7.83
72,1.19,0.0,0.0,5.05,8.91,7.72
73,1.18,0.0,0.0,4.54,8.94,7.71
74,1.23,0.0,0.0,3.96,9.11,7.69
75,1.24,0.0,0.0,4.83,5.96,4.9
76,1.15,0.0,0.0,5.02,6.05,4.87
77,1.13,0.0,0.0,4.0,5.92,4.88
78,1.16,0.0,0.0,0.0,5.93,4.97
79,1.17,0.0,0.0,0.0,5.92,4.9
80,1.23,0.0,0.0,0.0,6.03,4.89
81,1.17,0.0,0.0,0.0,5.98,4.88
82,1.18,0.0,0.0,0.0,5.86,4.93
83,1.19,0.0,0.0,0.0,6.01,4.87
84,1.2,0.0,0.0,0.0,6.05,4.88
85,1.16,0.0,0.0,0.0,5.84,4.93
86,1.24,0.0,0.0,0.0,5.98,4.93
87,1.26,0.0,0.0,0.0,5.98,4.92
88,1.29,0.0,0.0,0.0,6.05,4.89
89,1.39,0.0,0.0,0.0,5.84,4.9
90,1.31,0.0,0.0,0.0,5.85,4.87
91,1.05,0.0,0.0,0.0,5.84,4.99
92,1.29,0.0,0.0,0.0,5.67,4.92
93,1.82,0.0,0.0,0.0,5.04,4.6
94,1.37,0.0,0.0,0.0,5.36,4.83
95,1.2,0.0,0.0,0.0,6.09,5.05
96,1.62,0.0,0.0,0.0,5.64,5.09
97,1.0,0.0,0.0,0.0,5.57,4.81
98,2.0,0.0,0.0,0.0,5.83,5.33
99,1.5,0.0,0.0,0.0,6.75,4.85
100,2.0,0.0,0.0,0.0,5.53,5.0
