age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.85,10.04,0.0,0.0,3.71,3.28
1,2.83,9.37,0.0,0.0,3.74,3.28
2,3.05,9.41,0.0,0.0,3.71,3.33
3,3.05,18.42,0.0,0.0,5.82,3.03
4,3.16,18.37,0.0,0.0,5.76,3.03
5,3.21,18.35,0.0,0.0,5.87,3.04
6,3.22,17.02,0.0,0.0,10.75,5.49
7,3.25,17.01,0.0,0.0,10.68,5.45
8,3.26,17.08,0.0,0.0,10.71,5.56
9,3.33,17.06,0.0,0.0,10.66,5.52
10,3.32,17.04,0.0,0.0,10.69,5.53
11,3.28,17.06,0.0,0.0,10.76,5.52
12,3.2,16.57,0.0,0.0,9.0,11.51
13,3.26,16.61,0.0,0.0,8.92,11.53
14,3.17,16.63,0.0,0.0,9.0,11.51
15,3.25,16.51,0.0,0.0,8.98,11.48
16,3.13,16.59,0.0,0.0,8.94,11.49
17,3.06,16.7,0.0,0.0,8.99,11.49
18,3.05,0.0,8.37,6.28,11.57,9.72
19,3.0,0.0,8.32,6.0,11.61,9.71
20,2.75,0.0,8.33,6.24,11.65,9.71
21,2.72,0.0,8.35,6.21,11.7,9.69
22,2.49,0.0,8.35,6.21,11.58,9.73
23,2.54,0.0,0.0,6.07,11.64,11.86
24,2.2,14.82,0.0,6.25,11.54,11.9
25,2.07,11.7,0.0,6.04,11.58,11.91
26,2.02,13.7,0.0,6.29,11.61,11.92
27,1.94,14.13,0.0,6.11,11.57,11.95
28,1.97,16.15,0.0,6.15,11.54,11.93
29,2.09,15.09,0.0,6.19,11.56,11.86
30,2.13,14.24,0.0,6.14,11.59,11.92
31,2.26,14.32,0.0,6.25,11.57,11.94
32,2.41,15.46,0.0,6.17,11.48,11.85
33,2.51,14.24,0.0,6.14,11.61,11.9
34,2.47,13.67,0.0,6.24,11.57,11.86
35,2.41,14.92,0.0,6.24,11.64,11.93
36,2.59,13.27,0.0,6.04,11.58,11.88
37,2.76,15.13,0.0,6.29,11.53,11.92
38,2.74,14.11,0.0,6.16,11.55,11.93
39,2.61,12.99,0.0,6.1,11.6,11.93
40,2.69,15.11,0.0,6.21,11.54,11.87
41,2.64,14.18,0.0,6.16,11.62,11.88
42,2.65,14.77,0.0,6.22,11.48,11.84
43,2.67,13.45,0.0,6.08,11.56,11.87
44,2.64,13.95,0.0,6.22,11.52,11.91
45,2.64,14.09,0.0,6.27,10.68,11.32
46,2.54,15.15,0.0,6.24,10.72,11.33
47,2.51,14.86,0.0,6.17,10.66,11.33
48,2.48,14.79,0.0,6.23,10.61,11.39
49,2.36,12.4,0.0,6.35,10.73,11.39
50,2.37,13.44,0.0,6.28,10.76,11.35
51,2.12,13.4,0.0,6.07,10.69,11.35
52,2.04,16.34,0.0,6.21,10.68,11.43
53,2.01,13.13,0.0,6.36,10.69,11.34
54,1.92,13.98,0.0,6.38,10.78,11.35
55,1.88,14.31,0.0,6.46,10.73,11.38
56,1.55,15.28,0.0,6.22,10.7,11.42
57,1.56,14.37,0.0,6.09,10.69,11.37
58,1.45,11.21,0.0,6.2,10.74,11.34
59,1.46,14.06,0.0,6.1,10.65,11.37
60,1.44,16.0,0.0,6.03,10.71,11.37
61,1.32,0.0,0.0,6.31,10.66,11.37
62,1.28,0.0,0.0,6.08,10.72,11.33
63,1.27,0.0,0.0,6.07,10.62,11.38
64,1.23,0.0,0.0,6.22,10.74,11.35
65,1.24,0.0,0.0,4.25,8.99,7.68
66,1.22,0.0,0.0,4.5,9.0,7.76
67,1.17,0.0,0.0,4.81,9.08,7.75
68,1.19,0.0,0.0,3.94,8.88,7.72
69,1.22,0.0,0.0,4.77,8.93,7.75
70,1.18,0.0,0.0,4.11,8.93,7.77
71,1.15,0.0,0.0,4.96,8.99,7.74
72,1.14,0.0,0.0,4.32,9.01,7.76
73,1.16,0.0,0.0,2.74,9.03,7.75
74,1.13,0.0,0.0,4.81,8.85,7.73
75,1.12,0.0,0.0,4.9,6.05,4.88
76,1.14,0.0,0.0,3.77,5.96,4.9
77,1.13,0.0,0.0,4.15,6.06,4.89
78,1.1,0.0,0.0,0.0,6.02,4.91
79,1.14,0.0,0.0,0.0,6.01,4.92
80,1.16,0.0,0.0,0.0,5.97,4.92
81,1.23,0.0,0.0,0.0,6.03,4.91
82,1.13,0.0,0.0,0.0,5.98,4.9
83,1.23,0.0,0.0,0.0,5.98,4.88
84,1.18,0.0,0.0,0.0,5.98,4.86
85,1.16,0.0,0.0,0.0,6.13,4.84
86,1.13,0.0,0.0,0.0,6.01,4.87
87,1.19,0.0,0.0,0.0,6.09,4.96
88,1.34,0.0,0.0,0.0,5.92,4.97
89,1.11,0.0,0.0,0.0,6.03,4.9
90,1.3,0.0,0.0,0.0,6.01,4.9
91,1.24,0.0,0.0,0.0,6.06,4.87
92,1.0,0.0,0.0,0.0,5.73,4.89
93,1.25,0.0,0.0,0.0,5.91,5.14
94,1.0,0.0,0.0,0.0,5.66,5.02
95,2.0,0.0,0.0,0.0,6.21,4.84
96,1.5,0.0,0.0,0.0,6.25,4.89
97,1.33,0.0,0.0,0.0,6.03,5.01
98,0.0,0.0,0.0,0.0,6.38,4.97
99,2.0,0.0,0.0,0.0,5.62,4.95
100,1.5,0.0,0.0,0.0,6.28,4.98
