age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.71,9.94,0.0,0.0,3.71,3.33
1,2.83,9.03,0.0,0.0,3.68,3.34
2,2.93,9.33,0.0,0.0,3.75,3.37
3,3.01,18.26,0.0,0.0,5.78,3.03
4,3.17,18.41,0.0,0.0,5.8,3.05
5,3.15,18.42,0.0,0.0,5.82,3.04
6,3.21,17.1,0.0,0.0,10.72,5.53
7,3.19,17.06,0.0,0.0,10.76,5.57
8,3.35,17.02,0.0,0.0,10.78,5.5
9,3.25,17.07,0.0,0.0,10.76,5.54
10,3.35,17.07,0.0,0.0,10.8,5.53
11,3.3,17.05,0.0,0.0,10.71,5.49
12,3.23,16.6,0.0,0.0,8.92,11.44
13,3.2,16.71,0.0,0.0,8.85,11.44
14,3.25,16.57,0.0,0.0,9.0,11.47
15,3.22,16.61,0.0,0.0,9.03,11.5
16,3.18,16.61,0.0,0.0,8.96,11.46
17,3.02,16.7,0.0,0.0,9.05,11.48
18,3.06,0.0,8.37,6.24,11.64,9.75
19,2.96,0.0,8.31,6.08,11.7,9.74
20,2.71,0.0,8.34,6.37,11.56,9.68
21,2.7,0.0,8.3,6.26,11.68,9.72
22,2.55,0.0,8.41,6.24,11.7,9.77
23,2.44,0.0,0.0,6.04,11.55,11.92
24,2.22,14.82,0.0,6.07,11.63,11.86
25,2.11,14.28,0.0,6.1,11.57,11.9
26,2.03,13.46,0.0,6.25,11.61,11.83
27,1.96,13.87,0.0,6.19,11.55,11.85
28,2.03,15.18,0.0,6.32,11.6,11.89
29,2.09,14.67,0.0,6.33,11.47,11.94
30,2.03,11.98,0.0,6.26,11.58,11.84
31,2.26,13.22,0.0,6.25,11.59,11.96
32,2.43,14.24,0.0,6.32,11.61,11.89
33,2.45,16.69,0.0,6.2,11.64,11.89
34,2.44,15.17,0.0,6.24,11.54,11.92
35,2.5,14.26,0.0,6.22,11.55,11.84
36,2.7,15.44,0.0,6.18,11.48,11.91
37,2.63,12.62,0.0,6.14,11.6,11.95
38,2.75,14.38,0.0,6.22,11.63,11.85
39,2.68,14.91,0.0,6.21,11.49,11.94
40,2.66,12.19,0.0,6.22,11.59,11.86
41,2.62,15.07,0.0,6.17,11.46,12.0
42,2.68,14.74,0.0,6.28,11.62,11.95
43,2.66,15.65,0.0,6.29,11.46,11.88
44,2.72,15.59,0.0,6.28,11.44,11.88
45,2.57,14.43,0.0,6.17,10.65,11.39
46,2.62,13.51,0.0,6.14,10.75,11.38
47,2.39,14.22,0.0,6.42,10.75,11.43
48,2.49,13.66,0.0,6.17,10.77,11.38
49,2.46,15.23,0.0,6.26,10.8,11.39
50,2.35,12.37,0.0,6.28,10.79,11.32
51,2.14,13.13,0.0,6.24,10.57,11.43
52,2.01,14.29,0.0,6.31,10.59,11.36
53,1.97,13.33,0.0,6.32,10.63,11.4
54,1.91,14.26,0.0,6.22,10.62,11.35
55,1.87,15.39,0.0,6.3,10.65,11.42
56,1.62,15.54,0.0,6.33,10.68,11.36
57,1.51,13.29,0.0,6.28,10.84,11.45
58,1.56,14.99,0.0,6.2,10.64,11.34
59,1.51,8.0,0.0,6.36,10.74,11.34
60,1.44,18.77,0.0,6.05,10.61,11.38
61,1.32,0.0,0.0,5.93,10.59,11.35
62,1.27,0.0,0.0,6.1,10.78,11.34
63,1.27,0.0,0.0,6.36,10.64,11.39
64,1.25,0.0,0.0,6.26,10.68,11.33
65,1.27,0.0,0.0,4.38,9.01,7.79
66,1.18,0.0,0.0,4.5,8.98,7.78
67,1.2,0.0,0.0,4.29,8.99,7.74
68,1.21,0.0,0.0,4.62,9.12,7.69
69,1.19,0.0,0.0,4.65,9.02,7.75
70,1.17,0.0,0.0,4.47,8.93,7.75
71,1.22,0.0,0.0,3.68,8.97,7.75
72,1.19,0.0,0.0,5.1,9.04,7.77
73,1.18,0.0,0.0,4.53,9.11,7.73
74,1.23,0.0,0.0,4.17,9.03,7.75
75,1.24,0.0,0.0,5.0,6.04,4.92
76,1.15,0.0,0.0,4.96,5.96,4.86
77,1.13,0.0,0.0,4.0,5.97,4.88
78,1.16,0.0,0.0,0.0,6.04,4.98
79,1.17,0.0,0.0,0.0,6.04,5.0
80,1.23,0.0,0.0,0.0,6.01,4.96
81,1.17,0.0,0.0,0.0,6.03,4.86
82,1.18,0.0,0.0,0.0,5.94,4.91
83,1.19,0.0,0.0,0.0,6.0,4.86
84,1.2,0.0,0.0,0.0,6.1,4.81
85,1.17,0.0,0.0,0.0,6.04,4.98
86,1.24,0.0,0.0,0.0,5.95,4.96
87,1.26,0.0,0.0,0.0,6.09,4.8
88,1.29,0.0,0.0,0.0,6.03,4.91
89,1.39,0.0,0.0,0.0,5.75,4.89
90,1.32,0.0,0.0,0.0,6.13,4.97
91,1.06,0.0,0.0,0.0,5.59,5.16
92,1.29,0.0,0.0,0.0,5.71,5.1
93,1.83,0.0,0.0,0.0,6.5,4.62
94,1.38,0.0,0.0,0.0,5.43,4.69
95,1.2,0.0,0.0,0.0,6.27,4.86
96,1.62,0.0,0.0,0.0,5.73,5.07
97,1.0,0.0,0.0,0.0,5.79,5.16
98,2.0,0.0,0.0,0.0,4.75,4.87
99,1.5,0.0,0.0,0.0,5.88,4.45
100,2.0,0.0,0.0,0.0,5.69,4.86
