age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.71,9.97,0.0,0.0,3.78,3.36
1,2.83,9.05,0.0,0.0,3.77,3.3
2,2.93,9.33,0.0,0.0,3.71,3.34
3,3.01,18.27,0.0,0.0,5.84,3.05
4,3.17,18.41,0.0,0.0,5.9,3.02
5,3.15,18.4,0.0,0.0,5.79,3.06
6,3.21,17.09,0.0,0.0,10.8,5.53
7,3.19,17.05,0.0,0.0,10.78,5.54
8,3.35,17.02,0.0,0.0,10.61,5.51
9,3.25,17.05,0.0,0.0,10.71,5.45
10,3.35,17.11,0.0,0.0,10.83,5.51
11,3.3,17.01,0.0,0.0,10.71,5.49
12,3.23,16.59,0.0,0.0,8.98,11.52
13,3.2,16.72,0.0,0.0,8.89,11.4
14,3.25,16.62,0.0,0.0,9.0,11.44
15,3.22,16.63,0.0,0.0,9.01,11.45
16,3.18,16.6,0.0,0.0,8.9,11.41
17,3.02,16.68,0.0,0.0,9.05,11.5
18,3.06,0.0,8.26,6.18,11.67,9.66
19,2.96,0.0,8.3,6.01,11.61,9.75
20,2.71,0.0,8.27,6.42,11.64,9.7
21,2.7,0.0,8.35,6.3,11.67,9.69
22,2.55,0.0,8.33,6.18,11.64,9.81
23,2.44,0.0,0.0,6.03,11.61,11.93
24,2.22,14.93,0.0,6.08,11.62,11.97
25,2.11,14.34,0.0,6.12,11.54,11.9
26,2.03,13.72,0.0,6.24,11.62,11.94
27,1.96,13.85,0.0,6.16,11.5,11.88
28,2.03,15.17,0.0,6.38,11.52,11.93
29,2.09,14.82,0.0,6.32,11.69,11.91
30,2.03,12.16,0.0,6.26,11.55,11.86
31,2.26,13.35,0.0,6.22,11.47,11.92
32,2.43,14.11,0.0,6.34,11.49,11.82
33,2.45,16.78,0.0,6.19,11.45,11.93
34,2.44,15.12,0.0,6.23,11.58,11.97
35,2.5,14.29,0.0,6.16,11.53,11.91
36,2.7,15.54,0.0,6.22,11.62,11.88
37,2.63,12.3,0.0,6.15,11.53,11.88
38,2.75,14.38,0.0,6.2,11.57,11.89
39,2.68,14.89,0.0,6.16,11.56,11.89
40,2.66,12.19,0.0,6.26,11.58,11.96
41,2.62,14.76,0.0,6.2,11.53,11.87
42,2.68,14.84,0.0,6.25,11.58,11.85
43,2.66,15.83,0.0,6.32,11.45,11.88
44,2.72,15.63,0.0,6.27,11.53,11.88
45,2.57,14.55,0.0,6.13,10.74,11.38
46,2.62,13.53,0.0,6.2,10.72,11.4
47,2.4,14.5,0.0,6.4,10.68,11.4
48,2.49,13.34,0.0,6.22,10.72,11.37
49,2.46,15.35,0.0,6.28,10.74,11.36
50,2.36,12.37,0.0,6.25,10.74,11.41
51,2.14,13.1,0.0,6.24,10.73,11.38
52,2.01,14.15,0.0,6.31,10.73,11.41
53,1.97,13.28,0.0,6.33,10.61,11.43
54,1.91,14.24,0.0,6.24,10.64,11.41
55,1.87,15.49,0.0,6.32,10.71,11.39
56,1.62,15.49,0.0,6.35,10.76,11.36
57,1.51,13.43,0.0,6.34,10.7,11.4
58,1.57,15.33,0.0,6.14,10.78,11.39
59,1.51,8.0,0.0,6.33,10.64,11.44
60,1.44,18.9,0.0,6.06,10.72,11.37
61,1.32,0.0,0.0,5.87,10.7,11.39
62,1.27,0.0,0.0,6.09,10.8,11.37
63,1.27,0.0,0.0,6.45,10.67,11.46
64,1.25,0.0,0.0,6.25,10.74,11.34
65,1.27,0.0,0.0,4.45,9.03,7.78
66,1.18,0.0,0.0,4.5,9.04,7.76
67,1.19,0.0,0.0,4.35,9.06,7.8
68,1.21,0.0,0.0,4.58,8.98,7.74
69,1.19,0.0,0.0,4.5,9.1,7.69
70,1.17,0.0,0.0,4.53,8.98,7.7
71,1.22,0.0,0.0,3.74,8.76,7.78
72,1.19,0.0,0.0,4.96,9.01,7.8
73,1.18,0.0,0.0,4.41,8.95,7.76
74,1.23,0.0,0.0,4.07,9.07,7.75
75,1.24,0.0,0.0,4.83,5.9,4.92
76,1.15,0.0,0.0,4.8,6.09,4.89
77,1.13,0.0,0.0,4.0,6.0,4.94
78,1.16,0.0,0.0,0.0,5.93,4.9
79,1.17,0.0,0.0,0.0,6.03,4.86
80,1.23,0.0,0.0,0.0,5.96,4.91
81,1.17,0.0,0.0,0.0,6.06,4.95
82,1.18,0.0,0.0,0.0,5.95,4.92
83,1.19,0.0,0.0,0.0,6.03,4.97
84,1.2,0.0,0.0,0.0,6.05,4.91
85,1.16,0.0,0.0,0.0,5.9,4.98
86,1.24,0.0,0.0,0.0,5.91,4.9
87,1.26,0.0,0.0,0.0,5.85,4.9
88,1.29,0.0,0.0,0.0,6.13,4.86
89,1.4,0.0,0.0,0.0,5.91,4.79
90,1.32,0.0,0.0,0.0,5.79,4.91
91,1.06,0.0,0.0,0.0,5.84,5.06
92,1.29,0.0,0.0,0.0,6.05,4.81
93,1.83,0.0,0.0,0.0,5.58,4.72
94,1.38,0.0,0.0,0.0,5.88,4.95
95,1.2,0.0,0.0,0.0,5.66,4.98
96,1.62,0.0,0.0,0.0,5.86,4.93
97,1.0,0.0,0.0,0.0,6.5,5.14
98,2.0,0.0,0.0,0.0,6.0,4.97
99,1.5,0.0,0.0,0.0,6.5,5.65
100,2.0,0.0,0.0,0.0,5.78,4.74
