age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.85,10.03,0.0,0.0,3.78,3.19
1,2.83,9.34,0.0,0.0,3.72,3.21
2,3.05,9.38,0.0,0.0,3.76,3.22
3,3.05,18.44,0.0,0.0,6.17,3.36
4,3.16,18.36,0.0,0.0,6.26,3.42
5,3.21,18.34,0.0,0.0,6.12,3.4
6,3.22,17.03,0.0,0.0,11.25,6.01
7,3.25,17.0,0.0,0.0,11.22,5.98
8,3.26,17.07,0.0,0.0,11.29,5.98
9,3.33,17.04,0.0,0.0,11.37,5.97
10,3.32,17.05,0.0,0.0,11.33,5.99
11,3.28,17.06,0.0,0.0,11.17,5.99
12,3.2,16.56,0.0,0.0,9.97,12.23
13,3.26,16.59,0.0,0.0,9.97,12.26
14,3.17,16.64,0.0,0.0,10.01,12.22
15,3.25,16.54,0.0,0.0,10.04,12.24
16,3.13,16.56,0.0,0.0,10.06,12.21
17,3.06,16.67,0.0,0.0,9.98,12.25
18,3.05,0.0,8.29,6.3,12.45,10.59
19,3.0,0.0,8.33,6.04,12.51,10.59
20,2.76,0.0,8.33,6.13,12.37,10.59
21,2.72,0.0,8.36,6.13,12.45,10.54
22,2.49,0.0,8.28,6.23,12.54,10.53
23,2.54,0.0,0.0,6.05,11.81,12.16
24,2.2,15.07,0.0,6.23,11.79,12.19
25,2.07,10.93,0.0,6.03,11.82,12.17
26,2.02,13.61,0.0,6.31,11.67,12.14
27,1.94,14.59,0.0,6.1,11.81,12.19
28,1.97,16.02,0.0,6.16,11.76,12.19
29,2.09,14.93,0.0,6.22,11.73,12.13
30,2.13,14.2,0.0,6.14,11.78,12.14
31,2.26,14.78,0.0,6.25,11.8,12.14
32,2.41,15.78,0.0,6.18,11.76,12.15
33,2.51,14.57,0.0,6.13,11.79,12.09
34,2.47,13.1,0.0,6.2,11.8,12.13
35,2.41,14.61,0.0,6.19,11.74,12.13
36,2.59,13.39,0.0,6.02,11.78,12.14
37,2.76,15.37,0.0,6.29,11.83,12.18
38,2.74,13.81,0.0,6.18,11.82,12.12
39,2.61,13.13,0.0,6.1,11.79,12.18
40,2.69,15.47,0.0,6.18,11.77,12.12
41,2.64,14.09,0.0,6.15,11.87,12.17
42,2.65,15.18,0.0,6.21,11.89,12.13
43,2.67,13.35,0.0,6.11,11.81,12.12
44,2.64,13.75,0.0,6.23,11.79,12.2
45,2.64,14.19,0.0,6.26,10.83,11.39
46,2.54,15.12,0.0,6.23,10.9,11.38
47,2.51,14.72,0.0,6.15,10.82,11.43
48,2.48,14.33,0.0,6.27,10.79,11.34
49,2.36,12.59,0.0,6.37,10.91,11.48
50,2.36,13.31,0.0,6.27,10.86,11.38
51,2.12,13.29,0.0,6.11,10.8,11.45
52,2.04,15.9,0.0,6.2,10.73,11.41
53,2.01,13.7,0.0,6.34,10.84,11.43
54,1.92,13.98,0.0,6.4,10.87,11.39
55,1.88,14.03,0.0,6.47,10.79,11.45
56,1.55,15.33,0.0,6.21,10.89,11.43
57,1.56,15.12,0.0,6.09,10.81,11.42
58,1.45,10.79,0.0,6.17,10.76,11.43
59,1.46,13.95,0.0,6.12,10.78,11.45
60,1.44,16.0,0.0,6.0,10.8,11.42
61,1.32,0.0,0.0,6.29,10.79,11.37
62,1.28,0.0,0.0,6.08,10.8,11.36
63,1.27,0.0,0.0,6.21,10.78,11.43
64,1.24,0.0,0.0,6.34,10.77,11.4
65,1.24,0.0,0.0,5.1,10.67,9.55
66,1.22,0.0,0.0,4.28,10.52,9.6
67,1.17,0.0,0.0,5.81,10.69,9.64
68,1.19,0.0,0.0,3.4,10.75,9.54
69,1.22,0.0,0.0,4.54,10.86,9.61
70,1.18,0.0,0.0,4.26,10.88,9.49
71,1.15,0.0,0.0,6.02,10.73,9.54
72,1.15,0.0,0.0,4.1,10.66,9.63
73,1.16,0.0,0.0,2.75,10.7,9.63
74,1.13,0.0,0.0,4.05,10.43,9.66
75,1.12,0.0,0.0,5.65,3.44,2.89
76,1.14,0.0,0.0,3.8,3.5,2.88
77,1.13,0.0,0.0,4.08,3.53,2.81
78,1.1,0.0,0.0,0.0,3.59,2.79
79,1.14,0.0,0.0,0.0,3.46,2.86
80,1.16,0.0,0.0,0.0,3.48,2.76
81,1.23,0.0,0.0,0.0,3.58,2.84
82,1.13,0.0,0.0,0.0,3.4,2.75
83,1.23,0.0,0.0,0.0,3.55,2.8
84,1.18,0.0,0.0,0.0,3.43,2.87
85,1.16,0.0,0.0,0.0,3.45,2.81
86,1.14,0.0,0.0,0.0,3.37,2.93
87,1.19,0.0,0.0,0.0,3.25,2.75
88,1.34,0.0,0.0,0.0,3.24,2.83
89,1.11,0.0,0.0,0.0,3.46,2.69
90,1.3,0.0,0.0,0.0,3.49,2.73
91,1.23,0.0,0.0,0.0,3.61,2.78
92,1.0,0.0,0.0,0.0,4.01,2.99
93,1.23,0.0,0.0,0.0,3.54,3.02
94,1.0,0.0,0.0,0.0,3.22,2.8
95,2.0,0.0,0.0,0.0,3.18,2.75
96,1.5,0.0,0.0,0.0,3.74,2.67
97,1.33,0.0,0.0,0.0,3.48,2.34
98,0.0,0.0,0.0,0.0,2.25,2.8
99,2.0,0.0,0.0,0.0,2.21,2.68
100,1.5,0.0,0.0,0.0,3.33,2.61
