age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.85,10.04,0.0,0.0,3.61,2.98
1,2.83,9.35,0.0,0.0,3.83,3.47
2,3.05,9.43,0.0,0.0,3.8,3.46
3,3.05,18.44,0.0,0.0,5.82,3.07
4,3.16,18.36,0.0,0.0,5.86,3.06
5,3.21,18.34,0.0,0.0,5.85,3.03
6,3.22,17.04,0.0,0.0,10.72,5.5
7,3.25,17.02,0.0,0.0,10.7,5.52
8,3.26,17.06,0.0,0.0,10.75,5.49
9,3.33,17.05,0.0,0.0,10.62,5.52
10,3.32,17.03,0.0,0.0,10.68,5.48
11,3.28,17.07,0.0,0.0,10.73,5.47
12,3.2,16.57,0.0,0.0,9.02,11.5
13,3.26,16.61,0.0,0.0,9.02,11.44
14,3.17,16.63,0.0,0.0,9.01,11.43
15,3.25,16.51,0.0,0.0,8.89,11.48
16,3.13,16.59,0.0,0.0,8.95,11.47
17,3.06,16.7,0.0,0.0,8.93,11.48
18,3.05,0.0,8.37,6.28,11.61,9.74
19,3.0,0.0,8.32,6.05,11.64,9.72
20,2.75,0.0,8.33,6.21,11.67,9.76
21,2.72,0.0,8.35,6.21,11.71,9.68
22,2.49,0.0,8.35,6.2,11.69,9.72
23,2.54,0.0,0.0,6.07,11.57,11.87
24,2.2,14.8,0.0,6.21,11.49,11.91
25,2.07,11.65,0.0,6.03,11.49,11.88
26,2.02,13.51,0.0,6.32,11.55,11.9
27,1.94,14.23,0.0,6.1,11.57,11.92
28,1.97,16.02,0.0,6.15,11.52,11.95
29,2.09,15.04,0.0,6.22,11.63,11.86
30,2.13,14.29,0.0,6.19,11.55,11.85
31,2.26,14.37,0.0,6.27,11.47,11.86
32,2.41,15.53,0.0,6.21,11.65,11.89
33,2.51,14.26,0.0,6.13,11.55,11.92
34,2.47,13.63,0.0,6.24,11.64,11.86
35,2.41,15.08,0.0,6.23,11.61,11.88
36,2.59,13.23,0.0,6.02,11.6,11.89
37,2.76,15.24,0.0,6.28,11.54,11.92
38,2.74,14.01,0.0,6.17,11.64,11.95
39,2.61,13.14,0.0,6.11,11.57,11.89
40,2.69,15.18,0.0,6.2,11.69,11.89
41,2.64,14.12,0.0,6.16,11.49,11.92
42,2.65,14.7,0.0,6.22,11.64,11.86
43,2.67,13.23,0.0,6.1,11.47,11.91
44,2.64,13.91,0.0,6.22,11.57,11.91
45,2.64,14.05,0.0,6.25,10.65,11.34
46,2.54,15.21,0.0,6.22,10.73,11.38
47,2.51,14.77,0.0,6.18,10.61,11.38
48,2.48,14.71,0.0,6.24,10.72,11.34
49,2.36,12.31,0.0,6.36,10.7,11.35
50,2.37,13.43,0.0,6.26,10.59,11.38
51,2.12,13.36,0.0,6.11,10.68,11.36
52,2.04,16.41,0.0,6.19,10.68,11.39
53,2.01,13.17,0.0,6.35,10.67,11.35
54,1.92,13.96,0.0,6.37,10.65,11.37
55,1.88,14.17,0.0,6.48,10.62,11.34
56,1.55,15.34,0.0,6.22,10.63,11.35
57,1.56,14.47,0.0,6.09,10.65,11.39
58,1.45,11.43,0.0,6.17,10.73,11.42
59,1.46,14.16,0.0,6.12,10.68,11.36
60,1.44,16.0,0.0,5.95,10.69,11.39
61,1.32,0.0,0.0,6.31,10.67,11.37
62,1.28,0.0,0.0,6.09,10.7,11.35
63,1.27,0.0,0.0,6.11,10.72,11.35
64,1.23,0.0,0.0,6.22,10.68,11.38
65,1.24,0.0,0.0,4.32,9.07,7.73
66,1.22,0.0,0.0,4.57,8.98,7.76
67,1.17,0.0,0.0,4.81,8.95,7.74
68,1.19,0.0,0.0,3.95,9.0,7.77
69,1.22,0.0,0.0,4.8,8.99,7.75
70,1.18,0.0,0.0,4.09,9.0,7.79
71,1.15,0.0,0.0,4.83,9.05,7.75
72,1.14,0.0,0.0,4.07,9.01,7.76
73,1.16,0.0,0.0,2.75,8.98,7.75
74,1.13,0.0,0.0,4.94,8.94,7.74
75,1.12,0.0,0.0,5.33,5.95,4.89
76,1.14,0.0,0.0,4.07,6.05,4.92
77,1.13,0.0,0.0,4.27,6.03,4.89
78,1.1,0.0,0.0,0.0,5.93,4.92
79,1.14,0.0,0.0,0.0,5.95,4.93
80,1.16,0.0,0.0,0.0,5.97,4.9
81,1.23,0.0,0.0,0.0,6.0,4.91
82,1.13,0.0,0.0,0.0,5.92,4.92
83,1.23,0.0,0.0,0.0,6.01,4.89
84,1.18,0.0,0.0,0.0,5.99,4.86
85,1.16,0.0,0.0,0.0,6.0,4.86
86,1.13,0.0,0.0,0.0,5.93,4.92
87,1.19,0.0,0.0,0.0,5.96,4.97
88,1.34,0.0,0.0,0.0,6.02,4.94
89,1.11,0.0,0.0,0.0,5.85,4.84
90,1.3,0.0,0.0,0.0,6.0,4.97
91,1.24,0.0,0.0,0.0,6.02,4.97
92,1.0,0.0,0.0,0.0,6.39,4.98
93,1.25,0.0,0.0,0.0,5.79,4.86
94,1.0,0.0,0.0,0.0,5.95,5.22
95,2.0,0.0,0.0,0.0,5.96,4.96
96,1.5,0.0,0.0,0.0,5.6,4.7
97,1.33,0.0,0.0,0.0,6.09,4.46
98,0.0,0.0,0.0,0.0,5.44,4.62
99,2.0,0.0,0.0,0.0,5.71,5.12
100,1.5,0.0,0.0,0.0,5.92,5.06
