Pool size,Susceptibles
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,2
14,2
15,2
16,3
17,3
18,3
19,3
20,3
21,3
22,4
23,4
24,4
25,4
26,5
27,5
28,5
29,5
30,5
31,6
32,6
33,6
34,6
35,6
36,7
37,7
38,7
39,7
40,7
41,8
42,8
43,8
44,8
45,8
46,8
47,9
48,9
49,9
50,9
51,9
52,10
53,9
54,10
55,10
56,10
57,12
58,11
59,11
60,11
61,11
62,11
63,11
64,12
65,12
66,12
67,13
68,13
69,12
70,14
71,13
72,15
73,14
74,15
75,14
76,15
77,14
78,16
79,15
80,14
81,16
82,16
83,15
84,15
85,15
86,17
87,16
88,16
89,18
90,16
91,18
92,18
93,18
94,18
95,18
96,18
97,19
98,18
99,19
100,19
101,21
102,21
103,20
104,21
105,19
106,21
107,21
108,22
109,22
110,21
111,21
112,22
113,23
114,22
115,22
116,23
117,22
118,22
119,24
120,24
121,24
122,24
123,24
124,24
125,24
126,24
127,25
128,26
129,24
130,25
131,25
132,25
133,26
134,26
135,25
136,28
137,27
138,29
139,26
140,27
141,28
142,28
143,28
144,28
145,29
146,28
147,29
148,29
149,30
150,29
151,29
152,29
153,28
154,30
155,30
156,29
157,31
158,31
159,31
160,29
161,34
162,31
163,34
164,32
165,34
166,33
167,34
168,34
169,33
170,33
171,32
172,34
173,35
174,34
175,34
176,34
177,35
178,35
179,36
180,35
181,36
182,37
183,35
184,36
185,37
186,35
187,37
188,37
189,37
190,38
191,40
192,38
193,38
194,38
195,39
196,39
197,39
198,37
199,38
200,40
201,40
202,39
203,40
204,40
205,40
206,38
207,41
208,43
209,42
210,39
211,42
212,41
213,42
214,42
215,43
216,42
217,44
218,42
219,43
220,44
221,43
222,44
223,44
224,45
225,45
226,43
227,44
228,47
229,45
230,45
231,45
232,46
233,45
234,47
235,47
236,46
237,47
238,47
239,48
240,47
241,48
242,48
243,48
244,49
245,49
246,49
247,48
248,49
249,49
250,49
251,48
252,50
253,50
254,50
255,49
256,51
257,52
258,51
259,51
260,48
261,54
262,53
263,54
264,51
265,55
266,53
267,55
268,52
269,53
270,51
271,52
272,52
273,51
274,53
275,54
276,55
277,52
278,54
